"selective_pressure","Population","Gene","frequency"
"Urea","c1","-","-"
"Urea","c1","DAL5","0.38"
"Urea","c2","DAL5","0.38"
"Urea","c3","DAL5","0.38"
"Urea","c1","DUR1,2","0.49"
"Urea","c2","DUR1,2","0.49"
"Urea","c3","DUR1,2","0.49"
"Urea","c3","PRP8","0"
"Urea","c1","PUT4/CIN1","0.49"
"Urea","c2","PUT4/CIN1","0.49"
"Urea","c3","PUT4/CIN1","0.49"
"Urea","c1","RAT1","0"
"Urea","c1","RRT15/MAS1","0"
"Urea","c1","SIW14","0.15"
"Urea","c2","SIW14","0.15"
"Urea","c1","SSK22","0"
"Urea","c3","YGL140C","0"
"Urea","c1","YIL028W (Dubious)","0"
