population,Gene,Prop
Lineage 2,accC,1
Lineage 6,accC,0.95
Lineage 5,accC,0.67
Lineage 6,fadA ,0.971
Lineage 5,fadA ,0.981
Lineage 2,ftsZ,1
Lineage 6,ftsZ,0.95
Lineage 5,ftsZ,1
Lineage 6,hupA*,0.337
Lineage 1,iclR,0.23
Lineage 2,iclR,0.246
Lineage 3,iclR,1
Lineage 3,iclR,0.37
Lineage 3,iclR,0.37
Lineage 4,iclR,0.95
Lineage 6,infB*,0.038
Lineage 3,kdpD,1
Lineage 4,kdpD,1
Lineage 5,kdpD,1
Lineage 3,mrdA,1
Lineage 6,mrdA,0.9
Lineage 6,mrdA,0.026
Lineage 6,mrdA,1
Lineage 5,mrdB,0.95
Lineage 4,mreB*,0.95
Lineage 1,mreB*,0.95
Lineage 2,mreB*,1
Lineage 4,mreB*,0.971
Lineage 6,nusA*,0.539
Lineage 2,pykF,0.62
Lineage 3,pykF,0.021
Lineage 1,thrT/tuf,1
Lineage 2,thrT/tuf,0.81
Lineage 3,thrT/tuf,0.8
Lineage 4,thrT/tuf,1
Lineage 5,thrT/tuf,0.832
Lineage 3,topA,0.95
Lineage 5,yjaG → / → hupA,0.046
