Population,Gene,Prop
1G_1,adk,2.886
1G_1,afuC,1.356
1G_1,alaS,8.704
1G_1,ansP,1.241
1G_2,aroD,3.043
1G_2,aroD,1.083
1G_3,asnB,1.23
1G_3,asr,1.323
1G_1,atpD,1.468
1G_2,casB,1.222
1G_1,cheY,1.124
1G_2,cheZ,1.229
1G_2,ddpA,1.246
1G_1,dfp,1.31
1G_2,dgoD,1.079
1G_3,dgoD,1.195
1G_2,dhaR,1.659
1G_1,dnaB,1.031
1G_1,downstream iap,4.867
1G_2,emrB,1.46
1G_3,entE,1.038
1G_3,envY,1.655
1G_1,eptB,2.564
1G_1,fimH,1.481
1G_2,flgJ,1.354
1G_1,fumB,5.993
1G_2,fumC,1.522
1G_3,gabD,1.433
1G_3,gabT,1.02
1G_2,galS,1.372
1G_2,galS,2.655
1G_2,galS,1.619
1G_2,galS,1.713
1G_2,galS,1.587
1G_2,galS,1.613
1G_3,galS,1.096
1G_2,galS,3.498
1G_2,galS,1.344
1G_2,galS,1.536
1G_2,galS,1.619
1G_3,galS,2.273
1G_2,galS,1.499
1G_2,galS,1.087
1G_2,galS,1.25
1G_1,galS,89.649
1G_2,galS,1.724
1G_3,galS,1.573
1G_1,galS,1.094
1G_2,galS,1.809
1G_2,galS,1.444
1G_2,galS,2.926
1G_1,galS,1.684
1G_2,galS,1.485
1G_2,galS,2.508
1G_2,galS,1.4
1G_2,galS,1.355
1G_2,galS,5.625
1G_1,glmU,2.897
1G_3,gltP,2.405
1G_2,gnd,2.2
1G_2,gnd,1.152
1G_2,gspE,1.757
1G_1,guaB,4.104
1G_2,guaB,3.404
1G_2,gudX,1.171
1G_1,gyrB,2.297
1G_1,hflK,4.61
1G_1,hflK,2.194
1G_2,hyfB,1.149
1G_2,hyfD,2.247
1G_1,hyfH,1.839
1G_1,ilvI,3.473
1G_2,insB-4,1.626
1G_3,insC-6,1.351
1G_1,insH-9,1.351
1G_1,kefC,1.307
1G_1,leuC,2.734
1G_2,lhgO,1.293
1G_3,lhr,1.804
1G_2,livM,1.329
1G_2,lpd,2.812
1G_3,malK,1.049
1G_3,malK,1.584
1G_3,malT,1.642
1G_3,malT,2.588
1G_3,malT,1.07
1G_3,malT,1.099
1G_1,malT,1.554
1G_3,malT,1.034
1G_3,malT,3.752
1G_1,metC,1.151
1G_2,mscM,89.506
1G_1,murE,1.207
1G_1,nadE,1.432
1G_2,narX,1.14
1G_2,nrdE,1.286
1G_1,nuoC,4.498
1G_1,oxyR,1.129
1G_1,pheU tRNA,1.461
1G_2,phnJ,4.952
1G_2,potI,4.824
1G_3,prc,6.405
1G_2,proV,3.72
1G_3,purH,1.055
1G_1,puuE,2.872
1G_2,radA,1.083
1G_3,rbsA,4.357
1G_2,rbsB,1.4
1G_3,rcsD,1.836
1G_2,rhaA,1.611
1G_3,rho,3.953
1G_3,rho,67.718
1G_3,rho,2.652
1G_3,rnr,1.556
1G_1,rpoC,7.895
1G_3,rpoC,5.191
1G_3,rpoC,1.688
1G_2,rpoS,3.84
1G_3,rpoS,3.12
1G_3,rpoZ,6.25
1G_2,rpsA,4.104
1G_3,rpsA,4.545
1G_2,rpsU,1.101
1G_2,rsmC,3.876
1G_2,rsxD,1.51
1G_1,secA,4.382
1G_3,serA,3.46
1G_2,slt,1.373
1G_2,smf,1.012
1G_3,speA,3.34
1G_1,speB,1.447
1G_2,tdcF,1.047
1G_2,thrC,2.458
1G_3,tktA,3.846
1G_2,tolA,1.039
1G_1,upstream dnaG,92.279
1G_1,upstream fimA,2.273
1G_2,upstream mglB,26.965
1G_3,upstream mglB,81.032
1G_2,upstream mglB,8.169
1G_3,upstream mglB,1.631
1G_3,upstream rlmA,2.108
1G_2,ushA,4.861
1G_1,uvrA,1.89
1G_3,uxaB,1.071
1G_3,xanP,1.185
1G_3,yaiL,3.74
1G_3,ybaE,1.656
1G_3,ybdH,3.396
1G_3,ybeL,1.261
1G_3,ybhF,78.545
1G_2,ybiH,1.075
1G_3,ybiP,1.647
1G_3,ycfQ,1.695
1G_3,yciM,2.079
1G_3,ydcR,1.176
1G_3,ydeP,1.282
1G_2,ydgI,1.548
1G_1,yebC,6.061
1G_2,yecC,1.029
1G_3,yedV,2.206
1G_3,yeiE,1.195
1G_3,yfcJ,3.282
1G_2,yfiF,3.468
1G_1,yfjY,91.727
1G_2,ygjD,4.585
1G_2,yheS,1.473
1G_1,yhhI,1.258
1G_1,yihN,14.344
1G_2,yijF,1.827
1G_2,yjdL,1.414
1G_3,yjjI,1.603
1G_3,ynhG,1.532
1G_2,yphE,1.271
1G_1,yqjF,2.422
1G_2,ytfN,1.107
