Population,Gene,Prop
BYB2-E05,ACE2,0.25
BYB2-E05,ACE2,0.01
BYS2-A11,ACE2,1
RMB1-A02,ACE2,0.97
RMB2-F01,ACE2,0.65
BYS2-B09,ACS1,0.03
BYS1-A04,AHC1,0.3
BYS2-E03,ALG3,0.05
BYS1-E03,ALT1,0.02
BYB1-H10,ALY2,0.01
BYB1-C05,ANP1,0.01
BYS2-A11,ASK1,0.01
RMS2-D09,ATG34,0.02
RMB2-B10,ATR1,0.13
BYS1-A07,AXL2,0.92
BYB1-H06,BAT1,0.17
RMB2-B10,BCH1,0.15
BYB2-F10,BCY1,0.59
RMB2-F09,BEM2,0.01
RMB2-B10,BOR1,0.58
BYS1-G01,CIN2,0.01
BYB2-F10,CMK2,0.01
BYB2-F07,CMP2,0.89
BYS1-D03,CNE1,0.02
BYB2-F10,COX1,0.49
BYB1-H10,CRF1,0.04
BYB2-F10,CSE1,0.01
BYB1-B01,CST6,0.97
BYS1-A07,CTS1,0.07
BYS2-E03,CTS1,0.01
BYB2-F10,CUP9,0.01
BYB2-F07,CWH41,0.81
RMS2-D09,CWH41,0.32
RMB1-A02,CYB5,0.97
RMB2-D08,D protein,0.21
BYS2-B09,DBF20,0.01
BYB1-H10,DCR2,0.13
BYB1-H06,DLT1,0.01
BYS2-E04,DMA2,0.85
BYS1-A09,DMC1,0.01
BYS1-G02,DOA4,0.02
BYB1-G07,DOT6,0.05
BYS2-B09,DRS1,0.16
BYS2-A11,DRS2,0.04
BYS1-D08,DSD1,0.03
BYS2-A11,ECM21,0.01
RMB2-F01,ECM21,0.76
BYS1-A08,ELO1,0.97
BYB2-F10,ENV9,0.57
BYS1-E03,ERG11,0.07
BYS2-C06,ERV1,0.29
BYS1-D03,EXG2,0.01
BYS1-D07,FAR1,0.71
BYS1-A04,FAT1,0.14
BYS1-F05,FEN2,0.13
RMB2-D08,FKS1,0.89
RMB2-F09,FKS1,0.93
BYB1-H06,FLC2,0.01
BYS1-A04,FMP27,0.03
RMS1-H08,FMP41,0.02
BYS1-D07,FYV8,0.21
BYB2-F10,GAL1,0.02
BYS2-E03,GAL11,0.12
BYS1-E03,GAL4,0.01
BYB2-F10,GAP1,0.18
BYS1-A08,GAS1,0.99
BYS2-C06,GAS1,0.99
BYS2-D06,GAS1,0.05
BYB1-H06,GAT2,0.25
RMB2-B10,GAT2,0.13
BYS2-E04,GCN1,0.78
RMS1-E09,GCN1,0.08
BYS1-D08,GCN2,0.01
BYS2-C06,GCR1,0.1
BYS1-G01,GIP1,0.14
BYB1-H06,GIS4,0.32
BYB1-H06,GPB1,0.24
BYS1-D03,GPB1,0.16
BYS1-G01,GPB2,0.51
BYB2-F09,HAA1,0.04
BYS1-D07,HAP1,0.19
BYS2-E01,HAP1,0.06
RMS1-H08,HEK2,0.06
RMB1-A02,HEM15,0.01
BYS2-B09,HFI1,0.01
BYS1-D03,HFM1,0.03
BYS1-D03,HFM1,0.06
BYB2-F07,HGH1,0.01
BYS2-E01,HIM1,0.04
BYS2-E04,HKR1,0.88
BYS1-E03,HOC1,0.24
RMB1-A02,HOP2,0.01
BYB2-E05,HSF1,0.01
BYS2-B09,HSL1,0.18
RMS1-E09,HSL1,0.02
BYB2-E05,HUL4,0.01
BYB1-H06,HXT8,0.36
BYB1-H10,IDP1,0.03
BYS2-D07,ILS1,0.2
RMS1-H08,INO80,0.03
BYS2-E01,IQG1,0.09
BYB1-C05,IRA1,0.52
BYB1-H10,IRA1,0.07
BYB2-E05,IRA1,0.36
BYB2-E05,IRA1,0.1
BYB2-F07,IRA1,0.94
BYB2-F09,IRA1,0.36
BYS1-A04,IRA1,0.01
BYS1-A08,IRA1,0.09
BYS1-E03,IRA1,0.71
BYS1-G01,IRA1,0.02
BYS2-D06,IRA1,0.22
RMB1-A02,IRA1,0.16
