gene,population,frequency
SPC2,0,1
OSW1,0,1
RAD33,0,1
UBP8,1,1
ACE2,1,1
MRL1,1,1
PLC1,1,1
GDH3,1,1
FRE7,1,1
FRE7,1,1
PFK2,1,1
PIK1,7,1
APE1,7,1
YOL087C,7,1
DOT6,7,1
PCL10,7,1
JHD2,7,1
SGS1,7,1
SUN4,7,1
PTR2,7,1
PPH3,9,1
RTT10,9,1
BIT61,10,1
GWT1,10,1
OPI10,10,1
MIH1,10,1
VPS8,10,1
LYS4,10,1
HIF1,10,1
IRC8,10,1
YMR259C,10,1
YNL115C,11,1
UBP14,11,1
UFO1,11,1
STB1,11,1
WHI2,11,1
STE50,11,1
TAF1,11,1
MEH1,11,1
ERG7,11,1
PIN4,11,1
SUN4,11,1
CDC28,11,1
HOF1,11,1
LEE1,11,1
ALG9,12,1
FMP30,12,1
ULI1,12,1
STE12,12,1
FAF1,12,1
SUN4,12,1
DNF3,12,1
RAD61,12,1
