gene,population,selective_pressure,frequency
sdaC,i,RDM20,1
yqiG,i,RDM20,1
envZ,i,RDM20,1
ydeT,ii,RDM20,1
waaO,ii,RDM20,1
mtdL,ii,RDM20,1
cyaA,ii,RDM20,1
opgG,iii,RDM20,1
clsA,iii,RDM20,1
sdaC,iii,RDM20,1
yghG,iii,RDM20,1
envZ,iii,RDM20,1
opgG,i,RDM19,1
ycjO,i,RDM19,1
waaO,i,RDM19,1
ycaA,i,RDM19,1
yahF,ii,RDM19,1
dosP,ii,RDM19,1
lhgO,ii,RDM19,1
yqeK,ii,RDM19,1
crp,ii,RDM19,1
hofC,iii,RDM19,1
ppx,iii,RDM19,1
rrlD,iii,RDM19,1
envZ,iii,RDM19,1
dnaA,iii,RDM19,1
cyaA,iii,RDM19,1
rrlD,iii,RDM19,1
flgJ,i,RDM13,1
rpoD,i,RDM13,1
mtr,i,RDM13,1
waaP,i,RDM13,1
cyaA,i,RDM13,1
pykF,ii,RDM13,1
sanA,ii,RDM13,1
mtr,ii,RDM13,1
ompR,ii,RDM13,1
yibA,ii,RDM13,1
yaiT,iii,RDM13,1
ompF,iii,RDM13,1
cysB,iii,RDM13,1
mtr,iii,RDM13,1
glpD,iii,RDM13,1
cyaA,iii,RDM13,1
yiiQ,iii,RDM13,1
