gene,population,selective_pressure,frequency
sdaC,i,RDM20,1
waaQ,i,RDM20,1
opgG,ii,RDM20,1
sdaC,ii,RDM20,1
waaO,ii,RDM20,1
sdaC,iii,RDM20,1
envZ,iii,RDM20,1
waaO,iii,RDM20,1
yidD,iii,RDM20,1
ybbP,i,RDM19,1
galU,i,RDM19,1
garD,i,RDM19,1
tusD,i,RDM19,1
cyaA,i,RDM19,1
opgH,ii,RDM19,1
waaB,ii,RDM19,1
caiC,iii,RDM19,1
quuD,iii,RDM19,1
tyrP,iii,RDM19,1
cyaA,iii,RDM19,1
yihY,iii,RDM19,1
ftsW,i,RDM13,1
galU,i,RDM13,1
tyrA,i,RDM13,1
kduI,i,RDM13,1
mtr,i,RDM13,1
lptD,ii,RDM13,1
yhcG,ii,RDM13,1
tnaA,ii,RDM13,1
galU,iii,RDM13,1
mtr,iii,RDM13,1
mtr,iii,RDM13,1
cyaA,iii,RDM13,1
rpsF,iii,RDM13,1
