"Population","Gene","Prop"
"Lineage 1","accC",1
"Lineage 2","accC",1
"Lineage 6","accC",1
"Lineage 5","accC",1
"Lineage 6","fadA ",0.965
"Lineage 5","fadA ",0.994
"Lineage 1","ftsZ",1
"Lineage 2","ftsZ",1
"Lineage 6","ftsZ",0.95
"Lineage 5","ftsZ",1
"Lineage 6","hupA*",0.911
"Lineage 1","iclR",0.26
"Lineage 1","iclR",0.184
"Lineage 3","iclR",0.508
"Lineage 4","iclR",0.922
"Lineage 4","iclR",0.922
"Lineage 6","infB*",0.031
"Lineage 2","kdpD",1
"Lineage 6","kdpD",1
"Lineage 5","kdpD",1
"Lineage 3","mrdA",0.95
"Lineage 6","mrdA",0.94
"Lineage 6","mrdA",0.024
"Lineage 6","mrdA",0.939
"Lineage 5","mrdB",0.95
"Lineage 4","mreB*",0.828
"Lineage 1","mreB*",0.95
"Lineage 2","mreB*",1
"Lineage 4","mreB*",0.824
"Lineage 6","nusA*",0.055
"Lineage 1","pykF",0.95
"Lineage 1","pykF",0.95
"Lineage 2","pykF",0.984
"Lineage 3","pykF",0.403
"Lineage 6","pykF",1
"Lineage 5","pykF",1
"Lineage 1","thrT/tuf",1
"Lineage 2","thrT/tuf",0.8
"Lineage 3","thrT/tuf",0.8
"Lineage 4","thrT/tuf",1
"Lineage 5","thrT/tuf",1
"Lineage 3","topA",0.95
"Lineage 3","ydhZ ← / → pykF",0.411
