"population","gene","prop"
"RMB2-F01","ACE2",0.98
"BYS1-A04","AHC1",0.43
"BYS2-A11","AIM2",0.25
"RMB1-A02","ASG1",0.43
"RMB2-B10","ATR1",0.27
"BYS1-A07","AXL2",1
"RMB2-B10","BCH1",0.5
"BYB2-F10","BCY1",1
"RMB2-F09","BEM2",0.3
"BYS2-D07","CAT2",0.09
"BYB2-F07","CMP2",0.94
"BYB1-H10","CNE1",0.19
"BYS1-A09","CNE1",0.11
"BYS1-D03","CNE1",0.24
"BYB2-F10","COX1",0.97
"BYS2-C03","CRF1",0.03
"BYB1-B01","CST6",1
"BYS1-A07","CTS1",1
"BYB2-F10","CUP9",0.36
"BYB2-F07","CWH41",0.93
"RMS2-D09","CWH41",0.99
"BYS1-E03","DBR1",0.8
"BYS2-E04","DMA2",1
"BYS1-A09","DMC1",0.06
"BYS1-G02","DOA4",0.1
"BYB1-G07","DOT6",0.32
"RMB2-F01","ECM21",1
"BYS1-E03","ECM25",0.36
"BYS1-A08","ELO1",1
"BYB2-F10","ENV9",1
"BYS1-E03","ERG11",0.96
"BYS2-C06","ERV1",0.3
"BYS1-D03","EXG2",0.17
"BYS1-D07","FAR1",0.77
"RMB2-D08","FKS1",0.91
"RMB2-F09","FKS1",0.94
"RMS1-H08","FMP41",0.06
"BYB2-F10","GAL1",0.46
"BYS2-E03","GAL11",0.24
"BYS1-A08","GAS1",1
"BYS2-C06","GAS1",0.99
"BYS2-D06","GAS1",0.93
"BYB1-H06","GAT2",0.45
"BYS2-E04","GCN1",0.99
"BYS1-D08","GCN2",0.06
"BYS1-G01","GIP1",0.43
"BYB1-H06","GIS4",0.35
"BYB1-H06","GPB1",0.65
"BYS1-D03","GPB1",0.24
"BYB1-H10","GPB2",0.19
"BYS1-G01","GPB2",0.34
"BYB2-F09","HAA1",0.73
"BYS1-D07","HAP1",0.24
"BYS1-D03","HFM1",0.21
"BYS2-E04","HKR1",1
"BYS1-E03","HMI1",0.36
"BYS2-B09","HSL1",0.89
