"Population","Gene","Prop"
"1G_1","aceF",2.81
"1G_3","acrB",2.443
"1G_3","acrD",1.792
"1G_3","acrR",18.893
"1G_1","adk",2.154
"1G_3","adrA",1.675
"1G_1","aer",1.474
"1G_1","agaD",1.408
"1G_1","alaS",6.445
"1G_1","ampE",1.261
"1G_2","araB",1.674
"1G_3","argP",10.166
"1G_2","aroD",5.023
"1G_1","astA",1.12
"1G_3","astD",6.481
"1G_1","atpD",1.152
"1G_3","bglX",4.237
"1G_1","brnQ",2.198
"1G_1","cheY",72.605
"1G_1","clpA",12.075
"1G_3","cmk",4.545
"1G_3","cspE",5.193
"1G_3","dacA",5.725
"1G_1","dapF",1.178
"1G_3","ddlB",3.527
"1G_2","ddpA",2.392
"1G_2","ddpB",2
"1G_3","dgoD",1.092
"1G_1","downstream iap",1.329
"1G_1","downstream tyrB/yjbS",1.606
"1G_3","dppB",3.14
"1G_1","dxs",11.722
"1G_2","edd",1.005
"1G_3","efeO",1.675
"1G_2","emrB",1.802
"1G_1","eptB",1.983
"1G_1","fadB",1.261
"1G_1","fbaB",1.307
"1G_1","fdnG",5.333
"1G_1","fdrA",11.284
"1G_1","fimH",69.948
"1G_1","fimH",2.664
"1G_1","fimI",1.399
"1G_3","fldA",4.13
"1G_2","flgJ",4.785
"1G_3","flhB",3.39
"1G_2","flhB",1.17
"1G_3","fliF",1.919
"1G_3","fliG",7.582
"1G_3","fliH",4.435
"1G_1","fliO",11.494
"1G_3","flu",2.013
"1G_3","focB",1.075
"1G_3","frlB",1.452
"1G_3","frlR",2.716
"1G_3","frsA",1.792
"1G_1","frvB",1.807
"1G_1","fryA",12.402
"1G_1","ftsK",2.941
"1G_3","ftsK",2.262
"1G_3","ftsK",6.84
"1G_3","ftsW",5.167
"1G_2","fucI",1.107
"1G_3","fucP",11.618
"1G_1","fumB",1.89
"1G_1","gabD",1.546
"1G_1","galR",1.105
"1G_2","galS",2.212
"1G_2","galS",2.232
"1G_2","galS",1.639
"1G_2","galS",2.41
"1G_2","galS",1.829
"1G_2","galS",1.277
"1G_2","galS",1.261
"1G_1","galS",9.846
"1G_2","galS",1.653
"1G_2","galS",3.54
"1G_3","glcE",22.074
"1G_3","glnE",1.217
"1G_3","glpG",8.068
"1G_3","gor",23.348
"1G_3","guaB",9.888
"1G_2","guaB",1.485
"1G_3","gudX",1.931
"1G_1","hflK",1.793
"1G_1","hflK",2.17
"1G_3","hfq",8.769
"1G_3","hfq",69.012
"1G_3","hrpB",2.913
"1G_3","hsdS",10.325
"1G_3","hsdS",4.69
"1G_1","hslR",1.333
"1G_3","hyaB",1.356
"1G_3","hycC",1.417
"1G_2","hyfD",1.361
"1G_3","hyfG",1.48
"1G_3","hypF",3.562
"1G_1","ilvI",1.929
"1G_3","ilvY",2.087
"1G_3","iscX",1.193
"1G_3","kdpB",6.739
"1G_1","leuC",2.5
"1G_3","lhr",4.016
"1G_2","livM",2.632
"1G_2","lpxM",1.587
"1G_1","lysR",1.067
"1G_3","lyxK",6.773
"1G_1","malG",1.207
"1G_3","malK",4.938
"1G_3","malK",10.643
"1G_3","malK",4.061
"1G_1","malK",12.15
"1G_2","malK",1.149
"1G_3","malK",2.128
"1G_3","malT",6.863
"1G_2","malT",1.079
"1G_2","malT",1.261
"1G_2","malT",1.613
"1G_3","malT",2.245
"1G_3","malT",60.706
"1G_2","malT",1.29
"1G_3","mdtN",3.524
"1G_3","melB",1.019
"1G_1","mraY",1.79
"1G_3","msbA",1.195
"1G_2","mscM",93.05
"1G_3","mukB",3.08
"1G_3","murR",6.072
"1G_1","nadC",1.29
"1G_3","narQ",8.855
"1G_3","narZ",1.042
"1G_1","nfrA",2.586
"1G_3","nikA",7.798
"1G_3","nudF",4.103
"1G_1","nuoC",3.905
"1G_3","nuoJ",9.546
"1G_1","opgC",13.719
"1G_3","opgG",2.641
"1G_3","opgH",1.025
"1G_3","opgH",23.261
"1G_3","opgH",10.44
"1G_3","opgH",8.25
"1G_3","opgH",7.018
"1G_3","opgH",1.134
"1G_3","opgH",19.799
"1G_3","pagP",6.079
"1G_1","pflB",2.038
"1G_3","pgi",7.002
"1G_1","pheU tRNA",74.623
"1G_3","phnD",7.648
"1G_2","phnJ",1.761
"1G_1","pinQ",1.093
"1G_2","potI",3.659
"1G_3","ppdA",5.323
"1G_3","pps",1.106
"1G_3","prc",3.696
"1G_3","prmC",1.286
"1G_3","proQ",21.722
"1G_3","ptrA",11.034
"1G_3","purL",1.23
"1G_3","putA",1.24
"1G_1","puuC",13.253
"1G_1","puuE",1.762
"1G_1","pykF",11.993
"1G_1","rbfA",2.017
"1G_3","rcsB",3.937
"1G_3","rcsD",2.431
"1G_2","recB",1.471
"1G_1","recF",1.167
"1G_3","relA",1.875
"1G_3","rfaQ",10.289
"1G_2","rhaA",6.13
"1G_3","rhlE",2.242
"1G_1","rho",1.184
"1G_1","rho",13.43
"1G_3","rho",97.31
"1G_3","rhsC",1.42
"1G_3","rlmL",10.441
"1G_3","rnc",9.503
"1G_1","rpoC",4.515
"1G_2","rpoS",4.016
"1G_3","rpoS",6.926
"1G_3","rpoS",1.671
"1G_2","rpsA",1.049
"1G_2","rsmC",7.489
"1G_3","rtn",7.711
"1G_3","sbcC",20.996
"1G_1","secA",4.301
"1G_1","secD",5.618
"1G_3","serA",1.144
