"Population","Gene","Prop"
"A4","fis",2
"A5","galR",2
"A5","hslU",2
"A4","iclR",2
"A2","mrdA",2
"A4","mrdA",2
"A6","mreC",2
"A6","nadR",2
"A2","pykF",2
"A4","pykF",2
"A5","pykF",2
"A6","pykF",2
"A5","rbsD, rbsA, rbsC, rbsB, rbsK, rbsR",2
"A1","rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO",2
"A4","rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO",2
"A6","rbsD, rbsA, rbsC, rbsB, rbsK, rbsR, yieO",2
"A1","spoT",2
"A2","spoT",2
"A4","spoT",2
"A1","topA",2
"A5","topA",2
"A6","trkH",2
"A5","ybeB",2
"A4","ybiA",2
"A5","yfaQ",2
"A6","yijC",2
