"population","gene","prop"
2,"aldB",1
4,"cdsA",1
4,"cfa",1
1,"cytR",1
2,"cytR",1
4,"cytR",1
2,"dapB",1
1,"deoR",1
2,"deoR",1
1,"dppA",1
4,"dppA",1
4,"emtA",1
4,"fadB",1
4,"gabP",1
2,"galP",1
2,"gcvA",1
4,"gcvA",1
4,"hisJ",1
2,"htpX",1
2,"ilvG",1
2,"ldtD",1
2,"leuV",1
4,"lpoA",1
4,"malE",1
4,"metZ",1
2,"mnmC",1
4,"mocA",1
2,"mscM",1
4,"mutL",1
2,"mutS",1
4,"nagZ",1
2,"narX",1
4,"nfrA",1
2,"nrfD",1
2,"paaX",1
4,"paaX",1
4,"phoR",1
1,"proQ",1
4,"proQ",1
2,"pspF",1
2,"purR",1
1,"putA",1
1,"putP",1
4,"putP",1
4,"rffG",1
2,"ribC",1
2,"rimJ",1
1,"rpoA",1
4,"rpoA",1
1,"rpoB",1
2,"rpoB",1
4,"rpoB",1
1,"rpoC",1
4,"rseP",1
1,"rsmG",1
1,"sstT",1
2,"sstT",1
4,"sstT",1
2,"sucC",1
4,"tyrR",1
2,"xdhA",1
4,"xdhD",1
2,"yacH",1
4,"yadS",1
2,"yagM",1
2,"ycgI",1
2,"yciW",1
4,"ydbA",1
4,"ydcO",1
1,"yeaR",1
4,"yfgF",1
4,"ygdQ",1
4,"yhcM",1
4,"yhjA",1
2,"yiaT",1
2,"yigG",1
4,"yigM",1
4,"ynfE",1
