"population","gene","prop"
"aa1","nagA",1
"aa1","nagA",1
"aa2","nagA",1
"aa2","nagA",1
"aa3","nagA",1
"aa3","nagA",1
"aa4","nagA",1
"aa4","nagA",1
"aa5","nagA",1
"aa5","nagA",1
"aa6","nagA",1
"aa6","nagA",1
"aa1","phoQ",1
"aa2","phoQ",1
"aa3","phoQ",1
"aa4","phoQ",1
"aa5","phoQ",1
"aa6","phoQ",1
"aa1","rpoC",1
"aa2","rpoC",1
"aa3","rpoC",1
"aa4","rpoC",1
"aa5","rpoC",1
"aa6","rpoC",1
"aa1","ycjX",1
"aa2","ycjX",1
"aa3","ycjX",1
"aa4","ycjX",1
"aa5","ycjX",1
"aa6","ycjX",1
"aa1","yejH",1
"aa2","yejH",1
"aa3","yejH",1
"aa4","yejH",1
"aa5","yejH",1
"aa6","yejH",1
"aa1","yjcB",1
"aa2","yjcB",1
"aa3","yjcB",1
"aa4","yjcB",1
"aa5","yjcB",1
"aa6","yjcB",1
"aa1","yraJ",1
"aa2","yraJ",1
"aa3","yraJ",1
"aa4","yraJ",1
"aa5","yraJ",1
"aa6","yraJ",1
