"population","gene","prop"
"aa1","ilvL",1
"aa2","ilvL",1
"aa3","ilvL",1
"aa4","ilvL",1
"aa5","ilvL",1
"aa6","ilvL",1
"aa1","rho",1
"aa1","rho",1
"aa2","rho",1
"aa2","rho",1
"aa3","rho",1
"aa3","rho",1
"aa4","rho",1
"aa4","rho",1
"aa5","rho",1
"aa5","rho",1
"aa6","rho",1
"aa6","rho",1
"aa1","rpoC",1
"aa1","rpoC",1
"aa1","rpoC",1
"aa1","rpoC",1
"aa1","rpoC",1
"aa2","rpoC",1
"aa2","rpoC",1
"aa2","rpoC",1
"aa2","rpoC",1
"aa2","rpoC",1
"aa3","rpoC",1
"aa3","rpoC",1
"aa3","rpoC",1
"aa3","rpoC",1
"aa3","rpoC",1
"aa4","rpoC",1
"aa4","rpoC",1
"aa4","rpoC",1
"aa4","rpoC",1
"aa4","rpoC",1
"aa5","rpoC",1
"aa5","rpoC",1
"aa5","rpoC",1
"aa5","rpoC",1
"aa5","rpoC",1
"aa6","rpoC",1
"aa6","rpoC",1
"aa6","rpoC",1
"aa6","rpoC",1
"aa6","rpoC",1
"aa1","tam",1
"aa2","tam",1
"aa3","tam",1
"aa4","tam",1
"aa5","tam",1
"aa6","tam",1
"aa1","ycgJ",1
"aa2","ycgJ",1
"aa3","ycgJ",1
"aa4","ycgJ",1
"aa5","ycgJ",1
"aa6","ycgJ",1
"aa1","yiaA",1
"aa2","yiaA",1
"aa3","yiaA",1
"aa4","yiaA",1
"aa5","yiaA",1
"aa6","yiaA",1
