"population","gene","prop"
1,"0","95%"
2,"0","100%"
4,"0","82.40%"
1,"0","18.40%"
3,"0","50.80%"
4,"0","92.20%"
4,"0","92.20%"
6,"0","94%"
6,"0","2.40%"
6,"0","93.90%"
6,"0","100%"
5,"0","100%"
1,"0","95%"
2,"0","98.40%"
3,"0","40.30%"
6,"0","100%"
5,"0","100%"
5,"0","99.40%"
2,"0","100%"
6,"0","95%"
5,"0","100%"
2,"0","100%"
6,"0","100%"
5,"0","100%"
1,"accC","100%"
6,"fadA","96.50%"
1,"ftsZ","100%"
6,"hupA","91.10%"
1,"iclR","26%"
6,"infB","3.10%"
2,"kdpD","100%"
3,"mrdA","95%"
5,"mrdB","95%"
4,"mreB","82.80%"
6,"nusA","5.50%"
1,"pykF","95%"
3,"topA","95%"
