"population","gene","prop"
3,"aaaE","day_50"
3,"aaaE","day_50"
3,"aaaE","day_50"
4,"aaaE","day_50"
4,"aaaE","day_50"
4,"aaaE","day_50"
6,"aaaE","day_50"
6,"aaaE","day_50"
6,"aaaE","day_50"
3,"aceF","day_50"
3,"aceF","day_50"
3,"aceF","day_50"
3,"aceF","day_50"
3,"aceF","day_50"
4,"aceF","day_50"
4,"aceF","day_50"
4,"aceF","day_50"
4,"aceF","day_50"
4,"aceF","day_50"
6,"aceF","day_50"
6,"aceF","day_50"
6,"aceF","day_50"
6,"aceF","day_50"
6,"aceF","day_50"
3,"argD","day_50"
4,"argD","day_50"
6,"argD","day_50"
3,"argE","day_50"
4,"argE","day_50"
6,"argE","day_50"
3,"argO","day_50"
4,"argO","day_50"
6,"argO","day_50"
3,"asd","day_50"
4,"asd","day_50"
6,"asd","day_50"
3,"bcsA","day_50"
3,"bcsA","day_50"
4,"bcsA","day_50"
4,"bcsA","day_50"
6,"bcsA","day_50"
6,"bcsA","day_50"
3,"bcsB","day_50"
3,"bcsB","day_50"
3,"bcsB","day_50"
3,"bcsB","day_50"
4,"bcsB","day_50"
4,"bcsB","day_50"
4,"bcsB","day_50"
4,"bcsB","day_50"
6,"bcsB","day_50"
6,"bcsB","day_50"
6,"bcsB","day_50"
6,"bcsB","day_50"
3,"bcsG","day_50"
4,"bcsG","day_50"
6,"bcsG","day_50"
3,"carB","day_50"
3,"carB","day_50"
3,"carB","day_50"
3,"carB","day_50"
3,"carB","day_50"
3,"carB","day_50"
3,"carB","day_50"
3,"carB","day_50"
4,"carB","day_50"
4,"carB","day_50"
4,"carB","day_50"
4,"carB","day_50"
4,"carB","day_50"
4,"carB","day_50"
4,"carB","day_50"
4,"carB","day_50"
6,"carB","day_50"
6,"carB","day_50"
6,"carB","day_50"
6,"carB","day_50"
6,"carB","day_50"
6,"carB","day_50"
6,"carB","day_50"
6,"carB","day_50"
3,"ccmB","day_50"
3,"ccmB","day_50"
3,"ccmB","day_50"
4,"ccmB","day_50"
4,"ccmB","day_50"
4,"ccmB","day_50"
6,"ccmB","day_50"
6,"ccmB","day_50"
6,"ccmB","day_50"
3,"copA","day_50"
3,"copA","day_50"
3,"copA","day_50"
4,"copA","day_50"
4,"copA","day_50"
4,"copA","day_50"
6,"copA","day_50"
6,"copA","day_50"
6,"copA","day_50"
3,"feaB","day_50"
3,"feaB","day_50"
3,"feaB","day_50"
4,"feaB","day_50"
4,"feaB","day_50"
4,"feaB","day_50"
6,"feaB","day_50"
6,"feaB","day_50"
6,"feaB","day_50"
3,"fixC","day_50"
3,"fixC","day_50"
3,"fixC","day_50"
4,"fixC","day_50"
4,"fixC","day_50"
4,"fixC","day_50"
6,"fixC","day_50"
6,"fixC","day_50"
6,"fixC","day_50"
3,"gltB","day_50"
4,"gltB","day_50"
