"population","gene","prop"
4,"aaaE","5.30%"
6,"aaaE","6.00%"
3,"aceF","8.70%"
3,"asd","7.10%"
4,"bcsB","6.00%"
4,"bcsB","5.40%"
4,"bcsG","6.70%"
4,"carB","5.00%"
6,"carB","37.50%"
3,"ccmB","5.80%"
6,"copA","7.70%"
3,"gltD","7.80%"
6,"helD","7.00%"
6,"lhr","6.10%"
3,"lysC","7.70%"
3,"mltF","5.10%"
3,"mqo","6.30%"
6,"mqo","6.10%"
6,"polA","6.50%"
6,"polA","5.20%"
3,"proA*","94.30%"
6,"proP","5.90%"
3,"puuB","6.30%"
4,"puuB","6.10%"
6,"rsxC","9.10%"
3,"srmB","5.30%"
4,"srmB","6.10%"
3,"ydbA","7.90%"
6,"ydbA","8.30%"
6,"ydbA","6.30%"
4,"yeeR","5.40%"
3,"yehH","9.50%"
4,"yehH","8.70%"
3,"ygcB","100%"
6,"ygcB","100%"
