"selective_pressure","population","gene","frequency"
"sulfate","s612pop","YBL063W",0
"sulfate","s611pop","YBR157C",0
"sulfate","s611pop","YBR200W",0
"sulfate","s611pop","YBR294W",0
"sulfate","s611pop","YBR294W",0
"sulfate","s612pop","YBR294W",0
"sulfate","s611pop","YDL018C",0
"sulfate","s611pop","YDL215C",0
"sulfate","s611pop","YDR349C",0
"sulfate","s611pop","YDR392W",0
"sulfate","s611pop","YEL022W",0
"sulfate","s611pop","YER153C",0
"sulfate","s611pop","YGL066W",0
"sulfate","s611pop","YGL083W",0
"sulfate","s612pop","YGL108C",0
"sulfate","s611pop","YIR007W",0
"sulfate","s612pop","YJR089W",0
"sulfate","s612pop","YJR126C",0
"sulfate","s612pop","YKL165C",0
"sulfate","s611pop","YKL203C",0
"sulfate","s612pop","YKR054C",0
"sulfate","s611pop","YKR070W",0
"sulfate","s611pop","YLR142W",0
"sulfate","s611pop","YML100W",0
"sulfate","s611pop","YNR063W",0
"sulfate","s611pop","YPL095C",0
"sulfate","s611pop","YPL125W",0
"sulfate","s611pop","YPL244C",0
"sulfate","s611pop","YPR158W",0
