"selective_pressure","population","gene","frequency"
"AMK & ENX",1,"acrR",1
"AMK & ENX",3,"acrR",1
"AMK & ENX",4,"cpxA",1
"AMK & ENX",7,"cpxR",1
"AMK & ENX",1,"cyaA",1
"AMK & ENX",2,"cyaA",1
"AMK & ENX",3,"cyaA",1
"AMK & ENX",2,"cyoB",1
"AMK & ENX",4,"cyoB",1
"AMK & ENX",6,"cyoB",1
"AMK & ENX",5,"cyoD",1
"AMK & ENX",7,"cyoE",1
"AMK & ENX",5,"ftsZ",1
"AMK & ENX",3,"fusA",1
"AMK & ENX",6,"fusA",1
"AMK & ENX",6,"fusA",1
"AMK & ENX",7,"glnU",1
"AMK & ENX",7,"glnV",1
"AMK & ENX",5,"gshA",1
"AMK & ENX",3,"nudH",1
"AMK & ENX",6,"nuoG",1
"AMK & ENX",3,"nuoM",1
"AMK & ENX",3,"ompF",1
"AMK & ENX",7,"ompF",1
"AMK & ENX",6,"pitA",1
"AMK & ENX",5,"pnp",1
"AMK & ENX",3,"ptsP",1
"AMK & ENX",4,"ptsP",1
"AMK & ENX",6,"rfaB",1
"AMK & ENX",2,"rfe",1
"AMK & ENX",6,"rfe",1
"AMK & ENX",4,"rpsS",1
"AMK & ENX",4,"rssB",1
"AMK & ENX",5,"rssB",1
"AMK & ENX",1,"rsxA",1
"AMK & ENX",4,"yedP",1
"AMK & ENX",2,"yheM",1
"AMK & ENX",3,"yjeP",1
"AMK & ENX",6,"yqcC",1
