"selective_pressure","population","gene","frequency"
"CP & ENX",1,"acrR",1
"CP & ENX",2,"acrR",1
"CP & ENX",6,"aroA",1
"CP & ENX",1,"atpA",1
"CP & ENX",5,"atpB",1
"CP & ENX",2,"atpD",1
"CP & ENX",7,"atpD",1
"CP & ENX",3,"atpF",1
"CP & ENX",4,"atpF",1
"CP & ENX",4,"marR",1
"CP & ENX",7,"marR",1
"CP & ENX",3,"mltD",1
"CP & ENX",2,"mrdA",1
"CP & ENX",1,"murB",1
"CP & ENX",5,"norR",1
"CP & ENX",1,"ompF",1
"CP & ENX",2,"ompF",1
"CP & ENX",3,"ompF",1
"CP & ENX",4,"ompF",1
"CP & ENX",5,"ompF",1
"CP & ENX",6,"ompF",1
"CP & ENX",7,"ompF",1
"CP & ENX",6,"plsX",1
"CP & ENX",6,"rffH",1
"CP & ENX",3,"rne",1
"CP & ENX",4,"rpoB",1
"CP & ENX",2,"rssB",1
"CP & ENX",2,"rsxC",1
"CP & ENX",6,"rsxC",1
"CP & ENX",6,"rsxC",1
"CP & ENX",6,"ybgH",1
"CP & ENX",1,"yddV",1
"CP & ENX",7,"ygaH",1
"CP & ENX",4,"ygaZ",1
"CP & ENX",7,"ygaZ",1
"CP & ENX",1,"yjjK",1
