"selective_pressure","population","gene","frequency"
"ENX",3,"acrR",1
"ENX",2,"atpC",1
"ENX",4,"atpC",1
"ENX",2,"atpD",1
"ENX",7,"bcsE",1
"ENX",4,"bipA",1
"ENX",4,"clpA",1
"ENX",1,"clpX",1
"ENX",6,"clpX",1
"ENX",2,"dcm",1
"ENX",7,"dnaK",1
"ENX",4,"envZ",1
"ENX",5,"gidA",1
"ENX",7,"gidA",1
"ENX",7,"gyrA",1
"ENX",1,"gyrB",1
"ENX",1,"helD",1
"ENX",2,"iscR",1
"ENX",7,"lpp",1
"ENX",7,"lpp",1
"ENX",4,"marR",1
"ENX",5,"mipA",1
"ENX",4,"mprA",1
"ENX",6,"nusG",1
"ENX",1,"pepA",1
"ENX",4,"plsC",1
"ENX",5,"rfaC",1
"ENX",4,"rffE",1
"ENX",7,"rob",1
"ENX",2,"rssB",1
"ENX",5,"rssB",1
"ENX",5,"secA",1
"ENX",2,"soxR",1
"ENX",3,"trkH",1
"ENX",3,"trmE",1
"ENX",5,"ybeA",1
"ENX",3,"ycbC",1
"ENX",7,"yciH",1
"ENX",3,"yejB",1
"ENX",6,"yfgA",1
"ENX",1,"ygbE",1
"ENX",1,"yhiJ",1
"ENX",2,"ynfC",1
