"population","gene","prop"
"A6","arcA",2
"A5","astE",2
"A5","blr",2
"A5","cls",2
"A5","crp",2
"A6","ECB02816",2
"A5","ECB02837",2
"A5","ECB02852",2
"A6","envZ",2
"A5","fabF",2
"A5","ftsI",2
"A5","glgC",2
"A5","hisL",2
"A5","hsdS",2
"A5","hslU",2
"A6","hslU",2
"A5","hyfA",2
"A5","hyfC",2
"A5","iap",2
"A6","iap",2
"A5","iclR",2
"A5","infB",2
"A6","infC",2
"A5","kduD",2
"A5","malT",2
"A6","malT",2
"A6","malT",2
"A6","malT",2
"A6","metH",2
"A5","metJ",2
"A6","mreC",2
"A5","mtlD",2
"A5","nadR",2
"A6","nadR",2
"A5","narH",2
"A6","oppD",2
"A5","phoH",2
"A5","plsB",2
"A6","prlA",2
"A5","pykA",2
"A5","pykF",2
"A5","pykF",2
"A6","pykF",2
"A6","recO",2
"A6","rhsD",2
"A5","rne",2
"A5","rplF",2
"A6","spoT",2
"A5","thrA",2
"A5","topA",2
"A5","uvrA",2
"A5","yafM",2
"A5","yahA",2
"A5","yahC",2
"A5","ybaL",2
"A5","ybeA",2
"A5","ybeB",2
"A5","ybeM",2
"A5","ybiN",2
"A5","ybjE",2
"A5","ycbB",2
"A5","ycdM",2
"A5","ydhH",2
"A5","ydhK",2
"A5","yeaU",2
"A5","yeeF",2
"A6","yegM",2
"A5","yfaQ",2
"A5","ygbO",2
"A5","ygiN",2
"A5","ygjG",2
"A6","yhdG",2
"A5","yicC",2
"A5","yihP",2
"A6","ylcG",2
"A5","yliE",2
