"population","gene","prop"
"A4","bglJ",1
"A6","cysQ",1
"A3","ECB_01992",1
"A4","ECB_01992",1
"A6","ECB_02818",1
"A6","eutC",1
"A3","fadL",1
"A4","fis",2
"A5","galR",2
"A3","hslU",1
"A5","hslU",2
"A4","iclR",2
"A3","infB",1
"A3","ldrC",1
"A2","menC",1
"A2","mrdA",2
"A4","mrdA",2
"A3","mrdB",1
"A6","mreC",2
"A3","nadR",1
"A6","nadR",2
"A1","pykF",1
"A1","pykF",1
"A2","pykF",2
"A3","pykF",1
"A3","pykF",1
"A4","pykF",2
"A5","pykF",2
"A6","pykF",2
"A5","rep",1
"A1","spoT",2
"A2","spoT",2
"A4","spoT",2
"A4","tilS",1
"A1","topA",2
"A5","topA",2
"A6","trkH",2
"A3","yabB",1
"A5","ybeB",2
"A4","ybiA",2
"A1","ydbH",1
"A3","yegP",1
"A5","yfaQ",2
"A2","yfhB",1
"A6","yhjK",1
"A3","yiaN",1
"A3","yijC",1
"A6","yijC",2
"A3","ytfN",1
