"population","gene","prop"
"µ3","[yejO]–[rcsD]",1
"µ1","codA <U+2192>",1
"wt2","degQ <U+2192>",1
"wt3","envZ <U+2190>",1
"µ1","evgA <U+2192>",1
"µ1","frlB <U+2192>",1
"µ3","galU <U+2192>",1
"µ2","hldE <U+2190>",1
"wt2","insA <U+2190> / <U+2192> uspC",1
"wt2","ivy–[ykfC]",1
"µ1","lamB <U+2192>",1
"µ3","malT <U+2192>",1
"µ3","manA <U+2192>",1
"wt3","manZ <U+2192>",1
"µ1","metT <U+2190>",1
"wt1","ompC <U+2190>",1
"µ1","ompC <U+2190>",1
"µ2","ompC <U+2190>",1
"wt2","ompC <U+2190> / <U+2192> rcsD",1
"wt1","pgm <U+2192>",1
"µ1","ptrA <U+2190>",1
"µ3","tyrP <U+2192>",1
"wt3","waaO <U+2190>",1
"µ1","waaO <U+2190>",1
"µ1","ybeM <U+2192>",1
"µ1","yjhG <U+2190>",1
"µ1","ymfQ <U+2192>",1
