"population","gene","prop"
"µ4","aas <U+2190> / <U+2192> galR",1
"µ6","ascF <U+2192>",1
"µ6","betA <U+2190>",1
"µ5","carB <U+2192> / <U+2192> caiF",1
"µ6","csdA <U+2192>",1
"µ4","dnaE <U+2192>",1
"µ4","erpA <U+2192> / <U+2190> yadS",1
"µ6","frmR <U+2190> / <U+2190> yaiO",1
"µ4","hmp <U+2192>",1
"µ6","mak <U+2192>",1
"µ4","mhpA <U+2192>",1
"wt5","nudE <U+2190> / <U+2192> yrfF",1
"µ5","preA <U+2192>",1
"µ4","proQ <U+2190>",1
"µ6","rbbA <U+2190>",1
"µ4","rcsB <U+2192>",1
"µ5","rcsB <U+2192>",1
"wt6","rcsC <U+2190>",1
"µ4","rcsC <U+2190>",1
"µ6","rcsC <U+2190>",1
"wt4","rcsD <U+2192>",1
"wt5","rcsD <U+2192>",1
"µ5","ssuD <U+2190>",1
"µ6","ybbD <U+2192>",1
"µ4","ybgI <U+2192>",1
"µ5","yebK <U+2192>",1
"µ5","yfcG <U+2192>",1
"µ5","yfjL <U+2190>",1
"µ4","yhjD <U+2192>",1
"µ6","yjbH <U+2192>",1
"wt4","yrfF <U+2192>",1
"µ5","yrfF <U+2192>",1
"µ6","yrfF <U+2192>",1
