paper,environment,Founder,c_hyper,p_chisq,estimate,N_genes.notParallel,N_genes.parallel,parallel_genes
Jersion2017,Synthetic-HT-high temperature,A03,13.751,0.005,0.015,25,1,ENP2
Jersion2017,Synthetic-HT-high temperature,A05,0,0.005,1,15,0,
Jersion2017,Synthetic-HT-high temperature,A06,17.689,0.005,0.004,8,1,BFR2
Jersion2017,Synthetic-HT-high temperature,A07,7.954,0.005,0.006,12,3,"PDE2, SIR4, SRS2"
Jersion2017,Synthetic-HT-high temperature,A10,19.728,0.005,0.002,7,2,"ENP2, RXT3"
Jersion2017,Synthetic-HT-high temperature,A11,0,0.215,1,9,0,
Jersion2017,Synthetic-HT-high temperature,A12,0,0.015,1,4,0,
Jersion2017,Synthetic-HT-high temperature,B04,13.516,0.005,0.003,6,1,GPB2
Jersion2017,Synthetic-HT-high temperature,B05,0,0.78,0.236,1,0,
Jersion2017,Synthetic-HT-high temperature,B07,0,0.005,1,5,0,
Jersion2017,Synthetic-HT-high temperature,C05,0,0.005,1,15,0,
Jersion2017,Synthetic-HT-high temperature,C06,0,0.005,1,2,0,
Jersion2017,Synthetic-HT-high temperature,C08,0,0.005,1,2,0,
Jersion2017,Synthetic-HT-high temperature,C09,11.023,0.005,0.005,8,1,UTP20
Jersion2017,Synthetic-HT-high temperature,D03,0,0.005,1,2,0,
Jersion2017,Synthetic-HT-high temperature,D04,0,0.02,1,4,0,
Jersion2017,Synthetic-HT-high temperature,D05,3.568,0.005,0.02,17,1,ENP2
Jersion2017,Synthetic-HT-high temperature,D07,11.03,0.01,0.003,6,1,ENP2
Jersion2017,Synthetic-HT-high temperature,D09,3.88,0.005,0.008,10,1,ENP2
Jersion2017,Synthetic-HT-high temperature,E07,27.075,0.005,0.001,2,1,PDE2
Jersion2017,Synthetic-HT-high temperature,E08,5.725,0.005,0.011,16,2,"ENP2, YPK9"
Jersion2017,Synthetic-HT-high temperature,F05,0,0.885,1,8,0,
Jersion2017,Synthetic-HT-high temperature,F07,6.949,0.005,0.007,10,1,SIR3
Jersion2017,Synthetic-HT-high temperature,F08,2.976,0.005,0.022,18,1,SIR3
Jersion2017,Synthetic-HT-high temperature,F10,17.088,0.005,0.004,9,3,"IRA1, KRE33, RQC2"
Jersion2017,Synthetic-HT-high temperature,G01,16.344,0.005,0.004,9,2,"ENP2, RTC1"
Jersion2017,Synthetic-HT-high temperature,G03,0,0.965,1,7,0,
Jersion2017,Synthetic-HT-high temperature,G09,0,1,1,11,0,
Jersion2017,Synthetic-HT-high temperature,G11,33.161,0.005,0.002,5,1,SIR3
Jersion2017,Synthetic-HT-high temperature,H02,0,0.285,1,14,0,
Jersion2017,Synthetic-HT-high temperature,H04,11.472,0.005,0.005,11,1,BFR2
Jersion2017,Synthetic-HT-high temperature,H07,19.365,0.005,0.004,10,1,IRA1
Jersion2017,Synthetic-HT-high temperature,H08,6.033,0.005,0.005,8,1,IRA1
Jersion2017,Synthetic-HT-high temperature,H12,5.492,0.005,0.009,11,1,KRE33
