Population,Gene,Details,Frequency
BHI1,Ecoli_contig00001_211037_211429,Protein ygiW precursor,-3.02
BHI1,Ecoli_contig00045_35127_35732,Osmotically inducible protein OsmY,-2.98
BHI1,Ecoli_contig00044_29629_29967,Chaperone HdeB,-0.24
BHI1,Ecoli_contig00044_30071_30403,Chaperone HdeA,-5.70
BHI1,Ecoli_contig00015_25505_25948,PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein,-5.12
BHI1,Ecoli_contig00022_5625_6146,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),-4.38
BHI1,Ecoli_contig00055_21093_21542,FIG00638941: hypothetical protein,-1.09
BHI1,Ecoli_contig00050_590_1990,Glutamate decarboxylase (EC 4.1.1.15),-4.34
BHI1,Ecoli_contig00023_22286_22495,UPF0337 protein yjbJ,-1.54
BHI1,Ecoli_contig00022_39196_40200,"""L,D-transpeptidase YnhG""",-4.09
BHI1,Ecoli_contig00002_143000_143332,FIG00638559: hypothetical protein,-2.86
BHI1,Ecoli_contig00003_202553_202828,FIG00639237: hypothetical protein,-3.53
BHI1,Ecoli_contig00041_3652_4128,Bacterioferritin Ecoli_contig00041_3652_4128|Bacterioferritin,-1.31
BHI1,Ecoli_contig00014_31118_31516,FIG00638813: hypothetical protein,-4.89
BHI1,Ecoli_contig00003_76107_76679,Glycoprotein-polysaccharide metabolism,-5.05
BHI1,Ecoli_contig00006_31820_32260,FIG00638953: hypothetical protein,-8.19
BHI1,Ecoli_contig00059_6428_7279,Chaperone protein hchA,-1.64
BHI1,Ecoli_contig00008_108643_108981,Osmotically inducible lipoprotein E precursor,-0.46
BHI1,Ecoli_contig00037_16112_16339,Putative cytoplasmic protein,-3.17
BHI1,Ecoli_contig00026_23548_23979,Osmotically inducible protein C,-1.74
BHI1,Ecoli_contig00001_126901_127206,Uncharacterized membrane protein YqjD,-0.81
BHI1,Ecoli_contig00012_25898_26545,Glutaredoxin 2,-4.39
BHI1,Ecoli_contig00010_26964_27467,Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),0.03
BHI1,Ecoli_contig00069_85_366,hypothetical protein,-0.92
BHI1,Ecoli_contig00029_32534_33202,Uncharacterized membrane lipoprotein clustered with tellurite resistance proteins TehA/TehB,-5.00
BHI1,Ecoli_contig00040_5204_6427,Phosphopentomutase (EC 5.4.2.7),-3.08
BHI1,Ecoli_contig00008_136790_137341,Glutathione peroxidase (EC 1.11.1.9),-4.42
BHI1,Ecoli_contig00017_21328_22068,Protein of unknown function DUF541,-4.50
BHI1,Ecoli_contig00091_1340_2665,"""Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4); Mercuric ion reductase (EC 1.16.1.1); PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase""",-5.04
BHI1,Ecoli_contig00010_81701_82432,"""Arginine ABC transporter, periplasmic arginine-binding protein ArtI""",-4.32
BHI1,Ecoli_contig00001_223263_224090,"""Methylglyoxal reductase, acetol producing (EC 1.1.1.-) / 2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)""",-4.49
BHI1,Ecoli_contig00087_3350_3976,Nicotinamidase family protein YcaC,-3.61
BHI1,Ecoli_contig00018_24926_25177,Glutaredoxin 3 (Grx3),-3.84
BHI1,Ecoli_contig00036_17112_18107,6-phosphogluconolactonase (EC 3.1.1.31),-4.33
BHI1,Ecoli_contig00055_3042_3557,S-ribosylhomocysteine lyase (EC 4.4.1.21) / Autoinducer-2 production protein LuxS,-1.02
BHI1,Ecoli_contig00010_83396_83911,probable lipoprotein,-4.11
BHI1,Ecoli_contig00028_9339_9539,FIG00639395: hypothetical protein,-5.46
BHI1,Ecoli_contig00040_38339_40255,Chaperone protein DnaK,-0.19
