population,gene,details,frequency
1,tyrZ -> / PA14_08570,intergenic,1
1,PA14_40860  /  PA14_40880,intergenic,1
1,fleR ,coding (840/1422 nt),1
1,crc ,(275 276/780 nt),1
1,cbrA ,coding (10 2877/2952 nt),1
2,hfq  /  miaA,intergenic (?12/+94),1
2,tyrZ  /  PA14_08570,intergenic (+114/?435),1
2,cbrA ,coding (10?2877/2952 nt),1
2,hfq  /  miaA,intergenic (?12/+94),1
2,tyrZ  /  PA14_08570,intergenic (+114/?435),1
2,dcd  /  rhlA,intergenic (+136/?288),1
2,PA14_29390 ,I527I (ATT?ATC),1
2,cbrA ,coding (10?2877/2952 nt),1
2,crc ,coding (143/780 nt),1
2,cbrA ,coding (10?2877/2952 nt),1
3,crc ,K77* (AAA?TAA),1
3,cbrA ,coding (10?2877/2952 nt),1
3,crc ,L185P (CTC?CCC),1
3,dcd  /  rhlA,intergenic (+136/?288),1
3,cbrA ,coding (10?2877/2952 nt),1
3,PA14_29390 ,I527I (ATT?ATC),1
3,hfq  /  miaA,intergenic (?59/+47),1
3,cbrA ,coding (10?2877/2952 nt),1
3,hfq ,T49S (ACC?AGC),1
3,dcd  /  rhlA,intergenic (+380/?44),1
3,PA14_40860  /  PA14_40880,intergenic (+60/?198),1
3,cbrA ,coding (10?2877/2952 nt),1
4,crc ,coding (404/780 nt),1
4,PA14_29390 ,H517H (CAT?CAC),1
4,PA14_29390 ,I527I (ATT?ATC),1
4,cbrA ,coding (10?2877/2952 nt),1
4,crc ,coding (490?549/780 nt),1
4,dcd  /  rhlA,intergenic (+136/?288),1
4,cbrA ,coding (10?2877/2952 nt),1
4,crc ,D189N (GAC?AAC),1
4,polB ,M117V (ATG?GTG),1
4,PA14_52530  /  PA14_52540,intergenic (+71/+31),1
4,cbrA ,coding (10?2877/2952 nt),1
4,hfq ,P64A (CCG?GCG),1
4,pvdS  /  pvdG,intergenic (?96/?548),1
4,cbrA ,coding (10?2877/2952 nt),1
4,hfq ,R66C (CGT?TGT),1
4,tyrZ  /  PA14_08570,intergenic (+114/?435),1
4,PA14_16820  /  PA14_16830,intergenic (+32/+11),1
4,fabI  /  ppiD,intergenic (+83/+15),1
4,fabI  /  ppiD,intergenic (+85/+13),1
4,PA14_52530  /  PA14_52540,intergenic (+71/+31),1
4,cbrA ,coding (10?2877/2952 nt),1
5,crc ,G147D (GGC?GAC),1
5,tyrZ  /  PA14_08570,intergenic (+114/?435),1
5,cbrA ,coding (10?2877/2952 nt),1
5,crc ,Q34* (CAG?TAG),1
5,fleQ ,V270G (GTC?GGC),1
5,dcd  /  rhlA,intergenic (+380/?44),1
5,PA14_40860  /  PA14_40880,intergenic (+60/?198),1
5,cbrA ,coding (10?2877/2952 nt),1
5,crc ,coding (718?726/780 nt),1
5,tyrZ  /  PA14_08570,intergenic (+114/?435),1
5,PA14_52530  /  PA14_52540,intergenic (+71/+31),1
5,cbrA ,coding (10?2877/2952 nt),1
5,crc ,coding (718?726/780 nt),1
5,dcd  /  rhlA,intergenic (+136/?288),1
5,cbrA ,coding (10?2877/2952 nt),1
6,crc ,coding (490?549/780 nt),1
6,fleN ,S28L (TCG?TTG),1
6,dcd  /  rhlA,intergenic (+380/?44),1
6,dcd  /  rhlA,intergenic (+423/?1),1
6,cbrA ,coding (10?2877/2952 nt),1
6,crc ,coding (490?549/780 nt),1
6,cbrA ,coding (10?2877/2952 nt),1
6,pyrE  /  crc,intergenic (?48/?33),1
6,fleN ,V178G (GTC?GGC),1
6,cbrA ,coding (10?2877/2952 nt),1
