"population","gene","prop"
"BYS1-F05","ACA1",0.1
"BYS1-D07","ACC1",0.07
"BYB2-E05","ACE2",0.15
"BYS1-D07","ACE2",0.45
"BYS2-A11","ACE2",1
"RMB1-A02","ACE2",0.97
"RMB2-D08","ACE2",0.2
"RMB2-F01","ACE2",1
"RMB2-F09","ACE2",0.42
"RMS1-E09","ACE2",1
"RMS1-G02","ADE6",0.03
"BYS1-D07","AFG3",0.47
"BYS2-C01","AHA1",0.69
"BYS1-A04","AHC1",0.04
"BYS2-D06","AIM39",0.18
"RMS2-D09","AKL1",0.02
"BYB1-H06","ALK1",1
"BYS1-E03","ALT1",0.25
"BYB1-H10","ALY2",0.13
"BYB1-C05","ANP1",0.02
"BYS2-B09","ANP1",1
"RMS1-E09","ANP1",0.43
"RMS1-E09","APL6",1
"BYS2-E04","APN1",0.15
"RMS1-E09","ARA1",1
"RMS1-E09","ARO1",0.97
"BYS1-F05","ARO80",0.25
"BYS2-C03","ARP1",1
"RMB1-A02","ASG1",0.03
"RMS1-G02","ATG11",0.99
"BYS1-A09","ATG22",0.96
"RMS2-D09","ATG34",0.11
"BYS2-B09","ATP10",0.98
"RMB2-B10","ATR1",0.02
"BYS1-E03","AUS1",0.25
"BYB1-H10","AXL2",0.01
"BYS1-A07","AXL2",0.99
"RMB2-B10","BCH1",0.54
"BYS2-B09","BCK1",0.31
"BYB2-F10","BCY1",1
"RMB2-F09","BEM2",0.87
"BYS1-E03","BOI1",1
"RMB2-B10","BOR1",0.21
"BYS2-C06","BPL1",0.6
"BYS1-D08","BRR2",0.05
"RMS1-D12","BTS1",0.16
"RMS2-D09","BUD8",0.55
"BYS1-A09","CAB3",0.98
"RMS1-D12","CAF4",0.97
"BYS2-E03","CAN1",0.45
"BYS2-D07","CAT2",0.92
"RMS1-E09","CCC2",1
"BYS2-B09","CCT2",0.16
"BYS2-E01","CCW12",1
"RMB1-A02","CCW12",0.07
"RMS1-G02","CDC24",0.03
"BYS2-E03","CDC28",0.39
"BYS2-A11","CDC37",0.77
"BYS1-F05","CDC39",0.04
"BYS2-E03","CDC39",0.14
"BYB2-F07","CDC43",0.68
"BYS2-E03","CDC55",0.01
"BYS2-D07","CHS2",0.11
"BYS1-G01","CIN2",0.09
"BYB2-F10","CMK2",0.39
"BYS2-E01","CMK2",0.19
"BYB2-F07","CMP2",1
"BYB1-H10","CNE1",0.02
"BYS1-A09","CNE1",1
"BYS1-D03","CNE1",1
"RMS1-G02","COP1",0.95
"BYB2-F10","COX1",0.96
"RMS1-G02","COX11",0.96
"BYS1-D08","CPD1",0.78
"BYS2-C03","CRF1",0.98
"BYS1-F05","CRT10",0.27
"BYB2-F10","CSE1",0.64
"BYS1-D07","CSE1",0.07
"BYS1-E03","CSF1",0.39
"BYB1-B01","CST6",1
"BYS1-E03","CTR86",0.49
"BYS1-A07","CTS1",0.99
"BYS2-E03","CTS1",0.15
"BYS1-E03","CUE2",0.58
"BYB2-F10","CUP9",0.31
"BYB2-F10","CUP9",0.07
"BYB2-F07","CWH41",0.93
"RMS2-D09","CWH41",0.99
"RMB1-A02","CYB5",1
"BYS2-B09","DBF20",0.26
"BYS1-E03","DBR1",0.99
"BYB1-H10","DCR2",0.02
"RMB2-F01","DCW1",1
"BYS2-E03","DEF1",0.54
"RMB1-A02","DHH1",0.26
"BYS1-E03","DIA1",0.06
"BYS1-G02","DIE2",0.38
"BYB1-H06","DIG1",0.99
"BYB1-H06","DLT1",0.23
"BYS2-E04","DMA2",0.98
"BYS1-G02","DOA4",1
"BYB1-G07","DOT6",0.99
"BYS1-G02","DOT6",0.01
