gene,population,frequency
ackA,Evo04pgiEvo01EP,1
entB,Evo04pgiEvo01EP,1
insH1,Evo04pgiEvo01EP,1
prkB,Evo04pgiEvo01EP,1
pta,Evo04pgiEvo01EP,1
rpoD,Evo04pgiEvo01EP,0.517
rseC,Evo04pgiEvo01EP,1
spf,Evo04pgiEvo01EP,0.9941
truC,Evo04pgiEvo01EP,1
yciC,Evo04pgiEvo01EP,1
bcp,Evo04pgiEvo02EP,0.132
bcp,Evo04pgiEvo02EP,0.235
bcp,Evo04pgiEvo02EP,0.235
crp,Evo04pgiEvo02EP,0.153
insH1,Evo04pgiEvo02EP,1
rpoD,Evo04pgiEvo02EP,0.165
soxR,Evo04pgiEvo02EP,1
spf,Evo04pgiEvo02EP,0.9942
ackA,Evo04pgiEvo03EP,0.14
alsE,Evo04pgiEvo03EP,0.216
rpoD,Evo04pgiEvo03EP,0.431
spf,Evo04pgiEvo03EP,0.133
spf,Evo04pgiEvo03EP,0.133
spf,Evo04pgiEvo03EP,0.133
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.131
spf,Evo04pgiEvo03EP,0.129
yfeR,Evo04pgiEvo03EP,1
insH1,Evo04pgiEvo04EP,1
nagC,Evo04pgiEvo04EP,0.27
pntB,Evo04pgiEvo04EP,1
rapA,Evo04pgiEvo04EP,0.102
rapA,Evo04pgiEvo04EP,1
rpoD,Evo04pgiEvo04EP,1
rsxC,Evo04pgiEvo04EP,0.119
rsxC,Evo04pgiEvo04EP,0.116
dauA,Evo04pgiEvo05EP,0.3391
rpoD,Evo04pgiEvo05EP,1
yidX,Evo04pgiEvo05EP,0.11
crp,Evo04pgiEvo06EP,0.124
insH1,Evo04pgiEvo06EP,1
malT,Evo04pgiEvo06EP,1
rapA,Evo04pgiEvo06EP,1
rapA,Evo04pgiEvo06EP,0.845
rapA,Evo04pgiEvo06EP,0.845
rapA,Evo04pgiEvo06EP,0.859
rapA,Evo04pgiEvo06EP,0.859
rapA,Evo04pgiEvo06EP,0.141
rapA,Evo04pgiEvo06EP,0.141
spf,Evo04pgiEvo06EP,0.9627
ycbC,Evo04pgiEvo06EP,0.6696
zwf,Evo04pgiEvo06EP,1
crr,Evo04pgiEvo07EP,0.9832
galR,Evo04pgiEvo07EP,1
insH1,Evo04pgiEvo07EP,1
opgG,Evo04pgiEvo07EP,0.3209
opgH,Evo04pgiEvo07EP,0.112
sthA,Evo04pgiEvo07EP,1
insH1,Evo04pgiEvo08EP,1
rpoC,Evo04pgiEvo08EP,1
spf,Evo04pgiEvo08EP,0.9708
yebK,Evo04pgiEvo08EP,0.9877
