gene,population,frequency
ftsZ ,wt1,0
lpxC ,wt1,0
dnaE ,wt1,0
betA ,wt1,0
codA ,wt1,0
mhpA ,wt1,0
mak ,wt1,0
ybbD ,wt1,0
appY ,wt1,0
ybeM ,wt1,0
metT ,wt1,0
asnB ,wt1,0
pgm ,wt1,1
ybgI ,wt1,0
ssuD ,wt1,0
ymfQ ,wt1,0
galU ,wt1,0
manA ,wt1,0
uidA ,wt1,0
arpB ,wt1,0
nudG ,wt1,0
yeaD ,wt1,0
manZ ,wt1,0
proQ ,wt1,0
yebK ,wt1,0
tyrP ,wt1,0
fliR ,wt1,1
wcaG ,wt1,0
preA ,wt1,0
yejM ,wt1,0
ompC ,wt1,0
ompC ,wt1,1
ompC ,wt1,0
rcsD ,wt1,0
rcsD ,wt1,0
rcsB ,wt1,0
rcsB ,wt1,0
rcsC ,wt1,0
rcsC ,wt1,0
rcsC ,wt1,0
rcsC ,wt1,0
rcsC ,wt1,0
yfcG ,wt1,0
evgA ,wt1,0
pbpC ,wt1,0
hmp ,wt1,0
yfjL ,wt1,0
ascF ,wt1,0
csdA ,wt1,0
ptrA ,wt1,0
ygiS ,wt1,0
hldE ,wt1,0
degQ ,wt1,0
frlB ,wt1,0
yrfF ,wt1,0
yrfF ,wt1,0
yrfF ,wt1,0
envZ ,wt1,0
malT ,wt1,0
rbbA ,wt1,0
yhiL ,wt1,0
yhjD ,wt1,0
waaO ,wt1,0
waaO ,wt1,0
aspT ,wt1,0
ilvE ,wt1,0
kdgT ,wt1,0
yjaA ,wt1,0
yjbH ,wt1,0
lamB ,wt1,0
yjhG ,wt1,0
fimE ,wt1,0
fimE ,wt1,0
fimE ,wt1,0
hsdM ,wt1,0
leuP ,wt1,0
ftsZ ,wt2,0
lpxC ,wt2,0
dnaE ,wt2,0
betA ,wt2,0
codA ,wt2,0
mhpA ,wt2,0
mak ,wt2,0
ybbD ,wt2,0
appY ,wt2,0
ybeM ,wt2,0
metT ,wt2,0
asnB ,wt2,0
pgm ,wt2,0
ybgI ,wt2,0
ssuD ,wt2,0
ymfQ ,wt2,0
galU ,wt2,0
manA ,wt2,0
uidA ,wt2,0
arpB ,wt2,0
nudG ,wt2,0
yeaD ,wt2,0
manZ ,wt2,0
proQ ,wt2,0
yebK ,wt2,0
tyrP ,wt2,0
fliR ,wt2,0
wcaG ,wt2,0
preA ,wt2,0
yejM ,wt2,1
ompC ,wt2,0
ompC ,wt2,0
ompC ,wt2,0
rcsD ,wt2,0
rcsD ,wt2,0
rcsB ,wt2,0
rcsB ,wt2,0
rcsC ,wt2,0
rcsC ,wt2,0
rcsC ,wt2,0
rcsC ,wt2,0
rcsC ,wt2,0
yfcG ,wt2,0
evgA ,wt2,0
pbpC ,wt2,0
hmp ,wt2,0
yfjL ,wt2,0
ascF ,wt2,0
csdA ,wt2,0
ptrA ,wt2,0
ygiS ,wt2,0
hldE ,wt2,0
degQ ,wt2,1
frlB ,wt2,0
yrfF ,wt2,0
yrfF ,wt2,0
yrfF ,wt2,0
envZ ,wt2,0
malT ,wt2,0
rbbA ,wt2,0
yhiL ,wt2,0
yhjD ,wt2,0
waaO ,wt2,0
waaO ,wt2,0
aspT ,wt2,0
ilvE ,wt2,0
kdgT ,wt2,0
yjaA ,wt2,0
yjbH ,wt2,0
lamB ,wt2,0
yjhG ,wt2,0
fimE ,wt2,0
fimE ,wt2,0
fimE ,wt2,0
hsdM ,wt2,0
leuP ,wt2,0
ftsZ ,wt3,0
lpxC ,wt3,0
dnaE ,wt3,0
betA ,wt3,0
codA ,wt3,0
mhpA ,wt3,0
mak ,wt3,0
ybbD ,wt3,0
appY ,wt3,0
ybeM ,wt3,0
metT ,wt3,0
asnB ,wt3,0
pgm ,wt3,0
ybgI ,wt3,0
ssuD ,wt3,0
ymfQ ,wt3,0
galU ,wt3,0
manA ,wt3,0
uidA ,wt3,0
arpB ,wt3,0
nudG ,wt3,0
yeaD ,wt3,0
manZ ,wt3,1
proQ ,wt3,0
yebK ,wt3,0
tyrP ,wt3,0
fliR ,wt3,0
wcaG ,wt3,0
preA ,wt3,0
yejM ,wt3,0
ompC ,wt3,0
ompC ,wt3,0
ompC ,wt3,0
rcsD ,wt3,0
rcsD ,wt3,0
rcsB ,wt3,0
rcsB ,wt3,0
rcsC ,wt3,0
rcsC ,wt3,0
rcsC ,wt3,0
rcsC ,wt3,0
rcsC ,wt3,0
yfcG ,wt3,0
evgA ,wt3,0
pbpC ,wt3,1
hmp ,wt3,0
yfjL ,wt3,0
ascF ,wt3,0
csdA ,wt3,0
ptrA ,wt3,0
ygiS ,wt3,0
hldE ,wt3,0
degQ ,wt3,0
frlB ,wt3,0
yrfF ,wt3,0
yrfF ,wt3,0
yrfF ,wt3,0
envZ ,wt3,1
malT ,wt3,0
rbbA ,wt3,0
yhiL ,wt3,0
yhjD ,wt3,0
waaO ,wt3,0
waaO ,wt3,1
aspT ,wt3,0
ilvE ,wt3,0
kdgT ,wt3,0
yjaA ,wt3,0
yjbH ,wt3,0
lamB ,wt3,0
yjhG ,wt3,0
fimE ,wt3,0
fimE ,wt3,0
fimE ,wt3,0
hsdM ,wt3,0
leuP ,wt3,0
ftsZ ,u1,0
lpxC ,u1,0
dnaE ,u1,0
betA ,u1,0
codA ,u1,1
mhpA ,u1,0
mak ,u1,0
ybbD ,u1,0
appY ,u1,0
ybeM ,u1,1
metT ,u1,1
asnB ,u1,1
pgm ,u1,0
ybgI ,u1,0
ssuD ,u1,0
ymfQ ,u1,1
galU ,u1,0
manA ,u1,0
uidA ,u1,0
arpB ,u1,0
nudG ,u1,0
yeaD ,u1,0
manZ ,u1,0
proQ ,u1,0
yebK ,u1,0
tyrP ,u1,0
fliR ,u1,0
wcaG ,u1,0
preA ,u1,0
yejM ,u1,0
ompC ,u1,1
ompC ,u1,0
ompC ,u1,0
rcsD ,u1,0
rcsD ,u1,0
rcsB ,u1,0
rcsB ,u1,0
rcsC ,u1,0
rcsC ,u1,0
rcsC ,u1,0
rcsC ,u1,0
rcsC ,u1,0
yfcG ,u1,0
evgA ,u1,1
pbpC ,u1,0
hmp ,u1,0
yfjL ,u1,0
ascF ,u1,0
csdA ,u1,0
ptrA ,u1,1
ygiS ,u1,0
hldE ,u1,0
degQ ,u1,0
frlB ,u1,1
yrfF ,u1,0
yrfF ,u1,0
yrfF ,u1,0
envZ ,u1,0
malT ,u1,0
rbbA ,u1,0
yhiL ,u1,0
yhjD ,u1,0
waaO ,u1,1
waaO ,u1,0
aspT ,u1,1
ilvE ,u1,0
kdgT ,u1,0
yjaA ,u1,0
yjbH ,u1,0
lamB ,u1,1
yjhG ,u1,1
fimE ,u1,0
fimE ,u1,0
fimE ,u1,0
hsdM ,u1,0
leuP ,u1,0
ftsZ ,u2,0
lpxC ,u2,1
dnaE ,u2,0
betA ,u2,0
codA ,u2,0
mhpA ,u2,0
mak ,u2,0
ybbD ,u2,0
appY ,u2,0
ybeM ,u2,0
metT ,u2,0
asnB ,u2,0
pgm ,u2,0
ybgI ,u2,0
ssuD ,u2,0
ymfQ ,u2,0
galU ,u2,0
manA ,u2,0
uidA ,u2,0
arpB ,u2,1
nudG ,u2,0
yeaD ,u2,0
manZ ,u2,0
proQ ,u2,0
yebK ,u2,0
tyrP ,u2,0
fliR ,u2,0
wcaG ,u2,0
preA ,u2,0
yejM ,u2,0
ompC ,u2,0
ompC ,u2,0
ompC ,u2,1
rcsD ,u2,0
rcsD ,u2,0
rcsB ,u2,0
rcsB ,u2,0
rcsC ,u2,0
rcsC ,u2,0
rcsC ,u2,0
rcsC ,u2,0
rcsC ,u2,0
yfcG ,u2,0
evgA ,u2,0
pbpC ,u2,0
hmp ,u2,0
yfjL ,u2,0
ascF ,u2,0
csdA ,u2,0
ptrA ,u2,0
ygiS ,u2,0
hldE ,u2,1
degQ ,u2,0
frlB ,u2,0
yrfF ,u2,0
yrfF ,u2,0
yrfF ,u2,0
envZ ,u2,0
malT ,u2,0
rbbA ,u2,0
yhiL ,u2,0
yhjD ,u2,0
waaO ,u2,0
waaO ,u2,0
aspT ,u2,0
ilvE ,u2,1
kdgT ,u2,1
yjaA ,u2,0
yjbH ,u2,0
lamB ,u2,0
yjhG ,u2,0
fimE ,u2,0
fimE ,u2,0
fimE ,u2,0
hsdM ,u2,0
leuP ,u2,0
ftsZ ,u3,0
lpxC ,u3,0
dnaE ,u3,0
betA ,u3,0
codA ,u3,0
mhpA ,u3,0
mak ,u3,0
ybbD ,u3,0
appY ,u3,0
ybeM ,u3,0
metT ,u3,0
asnB ,u3,0
pgm ,u3,0
ybgI ,u3,0
ssuD ,u3,0
ymfQ ,u3,0
galU ,u3,0
manA ,u3,1
uidA ,u3,0
arpB ,u3,0
nudG ,u3,0
yeaD ,u3,0
manZ ,u3,0
proQ ,u3,0
yebK ,u3,0
tyrP ,u3,1
fliR ,u3,0
wcaG ,u3,0
preA ,u3,0
yejM ,u3,0
ompC ,u3,0
ompC ,u3,0
ompC ,u3,0
rcsD ,u3,0
rcsD ,u3,0
rcsB ,u3,0
rcsB ,u3,0
rcsC ,u3,0
rcsC ,u3,0
rcsC ,u3,0
rcsC ,u3,0
rcsC ,u3,0
yfcG ,u3,0
evgA ,u3,0
pbpC ,u3,0
hmp ,u3,0
yfjL ,u3,0
ascF ,u3,0
csdA ,u3,0
ptrA ,u3,0
ygiS ,u3,0
hldE ,u3,0
degQ ,u3,0
frlB ,u3,0
yrfF ,u3,0
yrfF ,u3,0
yrfF ,u3,0
envZ ,u3,0
malT ,u3,1
rbbA ,u3,0
yhiL ,u3,0
yhjD ,u3,0
waaO ,u3,0
waaO ,u3,0
aspT ,u3,0
ilvE ,u3,0
kdgT ,u3,0
yjaA ,u3,0
yjbH ,u3,0
lamB ,u3,0
yjhG ,u3,0
fimE ,u3,0
fimE ,u3,0
fimE ,u3,1
hsdM ,u3,0
leuP ,u3,0
