gene,details,A0 F0 I1 R1,A7 F90 I0 R1,A7 F90 I0 R2,A7 F90 I0 R3,A7 F90 I1 R1,A7 F90 I2 R1,A7 F90 I3 R1,A7 F90 I4 R1,A7 F90 I5 R1,A7 F90 I6 R1,A7 F90 I7 R1,A7 F90 I8 R1,A7 F90 I9 R1,A8 F91 I0 R1,A8 F91 I0 R2,A8 F91 I1 R1,A8 F91 I2 R1,A8 F91 I3 R1,A8 F91 I4 R1,A8 F91 I5 R1,A8 F91 I6 R1,A8 F91 I7 R1,A8 F91 I8 R1,A8 F91 I9 R1,A8 F91 I10 R1,A8 F91 I11 R1,A9 F92 I0 R1,A9 F92 I0 R2,A9 F92 I1 R1,A9 F92 I2 R1,A9 F92 I3 R1,A9 F92 I4 R1,A9 F92 I5 R1,A9 F92 I6 R1,A9 F92 I7 R1,A9 F92 I8 R1
"insB1, insA",,,,,,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
"ychE, oppA",intergenic (+254/‑485),,,,,,1,,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,
rpoB,P520L (CCG→CTG),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rph, rph",,,0.39,1,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
icd,H366H (CAC→CAT),,,,,,,,,1,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,
icd,T370T (ACC→ACT),,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,
icd,L375M (TTA→CTG),,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,
icd,L375M (TTA→CTG),,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,
"pyrE, rph",intergenic (‑42/+24),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"pyrE, rph",intergenic (‑40/+26),,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
rhsE,pseudogene (1274/2037 nt),,0.25,1,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
rhsE,pseudogene (1279/2037 nt),,0.24,1,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
rhsE,pseudogene (1284/2037 nt),,0.24,1,0.95,1,,,,1,1,1,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
rhsE,pseudogene (1302/2037 nt),,0.27,1,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
rhsE,pseudogene (1317/2037 nt),,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yobF,coding (141‑144/144 nt),,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
gatC,pseudogene (1‑2/442 nt),,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,
rpoC,N720H (AAC→CAC),,0.56,,,,1,1,1,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
"gltP, yjcO",intergenic (+396/+246),,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,
"gltP, yjcO",intergenic (+397/+245),,,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
"gltP, yjcO",intergenic (+474/+168),,0.37,0.24,0.34,,,,,,,,,,0.36,0.32,,,,,,,,,,,,0.32,0.26,,,,,,,,
"gltP, yjcO",intergenic (+492/+150),,0.22,,0.23,,,,,,,,,,0.27,,,,,,,,,,,,,,0.21,,,,,,,,
"gltP, yjcO",intergenic (+586/+56),,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,
"gltP, yjcO",intergenic (+586/+56),,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gltP, yjcO",intergenic (+586/+56),,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapB,R146C (CGT→TGT),,,,,,,,,,,,,,0.38,,1,1,,1,1,1,,,,1,1,,,,,,,,,,
waaO,D275Y (GAT→TAT),,,,,,,,,,,,,,0.38,,,,,,,,1,,,,,,,,,,,,,,
"pyrE, rph",intergenic (‑41/+25),,,,,,,,,,,,,,0.42,0.79,,,,,,,,,,,,,,,,,,,,,
"pyrE, rph",intergenic (‑42/+24),,,,,,,,,,,,,,0.49,,1,1,,1,1,1,,,1,1,1,,,,,,,,,,
yicC,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
rho,R102L (CGC→CTC),,,,,,,,,,,,,,0.27,,,,,,,,1,,,,,,,,,,,,,,
yobF,coding (141‑144/144 nt),,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
"nrdA, nrdB",intergenic (+90/‑57),,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,1,,1,1,1
ptsP,coding (704/2247 nt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1
rpoC,K398M (AAG→ATG),,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,1,,1,1,1
ptsP,coding (1305/2247 nt),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
mutY,V302V (GTG→GTT),,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
cspC,coding (191‑194/210 nt),,0.43,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ptsP,Q340* (CAG→TAG),,0.51,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
secY,F401Y (TTC→TAC),,0.55,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"yihU, yihV",intergenic (‑70/‑98),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
ptsP,Q375* (CAG→TAG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
rng,Q474H (CAA→CAC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
rpoB,F1187L (TTC→TTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
yobF,coding (22‑30/144 nt),,0.45,1,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
ptsP,E261* (GAG→TAG),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"yiaY, selB",intergenic (‑93/+94),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
rpoB,V1186M (GTG→ATG),,0.33,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
rhsD,S1178R (AGC→CGC),,,0.2,0.21,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,
rhsD,E1180E (GAA→GAG),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,
icd,N385N (AAC→AAT),,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
icd,A386A (GCG→GCC),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
icd,K387K (AAA→AAG),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
icd,T390T (ACC→ACT),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
icd,E394E (GAG→GAA),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
icd,D398E (GAT→GAA),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
eamA,R39L (CGC→CTC),,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
"pyrE, rph",intergenic (‑33/+33),,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
rpoC,N762H (AAC→CAC),,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
pykF,coding (760/1413 nt),,,0.8,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptsP,G618D (GGC→GAC),,,0.8,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapD,C101Y (TGT→TAT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
rpoB,E793Q (GAA→CAA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
sapD,G235C (GGT→TGT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
rpoC,R98H (CGC→CAC),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,1,,,,,
aceF,coding (657/1893 nt),,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,
aceF,coding (658/1893 nt),,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,
aceF,coding (659/1893 nt),,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,
aceF,coding (660/1893 nt),,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,
aceF,coding (661/1893 nt),,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,
aceF,coding (662/1893 nt),,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,
aceF,coding (663/1893 nt),,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,
aceF,coding (664/1893 nt),,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,
aceF,coding (665‑673/1893 nt),,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,
pcnB,A320S (GCC→TCC),,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,
pykF,E323* (GAA→TAA),,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,
