"selective_pressure","population","gene","frequency"
"HT","LK5-G11","ACC1",1
"HT","LK2-D04","ACS2",0.615384615
"HT","LK2-A06","ADR1",1
"HT","LK5-F07","AFG1",1
"HT","LK5-F08","AFI1",0.666666667
"HT","LK2-B04","ALD3",1
"HT","LK2-D05","ALY2",1
"HT","LK5-F08","AMN1",1
"HT","LK2-B04","APL5",1
"HT","LK5-H12","APM2",1
"HT","LK6-A07","ARB1",0.823529412
"HT","LK6-A03","ARG52C6",1
"HT","LK5-F07","ASG1",0.888888889
"HT","LK5-H07","ASK1",1
"HT","LK5-H04","ATG11",1
"HT","LK5-F10","ATG17",0.653061224
"HT","LK5-F07","ATG2",1
"HT","LK5-F08","ATG7",0.526315789
"HT","LK6-A05","ATO3",1
"HT","LK5-G09","ATP12",0.583333333
"HT","LK5-F05","BBP1",1
"HT","LK6-A03","BEM2",0.941176471
"HT","LK2-A06","BFR2",1
"HT","LK2-A06","BFR2",1
"HT","LK2-A11","BFR2",1
"HT","LK2-C09","BFR2",1
"HT","LK2-D05","BFR2",1
"HT","LK2-D09","BFR2",1
"HT","LK5-F05","BFR2",1
"HT","LK5-H04","BFR2",0.96
"HT","LK5-H04","BFR2",0.913043478
"HT","LK5-H04","BFR2",1
"HT","LK5-H04","BFR2",1
"HT","LK2-A06","BIO5",1
"HT","LK2-E08","BMS1",0.666666667
"HT","LK5-H04","BMS1",0.851851852
"HT","LK2-C05","BMT5",1
"HT","LK6-A03","BNA3",0.833333333
"HT","LK6-A07","BNR1",1
"HT","LK5-F08","BOI2",1
"HT","LK5-G11","BRE5",0.96969697
"HT","LK2-E08","BRL1",1
"HT","LK2-A12","BUB3",1
"HT","LK5-F07","BUD14",1
"HT","LK2-A10","CAT2",0.736842105
"HT","LK5-H07","CHO2",0.733333333
"HT","LK6-A03","CIN1",1
"HT","LK5-H04","CNB1",1
"HT","LK2-D05","COM2",0.684210526
"HT","LK5-G01","CRG1",1
"HT","LK2-D03","CRT10",1
"HT","LK5-H02","CTR86",0.75862069
"HT","LK5-H02","CTR9",0.578947368
"HT","LK6-A07","CYK3",0.8125
"HT","LK2-D09","DAL80",0.675675676
"HT","LK2-D04","DCP1",1
"HT","LK2-E08","DCS1",1
"HT","LK5-G03","DED1",1
"HT","LK2-C09","DOP1",1
"HT","LK2-A11","DPB4",1
"HT","LK2-D07","DSE1",1
"HT","LK2-A06","DUG1",1
"HT","LK5-G01","EAF7",1
"HT","LK2-E08","ECM16",1
"HT","LK5-F08","ELP4",0.970588235
"HT","LK2-B07","EMC5",0.6
"HT","LK6-A03","ENP2",1
"HT","LK6-A03","ENP2",1
"HT","LK6-A03","ENP2",1
"HT","LK6-A03","ENP2",0.727272727
"HT","LK2-A10","ENP2",1
"HT","LK2-A10","ENP2",0.857142857
"HT","LK2-A10","ENP2",1
"HT","LK2-A12","ENP2",1
"HT","LK2-C05","ENP2",1
"HT","LK2-D05","ENP2",1
"HT","LK2-D05","ENP2",1
"HT","LK2-D07","ENP2",1
"HT","LK2-D07","ENP2",1
"HT","LK2-D07","ENP2",1
"HT","LK2-D07","ENP2",0.75
"HT","LK2-D09","ENP2",0.590909091
"HT","LK2-D09","ENP2",1
"HT","LK2-E08","ENP2",1
"HT","LK2-E08","ENP2",1
"HT","LK5-F05","ENP2",1
"HT","LK5-G01","ENP2",1
"HT","LK5-G01","ENP2",1
"HT","LK5-H02","ENP2",1
"HT","LK5-H07","ENP2",1
"HT","LK5-H12","ENP2",0.95
"HT","LK2-C05","ENT1",1
"HT","LK5-F08","ENV11",0.65625
"HT","LK2-C05","ESF1",1
"HT","LK2-D09","EST1",0.605263158
"HT","LK5-G11","FIG2",1
"HT","LK2-D05","FKS1",1
"HT","LK2-B04","FLO1",0.593220339
"HT","LK2-C05","FMP30",1
"HT","LK5-G01","FOB1",1
"HT","LK2-B05","FOL1",1
"HT","LK5-G09","FRE8",0.647058824
"HT","LK5-F10","GBP2",1
"HT","LK6-A07","GCN5",1
"HT","LK2-C05","GDH1",1
"HT","LK6-A03","GDS1",0.973684211
"HT","LK5-H02","GDT1",0.902439024
"HT","LK2-D05","GEA1",1
"HT","LK6-A05","GPB1",0.888888889
"HT","LK2-C08","GPB1",1
"HT","LK6-A05","GPB2",0.913043478
"HT","LK2-B04","GPB2",0.545454545
"HT","LK2-B04","GPB2",0.6875
"HT","LK5-F08","GPB2",0.714285714
"HT","LK5-F08","GPB2",0.708333333
"HT","LK2-E08","GPI11",0.961538462
"HT","LK5-F05","GPI16",1
"HT","LK2-D07","GPX1",0.785714286
"HT","LK2-D09","GRS1",0.5625
"HT","LK5-H08","GUA1",0.52173913
"HT","LK2-D09","GYP6",0.604651163
"HT","LK2-E08","GYP6",0.75
"HT","LK2-D03","HAP4",0.631578947
"HT","LK2-D05","HAS1",1
"HT","LK5-F08","HFA1",0.633333333
"HT","LK2-D07","HMO1",0.96875
"HT","LK2-E08","HSH155",0.625
"HT","LK6-A03","HSP82",0.975
"HT","LK2-E08","HUL4",0.588235294
"HT","LK5-H02","HYM1",0.923076923
"HT","LK2-D05","ICE2",1
"HT","LK2-D09","IFH1",0.904761905
"HT","LK6-A05","IMH1",1
"HT","LK2-D09","IMH1",0.55
"HT","LK2-E08","INP54",0.736842105
"HT","LK6-A03","intergenic",0.62962963
"HT","LK6-A03","intergenic",1
"HT","LK6-A03","intergenic",0.954545455
"HT","LK6-A03","intergenic",1
"HT","LK6-A03","intergenic",1
"HT","LK6-A03","intergenic",1
"HT","LK6-A03","intergenic",0.6875
"HT","LK6-A03","intergenic",0.619047619
"HT","LK6-A05","intergenic",0.666666667
"HT","LK6-A05","intergenic",1
"HT","LK2-A06","intergenic",1
"HT","LK2-A06","intergenic",1
"HT","LK6-A07","intergenic",1
"HT","LK6-A07","intergenic",0.9
"HT","LK2-A11","intergenic",1
"HT","LK2-A11","intergenic",1
"HT","LK2-A11","intergenic",1
"HT","LK2-A12","intergenic",1
"HT","LK2-A12","intergenic",1
"HT","LK2-B04","intergenic",0.882352941
"HT","LK2-B04","intergenic",0.566666667
"HT","LK2-B04","intergenic",0.56
"HT","LK2-B05","intergenic",0.857142857
"HT","LK2-B05","intergenic",0.9
"HT","LK2-B07","intergenic",0.625
"HT","LK2-B07","intergenic",0.647058824
"HT","LK2-C05","intergenic",1
"HT","LK2-C05","intergenic",0.583333333
"HT","LK2-C05","intergenic",0.666666667
"HT","LK2-C05","intergenic",0.666666667
"HT","LK2-C09","intergenic",0.710526316
"HT","LK2-D03","intergenic",1
"HT","LK2-D04","intergenic",0.545454545
"HT","LK2-D04","intergenic",0.777777778
"HT","LK2-D05","intergenic",1
"HT","LK2-D05","intergenic",1
"HT","LK2-D05","intergenic",1
"HT","LK2-D05","intergenic",1
"HT","LK2-D07","intergenic",1
"HT","LK2-D09","intergenic",1
"HT","LK2-E07","intergenic",1
"HT","LK2-E07","intergenic",1
"HT","LK2-E08","intergenic",0.857142857
"HT","LK2-E08","intergenic",1
"HT","LK2-E08","intergenic",0.625
"HT","LK2-E08","intergenic",0.625
"HT","LK2-E08","intergenic",0.56
"HT","LK2-E08","intergenic",0.56
"HT","LK2-E08","intergenic",0.571428571
"HT","LK5-F05","intergenic",1
"HT","LK5-F05","intergenic",1
"HT","LK5-F06","intergenic",1
"HT","LK5-F07","intergenic",1
"HT","LK5-F07","intergenic",0.923076923
"HT","LK5-F07","intergenic",1
"HT","LK5-F08","intergenic",0.75
"HT","LK5-F08","intergenic",0.833333333
"HT","LK5-F08","intergenic",0.967741935
"HT","LK5-F08","intergenic",0.666666667
"HT","LK5-F08","intergenic",0.769230769
"HT","LK5-F08","intergenic",0.636363636
"HT","LK5-F10","intergenic",1
"HT","LK5-G01","intergenic",1
"HT","LK5-G01","intergenic",0.727272727
"HT","LK5-G01","intergenic",0.6
"HT","LK5-G01","intergenic",0.952380952
"HT","LK5-G01","intergenic",1
"HT","LK5-G03","intergenic",1
"HT","LK5-G09","intergenic",1
"HT","LK5-G09","intergenic",1
"HT","LK5-G09","intergenic",1
"HT","LK5-G09","intergenic",0.88
"HT","LK5-G11","intergenic",1
"HT","LK5-G11","intergenic",1
"HT","LK5-H04","intergenic",1
"HT","LK5-H04","intergenic",1
"HT","LK5-H04","intergenic",1
"HT","LK5-H04","intergenic",0.547619048
"HT","LK5-H04","intergenic",1
"HT","LK5-H07","intergenic",0.931034483
"HT","LK5-H07","intergenic",1
"HT","LK5-H08","intergenic",1
"HT","LK5-H08","intergenic",1
"HT","LK5-H12","intergenic",1
"HT","LK6-A07","IRA1",1
"HT","LK2-A10","IRA1",0.769230769
"HT","LK2-A10","IRA1",0.636363636
"HT","LK2-C05","IRA1",1
"HT","LK2-E07","IRA1",1
"HT","LK5-F10","IRA1",1
"HT","LK5-F10","IRA1",0.75
"HT","LK5-H07","IRA1",0.931034483
"HT","LK5-H07","IRA1",1
"HT","LK5-H07","IRA1",0.68
"HT","LK5-H08","IRA1",0.52
"HT","LK5-H08","IRA1",0.545454545
"HT","LK6-A05","IRA2",0.916666667
"HT","LK6-A07","IRA2",1
"HT","LK2-A11","IRA2",1
"HT","LK2-B07","IRA2",0.833333333
"HT","LK5-F10","IRA2",1
"HT","LK5-G09","ITC1",0.571428571
"HT","LK6-A03","KRE33",1
"HT","LK2-A06","KRE33",1
"HT","LK2-A10","KRE33",1
"HT","LK2-A10","KRE33",1
"HT","LK2-A12","KRE33",1
"HT","LK2-C05","KRE33",1
"HT","LK2-C09","KRE33",1
"HT","LK2-D09","KRE33",1
"HT","LK5-F05","KRE33",1
"HT","LK5-F10","KRE33",1
"HT","LK5-F10","KRE33",1
"HT","LK5-G01","KRE33",0.947368421
"HT","LK5-G03","KRE33",1
"HT","LK5-H12","KRE33",1
"HT","LK5-H12","KRE33",1
"HT","LK6-A05","LAA1",0.954545455
"HT","LK5-F10","LCL3",1
"HT","LK5-F05","LDB19",1
"HT","LK2-D05","LIN1",1
"HT","LK5-F10","LOC1",1
"HT","LK5-G11","LYS2",1
"HT","LK2-D05","MAM33",1
"HT","LK6-A03","MCM2",1
"HT","LK2-C09","MDM34",1
"HT","LK5-H02","MDM36",0.528301887
"HT","LK6-A03","MID2",1
"HT","LK5-H02","MIG1",0.652173913
"HT","LK5-F07","MLP2",1
"HT","LK5-G03","MMS22",1
"HT","LK6-A03","MNN2",1
"HT","LK5-G09","MSH4",0.631578947
"HT","LK5-F10","MSS11",1
"HT","LK5-G09","MYO1",0.75
"HT","LK2-A11","NAM7",0.875
"HT","LK5-H04","NEW1",0.903225806
"HT","LK5-H07","NIC96",1
"HT","LK5-H02","NIT1",0.549019608
"HT","LK2-A10","NMA111",0.933333333
"HT","LK2-D05","NNK1",1
"HT","LK5-F07","NNK1",1
"HT","LK5-H04","NOP14",1
"HT","LK6-A03","NST1",0.947368421
"HT","LK5-F08","NUP53",0.826086957
"HT","LK5-F08","ORM1",0.775
"HT","LK2-A11","OSW1",1
"HT","LK2-C05","PAM17",1
"HT","LK5-F05","PAR32",1
"HT","LK2-C05","PAT1",1
"HT","LK6-A05","PDE2",1
"HT","LK6-A07","PDE2",1
"HT","LK6-A07","PDE2",1
"HT","LK6-A07","PDE2",1
"HT","LK2-E07","PDE2",0.925
"HT","LK2-E07","PDE2",1
"HT","LK5-F08","PDE2",1
"HT","LK5-H08","PDE2",1
"HT","LK5-F07","PDR15",1
"HT","LK2-C09","PDR16",0.983333333
"HT","LK5-H12","PEX29",1
"HT","LK2-C09","PIP2",0.956521739
"HT","LK2-E08","PML39",0.769230769
"HT","LK6-A03","PMP2",1
"HT","LK2-A10","POM34",0.96969697
"HT","LK5-H08","PPT1",0.695652174
"HT","LK6-A07","PRE10",0.695652174
"HT","LK2-D05","PRI1",1
"HT","LK2-E08","PRP6",0.939393939
"HT","LK5-H08","PRY1",0.866666667
"HT","LK6-A03","PSY2",1
"HT","LK6-A03","PTC2",1
"HT","LK5-F08","QRI7",1
"HT","LK6-A05","RAX1",0.958333333
"HT","LK5-F07","REG1",0.64556962
"HT","LK2-E08","RFM1",1
"HT","LK2-C06","RGC1",1
"HT","LK2-C09","RGT1",0.986486486
"HT","LK2-C08","RHO5",0.677419355
"HT","LK5-H04","RIF1",0.695652174
"HT","LK5-H08","RMD9",0.875
"HT","LK5-H07","RNR3",1
"HT","LK6-A03","ROM2",0.925
"HT","LK2-E07","RPC82",0.545454545
"HT","LK5-G09","RPL22B",1
"HT","LK6-A03","RPO21",0.880952381
"HT","LK6-A03","RPS17A",1
"HT","LK5-F07","RPS1A",0.625
"HT","LK2-D07","RPS6A",0.954545455
"HT","LK2-D05","RPS6B",0.947368421
"HT","LK5-H04","RPS7A",1
"HT","LK5-G03","RPS8A",1
"HT","LK5-H02","RPS8A",1
"HT","LK5-H12","RPS8A",1
"HT","LK5-F10","RQC2",1
