"selective_pressure","population","gene","frequency"
"phosphate","P4","YAL063C",0.33
"phosphate","P6","YBR136W",0.15
"phosphate","P5","YBR140C",0.42
"phosphate","P5","YBR250W",0.5
"phosphate","P7","YDR057W",0.25
"phosphate","P6","YDR069C",0.25
"phosphate","P3","YDR156W",0.54
"phosphate","P8","YDR351W",0.46
"phosphate","P8","YDR351W",0.47
"phosphate","P6","YDR520C",0.2
"phosphate","P5","YEL034W",0.4
"phosphate","P8","YGR233C",0.33
"phosphate","P3","YGR271W",0.46
"phosphate","P8","YHR154W",0.4
"phosphate","S7","YJL034W",0.61
"phosphate","P8","YLR303W",0.71
"phosphate","P8","YLR303W",0.28
"phosphate","P3","YML123C",0.87
"phosphate","P5","YML123C",0.36
"phosphate","P6","YML123C",0.98
"phosphate","P8","YML123C",0.88
"phosphate","P8","YMR203W",0.42
"phosphate","P3","YNL036W",0.52
"phosphate","P4","YNL036W",0.63
"phosphate","P5","YNL216W",0.39
"phosphate","P8","YNL266W",0.5
"phosphate","P3","YPR055W",0.5
"phosphate","P5","YPR088C",0.56
