population,frequency,gene,mutation_annotations,mutation_position,mutation,mutation_locations,mutation_chromosome
Evo04pgiEvo01EP,1,ackA,acetate kinase A and propionate kinase 2,2412527,DEL,coding,1
Evo04pgiEvo03EP,0.14,ackA,acetate kinase A and propionate kinase 2,2411533,DEL,coding,1
Evo04pgiEvo03EP,0.216,alsE,allulose-6-phosphate 3-epimerase,4306378,SNP,coding,1
Evo04pgiEvo02EP,0.132,bcp,peroxiredoxin; thiol peroxidase; thioredoxin-dependent,2598641,DEL,coding,1
Evo04pgiEvo02EP,0.235,bcp,peroxiredoxin; thiol peroxidase; thioredoxin-dependent,2598890,DEL,coding,1
Evo04pgiEvo02EP,0.235,bcp,peroxiredoxin; thiol peroxidase; thioredoxin-dependent,2598891,DEL,coding,1
Evo04pgiEvo02EP,0.153,crp,DNA-binding transcriptional dual regulator,3484736,SNP,coding,1
Evo04pgiEvo06EP,0.124,crp,DNA-binding transcriptional dual regulator,3484730,SNP,coding,1
Evo04pgiEvo07EP,0.9832,crr,glucose-specific enzyme IIA component of PTS,2534334,MOB,coding,1
Evo04pgiEvo05EP,0.3391,dauA,C4-dicarboxylic acid transporter,1258983,MOB,coding,1
Evo04pgiEvo01EP,1,entB,isochorismatase,627282,DEL,coding,1
Evo04pgiEvo07EP,1,galR,DNA-binding transcriptional repressor,2975584,DEL,coding,1
Evo04pgiEvo01EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo02EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo03EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo04EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo05EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo06EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo08EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo01EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo04EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo06EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo07EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo08EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo06EP,1,malT,DNA-binding transcriptional activator for the mal regulon and maltotriose-ATP-binding protein,3551125,MOB,coding,1
Evo04pgiEvo03EP,1,marC;marR,inner membrane protein; UPF0056 family;DNA-binding transcriptional repressor of multiple antibiotic resistance,1617104,DEL,intergenic;intergenic,1
Evo04pgiEvo04EP,0.27,nagC,DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine,699923,DEL,coding,1
Evo04pgiEvo07EP,0.3209,opgG,osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein,1109382,MOB,coding,1
Evo04pgiEvo07EP,0.112,opgH,membrane glycosyltransferase,1111131,SNP,coding,1
Evo04pgiEvo04EP,1,pntB,pyridine nucleotide transhydrogenase; beta subunit,1673688,DEL,coding,1
Evo04pgiEvo03EP,0.7456,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047882,MOB,intergenic;intergenic,1
Evo04pgiEvo04EP,1,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047909,SNP,intergenic;intergenic,1
Evo04pgiEvo05EP,0.9206,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047914,MOB,intergenic;intergenic,1
Evo04pgiEvo08EP,0.2,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047914,MOB,intergenic;intergenic,1
Evo04pgiEvo01EP,1,prkB,putative phosphoribulokinase,3482563,DEL,coding,1
Evo04pgiEvo02EP,0.1157,prpR;prpB,propionate catabolism operon regulatory protein;2-methylisocitrate lyase,347682,MOB,intergenic;intergenic,1
Evo04pgiEvo01EP,1,pta,phosphate acetyltransferase,2412802,DEL,coding,1
Evo04pgiEvo04EP,0.102,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),61802,SNP,coding,1
Evo04pgiEvo04EP,1,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62752,INS,coding,1
Evo04pgiEvo06EP,1,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62820,DEL,coding,1
Evo04pgiEvo06EP,0.845,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62830,DEL,coding,1
Evo04pgiEvo06EP,0.845,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62831,DEL,coding,1
Evo04pgiEvo06EP,0.859,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62832,DEL,coding,1
Evo04pgiEvo06EP,0.859,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62833,DEL,coding,1
Evo04pgiEvo06EP,0.141,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62834,INS,coding,1
Evo04pgiEvo06EP,0.141,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62835,INS,coding,1
Evo04pgiEvo08EP,1,rpoC,RNA polymerase; beta prime subunit,4184109,SNP,coding,1
Evo04pgiEvo01EP,0.517,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211456,SNP,coding,1
Evo04pgiEvo02EP,0.165,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211814,SNP,coding,1
Evo04pgiEvo03EP,0.431,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211448,SNP,coding,1
Evo04pgiEvo04EP,1,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3212437,SNP,coding,1
Evo04pgiEvo05EP,1,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211592,DEL,coding,1
Evo04pgiEvo01EP,1,rseC,RseC protein involved in reduction of the SoxR iron-sulfur cluster,2705580,DEL,coding,1
