gene,population,frequency
CDC40,0,1
MYO4,0,1
UBP14,0,1
ZIP2,0,1
REV3,1,1
TMA64,1,1
HSP104,1,1
USO1,1,1
IRA2,1,1
YLR278C,1,1
SYF1,1,1
none,1,1
ENT3,1,1
UME1,1,1
SUP35,1,1
YLR072W,1,1
YRM1,1,1
WHI2,6,1
ATG8,6,1
YMR1,6,1
OSW5,6,1
YDR222W,6,1
none,6,1
AMD1,6,1
CCW12,6,1
none,6,1
SET3,6,1
MOT3,8,1
none,8,1
SKO1,8,1
RPO41,8,1
PRI2,8,1
IRA2,8,1
none,8,1
RPS14B,8,1
none,8,1
TRA1,8,1
TRA1,8,1
YMR310C,8,1
MSP1,8,1
TCB2,8,1
SMC2,8,1
PXL1,8,1
RPA190,11,1
RPL12A,11,1
ALG9,11,1
IRA2,11,1
MNN10,11,1
NAN1,11,1
BAT2,11,1
CDC39,11,1
FUN12,11,1
WBP1,11,1
NOB1,11,1
RRP17,11,1
