"Population","Gene","Prop"
"wt4","[ompC]–[atoE]",1
"wt5","[rcsC]–[atoC]",1
"µ4","aas ← / → galR",1
"µ5","appY →",1
"µ6","ascF →",1
"µ6","betA ←",1
"µ5","carB → / → caiF",1
"µ6","csdA →",1
"µ4","dnaE →",1
"µ4","erpA → / ← yadS",1
"wt4","fimE →",1
"wt5","fimE →",1
"µ6","fimE →",1
"µ5","fimE → / → fimA",1
"µ6","frmR ← / ← yaiO",1
"µ6","ftsZ →",1
"µ4","hmp →",1
"µ6","hsdM ←",1
"µ5","leuP ←",1
"µ6","mak →",1
"µ4","mhpA →",1
"wt5","nudE ← / → yrfF",1
"µ5","preA →",1
"µ4","proQ ←",1
"µ6","rbbA ←",1
"µ5","rcsB →",1
"wt6","rcsC ←",1
"wt6","rcsC ←",1
"µ4","rcsC ←",1
"µ4","rcsC ←",1
"µ6","rcsD–[atoB]",1
"µ5","ssuD ←",1
"µ5","uidA ←",1
"µ6","wcaG ←",1
"µ6","ybbD →",1
"µ4","ybgI →",1
"µ5","yeaD →",1
"µ5","yebK →",1
"µ5","yfcG →",1
"µ5","yfjL ←",1
"µ6","yfjL ← / ← yfjM",1
"µ4","yhjD →",1
"µ6","yjbH →",1
"wt4","yrfF →",1
"µ5","yrfF →",1
"µ6","yrfF →",1
