gene,population,frequency
iap,Evo04sdhCBEvo01EP,0.3333
insH1,Evo04sdhCBEvo01EP,1
mrdB,Evo04sdhCBEvo01EP,0.435
nanT,Evo04sdhCBEvo01EP,0.121
sucB,Evo04sdhCBEvo01EP,1
yjhE,Evo04sdhCBEvo01EP,1
glnD,Evo04sdhCBEvo02EP,1
iap,Evo04sdhCBEvo02EP,0.6585
ilvG,Evo04sdhCBEvo02EP,0.416
insH1,Evo04sdhCBEvo02EP,1
sucA,Evo04sdhCBEvo02EP,0.605
sucA,Evo04sdhCBEvo02EP,0.11
yfbP,Evo04sdhCBEvo02EP,0.4416
yfbP,Evo04sdhCBEvo02EP,0.12
glnD,Evo04sdhCBEvo03EP,0.362
insH1,Evo04sdhCBEvo03EP,1
sucA,Evo04sdhCBEvo03EP,1
sucA,Evo04sdhCBEvo03EP,0.156
