gene,population,2,10
ftsZ  ,wt4,0,0
lpxC ,wt4,0,0
dnaE  ,wt4,0,0
betA  ,wt4,0,0
codA  ,wt4,0,0
mhpA  ,wt4,0,0
mak  ,wt4,0,0
ybbD  ,wt4,0,0
appY  ,wt4,0,0
ybeM  ,wt4,0,0
metT  ,wt4,0,0
asnB  ,wt4,0,0
pgm  ,wt4,0,0
ybgI  ,wt4,0,0
ssuD  ,wt4,0,0
ymfQ  ,wt4,0,0
galU  ,wt4,0,0
manA  ,wt4,0,0
uidA  ,wt4,0,0
arpB ,wt4,0,0
nudG  ,wt4,0,0
yeaD  ,wt4,0,0
manZ  ,wt4,0,0
proQ  ,wt4,0,0
yebK  ,wt4,0,0
tyrP  ,wt4,0,0
fliR  ,wt4,0,0
wcaG  ,wt4,0,0
preA  ,wt4,0,0
yejM  ,wt4,0,0
ompC  ,wt4,0,0
ompC  ,wt4,0,0
ompC  ,wt4,0,0
rcsD  ,wt4,0,0
rcsD  ,wt4,1,0
rcsB  ,wt4,0,0
rcsB  ,wt4,0,0
rcsC  ,wt4,0,0
rcsC  ,wt4,0,0
rcsC  ,wt4,0,0
rcsC  ,wt4,0,0
rcsC  ,wt4,0,0
yfcG  ,wt4,0,0
evgA  ,wt4,0,0
pbpC  ,wt4,0,0
hmp  ,wt4,0,0
yfjL  ,wt4,0,0
ascF  ,wt4,0,0
csdA  ,wt4,0,0
ptrA  ,wt4,0,0
ygiS  ,wt4,0,0
hldE  ,wt4,0,0
degQ  ,wt4,0,0
frlB  ,wt4,0,0
yrfF  ,wt4,0,0
yrfF  ,wt4,1,1
yrfF  ,wt4,0,0
envZ  ,wt4,0,0
malT  ,wt4,0,0
rbbA  ,wt4,0,0
yhiL  ,wt4,0,0
yhjD  ,wt4,0,0
waaO  ,wt4,0,0
waaO  ,wt4,0,0
aspT  ,wt4,0,0
ilvE ,wt4,0,0
kdgT ,wt4,0,0
yjaA  ,wt4,0,0
yjbH  ,wt4,0,0
lamB  ,wt4,0,0
yjhG  ,wt4,0,0
fimE  ,wt4,0,1
fimE  ,wt4,0,0
fimE  ,wt4,0,0
hsdM  ,wt4,0,0
leuP  ,wt4,0,0
ftsZ  ,wt5,0,0
lpxC ,wt5,0,0
dnaE  ,wt5,0,0
betA  ,wt5,0,0
codA  ,wt5,0,0
mhpA  ,wt5,0,0
mak  ,wt5,0,0
ybbD  ,wt5,0,0
appY  ,wt5,0,0
ybeM  ,wt5,0,0
metT  ,wt5,0,0
asnB  ,wt5,0,0
pgm  ,wt5,0,0
ybgI  ,wt5,0,0
ssuD  ,wt5,0,0
ymfQ  ,wt5,0,0
galU  ,wt5,0,0
manA  ,wt5,0,0
uidA  ,wt5,0,0
arpB ,wt5,0,0
nudG  ,wt5,0,0
yeaD  ,wt5,0,0
manZ  ,wt5,0,0
proQ  ,wt5,0,0
yebK  ,wt5,0,0
tyrP  ,wt5,0,0
fliR  ,wt5,0,0
wcaG  ,wt5,0,0
preA  ,wt5,0,0
yejM  ,wt5,0,0
ompC  ,wt5,0,0
ompC  ,wt5,0,0
ompC  ,wt5,0,0
rcsD  ,wt5,1,0
rcsD  ,wt5,0,0
rcsB  ,wt5,0,0
rcsB  ,wt5,0,0
rcsC  ,wt5,0,0
rcsC  ,wt5,0,0
rcsC  ,wt5,0,0
rcsC  ,wt5,0,0
rcsC  ,wt5,0,0
yfcG  ,wt5,0,0
evgA  ,wt5,0,0
pbpC  ,wt5,0,0
hmp  ,wt5,0,0
yfjL  ,wt5,0,0
ascF  ,wt5,0,0
csdA  ,wt5,0,0
ptrA  ,wt5,0,0
ygiS  ,wt5,0,0
hldE  ,wt5,0,0
degQ  ,wt5,0,0
frlB  ,wt5,0,0
yrfF  ,wt5,0,0
yrfF  ,wt5,0,0
yrfF  ,wt5,0,0
envZ  ,wt5,0,0
malT  ,wt5,0,0
rbbA  ,wt5,0,0
yhiL  ,wt5,0,0
yhjD  ,wt5,0,0
waaO  ,wt5,0,0
waaO  ,wt5,0,0
aspT  ,wt5,0,0
ilvE ,wt5,0,0
kdgT ,wt5,0,0
yjaA  ,wt5,0,0
yjbH  ,wt5,0,0
lamB  ,wt5,0,0
yjhG  ,wt5,0,0
fimE  ,wt5,0,1
fimE  ,wt5,0,0
fimE  ,wt5,0,0
hsdM  ,wt5,0,0
leuP  ,wt5,0,0
ftsZ  ,wt6,0,0
lpxC ,wt6,0,0
dnaE  ,wt6,0,0
betA  ,wt6,0,0
codA  ,wt6,0,0
mhpA  ,wt6,0,0
mak  ,wt6,0,0
ybbD  ,wt6,0,0
appY  ,wt6,0,0
ybeM  ,wt6,0,0
metT  ,wt6,0,0
asnB  ,wt6,0,0
pgm  ,wt6,0,0
ybgI  ,wt6,0,0
ssuD  ,wt6,0,0
ymfQ  ,wt6,0,0
galU  ,wt6,0,0
manA  ,wt6,0,0
uidA  ,wt6,0,0
arpB ,wt6,0,0
nudG  ,wt6,0,0
yeaD  ,wt6,0,0
manZ  ,wt6,0,0
proQ  ,wt6,0,0
yebK  ,wt6,0,0
tyrP  ,wt6,0,0
fliR  ,wt6,0,0
wcaG  ,wt6,0,0
preA  ,wt6,0,0
yejM  ,wt6,0,0
ompC  ,wt6,0,0
ompC  ,wt6,0,0
ompC  ,wt6,0,0
rcsD  ,wt6,0,0
rcsD  ,wt6,0,0
rcsB  ,wt6,0,0
rcsB  ,wt6,0,0
rcsC  ,wt6,1,1
rcsC  ,wt6,0,0
rcsC  ,wt6,0,0
rcsC  ,wt6,0,0
rcsC  ,wt6,0,1
yfcG  ,wt6,0,0
evgA  ,wt6,0,0
pbpC  ,wt6,0,0
hmp  ,wt6,0,0
yfjL  ,wt6,0,0
ascF  ,wt6,0,0
csdA  ,wt6,0,0
ptrA  ,wt6,0,0
ygiS  ,wt6,0,0
hldE  ,wt6,0,0
degQ  ,wt6,0,0
frlB  ,wt6,0,0
yrfF  ,wt6,0,0
yrfF  ,wt6,0,0
yrfF  ,wt6,0,0
envZ  ,wt6,0,0
malT  ,wt6,0,0
rbbA  ,wt6,0,0
yhiL  ,wt6,0,0
yhjD  ,wt6,0,0
waaO  ,wt6,0,0
waaO  ,wt6,0,0
aspT  ,wt6,0,0
ilvE ,wt6,0,0
kdgT ,wt6,0,0
yjaA  ,wt6,0,0
yjbH  ,wt6,0,0
lamB  ,wt6,0,0
yjhG  ,wt6,0,0
fimE  ,wt6,0,0
fimE  ,wt6,0,0
fimE  ,wt6,0,0
hsdM  ,wt6,0,0
leuP  ,wt6,0,0
ftsZ  ,u4,0,0
lpxC ,u4,0,0
dnaE  ,u4,1,1
betA  ,u4,0,0
codA  ,u4,0,0
mhpA  ,u4,1,1
mak  ,u4,0,0
ybbD  ,u4,0,0
appY  ,u4,0,0
ybeM  ,u4,0,0
metT  ,u4,0,0
asnB  ,u4,0,0
pgm  ,u4,0,0
ybgI  ,u4,1,1
ssuD  ,u4,0,0
ymfQ  ,u4,0,0
galU  ,u4,0,0
manA  ,u4,0,0
uidA  ,u4,0,0
arpB ,u4,0,0
nudG  ,u4,0,0
yeaD  ,u4,0,0
manZ  ,u4,0,0
proQ  ,u4,1,1
yebK  ,u4,0,0
tyrP  ,u4,0,0
fliR  ,u4,0,0
wcaG  ,u4,0,0
preA  ,u4,0,0
yejM  ,u4,0,0
ompC  ,u4,0,0
ompC  ,u4,0,0
ompC  ,u4,0,0
rcsD  ,u4,0,0
rcsD  ,u4,0,0
rcsB  ,u4,1,0
rcsB  ,u4,0,0
rcsC  ,u4,0,0
rcsC  ,u4,1,1
rcsC  ,u4,0,1
rcsC  ,u4,0,0
rcsC  ,u4,0,0
yfcG  ,u4,0,0
evgA  ,u4,0,0
pbpC  ,u4,0,0
hmp  ,u4,1,1
yfjL  ,u4,0,0
ascF  ,u4,0,0
csdA  ,u4,0,0
ptrA  ,u4,0,0
ygiS  ,u4,0,0
hldE  ,u4,0,0
degQ  ,u4,0,0
frlB  ,u4,0,0
yrfF  ,u4,0,0
yrfF  ,u4,0,0
yrfF  ,u4,0,0
envZ  ,u4,0,0
malT  ,u4,0,0
rbbA  ,u4,0,0
yhiL  ,u4,0,0
yhjD  ,u4,1,1
waaO  ,u4,0,0
waaO  ,u4,0,0
aspT  ,u4,0,0
ilvE ,u4,0,0
