Paper,Species,number of population,other info,stressor,stressor_type,stressor_init,stressor_final,fitness_anc,fitness_evol,fitness_measure,environment,generation,generation.test,c-score,p-value,estimate,numer of non-parallel genes,numer of parallel genes,parallel genes
Lang 2014,Saccharomyces cerevisiae,30,,,static,,,,,,YPD,0,0,0.571795756,0.005,0.0684,63,2,"PDR5, ROT2"
Lang 2014,Saccharomyces cerevisiae,39,,,static,,,,,,YPD,140,140,1.742811381,0.005,0.0581,113,11,"ACE2, GAS1, GPB1, IRA1, PDR5, PSE1, ROT2, STE12, STE4, TAF12, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,240,240,2.021914375,0.005,0.0837,178,24,"ACE2, ECM21, FKS1, GAS1, GAT2, GCN1, GPB1, HAP1, HSL1, IRA1, KEG1, KRE5, PDR5, PSE1, ROT2, RPG1, RPO31, SET4, STE12, STE4, TUL1, WHI2, YMR102C, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,335,335,2.57459464,0.005,0.1035,239,32,"ACE2, CTS1, CWH41, ECM21, FKS1, GAS1, GAT2, GCN1, GPB1, HAP1, HSL1, IRA1, KEG1, KRE5, KRE6, PDE2, PDR5, PMD1, PSE1, RCK2, ROT2, RPG1, RPO31, SET4, SFL1, STE11, STE12, STE4, TUL1, WHI2, YHR033W, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,415,415,2.80867906,0.005,0.1173,275,39,"ACE2, ANP1, AXL2, CTS1, CWH41, DOT6, FKS1, GAL4, GAS1, GAT2, GCN1, GPB1, HAP1, HSL1, ILS1, IRA1, IRA2, KEG1, KEL1, KRE5, KRE6, PDE2, PDR5, PMD1, PSE1, RCK2, ROT2, RPG1, RPO31, SET4, SFL1, STE11, STE12, STE4, TUL1, WHI2, YGR266W, YMR102C, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,505,505,3.216457373,0.005,0.1256,306,53,"ACE2, AXL2, CNE1, CRF1, CWH41, DOT6, FKS1, FYV8, GAS1, GAT2, GCN1, GPB1, GPB2, HAP1, HSL1, ILS1, IRA1, IRA2, KEG1, KEL1, KRE5, KRE6, MDN1, MPT5, NUP57, PDE2, PDR5, PEP8, PMD1, PSE1, RCK2, ROT2, RPG1, RPO31, SAY1, SET4, SFL1, SKI2, STE11, STE12, STE4, STE5, SVF1, TDA9, TUL1, WHI2, YGR266W, YHR033W, YLR177W, YMR102C, YNL190W, YPR117W, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,585,585,2.609381041,0.005,0.1513,351,57,"ACE2, ANP1, AXL2, CNE1, CRF1, CTS1, CWH41, DOT6, ECM21, ERG11, FKS1, GAL11, GAS1, GAT2, GPB1, GPB2, HAP1, HSL1, ILS1, IRA1, IRA2, KEG1, KEL1, KRE5, KRE6, MDN1, MPT5, NUP57, PDE2, PDR5, PEP8, PMD1, PMT1, PSE1, PTR2, RAD2, ROT2, RPG1, RPO31, SAY1, SEC6, SEC7, SET4, SFL1, STE11, STE12, STE4, STE5, STE6, TUL1, WHI2, YGR266W, YHR033W, YLR177W, YMR102C, YNL190W, YUR1"
Lang 2014,Saccharomyces cerevisiae,39,,,static,,,,,,YPD,665,665,2.894954782,0.005,0.1571,372,63,"ACE2, ANP1, AXL2, CCW12, CDC39, CNE1, CRF1, CTS1, CWH41, DOT6, ERG11, FKS1, FLR1, FYV8, GAL11, GAL4, GAS1, GAT2, GPB1, GPB2, HAP1, ILS1, IRA1, IRA2, KEL1, KRE5, KRE6, MDN1, MPT5, NUP57, PDR5, PEP8, PMD1, PMT1, PSE1, PTR2, RAD2, RCK2, ROT2, RPO31, SAY1, SEC6, SEC7, SET4, SFL1, SIN3, STE11, STE12, STE4, STE5, STE6, TAF12, TDA9, TUL1, WHI2, YGR266W, YHR033W, YLR177W, YMR102C, YMR124W, YNL190W, YPR117W, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,745,745,2.53934257,0.005,0.1713,401,70,"ACE2, ANP1, AXL2, CCW12, CMK2, CNE1, CRF1, CSE1, CTS1, CWH41, DOT6, ERG11, FKS1, FLR1, GAL11, GAL4, GAS1, GAT2, GPB1, GPB2, HAP1, HSL1, ILS1, IRA1, IRA2, KEL1, KEL3, KRE5, KRE6, MDN1, MOT3, MPT5, NUP57, PDR5, PEP8, PMD1, PMT1, PSE1, PTR2, RAD2, ROG3, ROT2, RPO31, SAY1, SEC6, SEC7, SET4, SFL1, SIN3, SKI2, STE11, STE12, STE4, STE5, STE6, SVF1, TAF12, TDA9, TUL1, UTH1, WHI2, YGR266W, YHR033W, YJL171C, YLR177W, YMR102C, YMR124W, YNL190W, YPR117W, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,825,825,2.779945314,0.005,0.1755,416,66,"ACE2, ANP1, CCW12, CMK2, CNE1, CSE1, CTS1, CWH41, ECM21, ERG11, FKS1, FLR1, GAL11, GAL4, GAS1, GAT2, GCN1, GPB1, GPB2, HAP1, HSL1, ILS1, IRA1, IRA2, KEL1, KEL3, KRE5, KRE6, MOT3, MPT5, NUP57, PDR5, PEP8, PMD1, PMT1, PSE1, PTR2, RAD2, ROG3, ROT2, RPG1, RPO31, SAY1, SEC6, SEC7, SET4, SFL1, SIN3, SKI2, STE11, STE12, STE4, STE5, SVF1, TAF12, TDA9, TUL1, UTH1, WHI2, YHR033W, YJL171C, YLR177W, YMR102C, YMR124W, YNL190W, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,910,910,3.018811247,0.005,0.1744,418,68,"ACE2, ANP1, CCW12, CDC39, CMK2, CNE1, CRF1, CSE1, CTS1, CWH41, ECM21, ERG11, FKS1, FLR1, FYV8, GAL11, GAL4, GAS1, GAT2, GCN1, GPB1, GPB2, HAP1, HSL1, ILS1, IRA1, IRA2, KEL1, KEL3, KRE5, KRE6, MOT3, MPT5, NUP57, PDR5, PMD1, PMT1, PSE1, PTR2, RAD2, ROG3, ROT2, RPO31, SAY1, SEC6, SEC7, SET4, SFL1, SIN3, SKI2, STE11, STE12, STE4, STE5, SVF1, TAF12, TDA9, TUL1, UTH1, WHI2, YGR266W, YHR033W, YJL171C, YLR177W, YMR102C, YMR124W, YNL190W, YUR1"
Lang 2014,Saccharomyces cerevisiae,40,,,static,,,,,,YPD,1000,1000,2.840037933,0.005,0.1679,402,62,"ACE2, ANP1, AXL2, CCW12, CDC39, CMK2, CNE1, CSE1, CTS1, CWH41, DOT6, ECM21, ERG11, FKS1, FLR1, FYV8, GAL11, GAS1, GAT2, GCN1, GPB1, GPB2, HAP1, HSL1, IRA1, IRA2, KEL1, KEL3, KRE5, KRE6, MOT3, MPT5, NUP57, PDR5, PMD1, PMT1, PSE1, PTR2, RAD2, RCK2, ROT2, RPO31, SET4, SFL1, SIN3, SKI2, STE11, STE12, STE4, STE5, TAF12, TDA9, TUL1, UTH1, WHI2, YHR033W, YJL171C, YLR177W, YMR102C, YMR124W, YNL190W, YUR1"
Kacar 2017,E.coli,6,,,,,,,,,minimal glucose media,500,500,11.526,0.005,0.004,7,3,"fadA , mreB*, thrT/tuf"
Kacar 2017,E.coli,6,,,,,,,,,minimal glucose media,1000,1000,9.482,0.005,0.005,9,5,"fadA , ftsZ, mrdA, mreB*, thrT/tuf"
Kacar 2017,E.coli,6,,,,,,,,,minimal glucose media,1500,1500,26.537,0.005,0.004,6,9,"accC, fadA , ftsZ, iclR, kdpD, mrdA, mreB*, pykF, thrT/tuf"
Kacar 2017,E.coli,6,,,,,,,,,minimal glucose media,2000,2000,31.207,0.005,0.004,6,9,"accC, fadA , ftsZ, iclR, kdpD, mrdA, mreB*, pykF, thrT/tuf"
Hong 2014,Saccharomyces cerevisiae,3,,Ammonium,static,,,1,1.3,fitness,Ammonium,250,250,52.643,0.005,0.001,3,3,"GAT1, LST4, MEP2"
Hong 2014,Saccharomyces cerevisiae,3,,Arginine,static,,,1,1.2,fitness,Arginine,250,250,19.149,0.005,0.001,3,1,GLN3
Hong 2014,Saccharomyces cerevisiae,3,,Urea,static,,,1,1.9,fitness,Urea,250,250,74.031,0.005,0.001,0,4,"DAL5, DUR1,2, PUT4/CIN1, SIW14"
Hong 2014,Saccharomyces cerevisiae,3,,Allantoin,static,,,1,1.8,fitness,Allantoin,250,250,27.072,0.005,0.001,1,5,"CTR1, FUR4, GCN4/YEL008W, OAF3, VAC14"
Lennen 2015(Not Using),E.coli,21,,,,,,,,MAGE,LB medium,unknown: 6 cycles of MAGE,,22.472,0.005,0.033,98,37,"ansA, araB/araC, araB/araC, araC, citC/dpiB, clpX, codA, cynX, efeU/efeO, fhlA, fliF, fumC, gabP, glsA, gspK, hrpA, hsdR, insA, lnt, maeA, mrdA, msrB, nagA, nusA, proV, psd, pyrG/mazG, rpsA, waaA, xylA, yaaJ, ybgQ, ybhF, ydcR/ydcS, ydiY, ydjK, ygcN"
Long 2017,E.coli,10,,gene delection,,,,0.18,0.42,GR,minimal glucose media,unknown,,11.63,0.005,0.009,17,12,"cpxR, e14 prophage, nagC, pntA, pntB, pyrE / rph, rpoA, rpoB, rpoS, sthA, sthA/fabR, trxB/ lrp"
Sandberg 2014,E.coli,10,,,,,,1,1.45,,minimal glucose media,1500,1500,10.493,0.005,0.061,109,37,"abgB, araG, cas3/cysH, dinQ/arsR, dmsD/clcB, dnaQ, frmR/yaiO, hfq, hns/tdk, hrpB, ilvL/ilvX, isrC, mlaE, mutL, nagA, nagC, pgi/yjbE, pykF, pyrE/rph, rffD, rne, rpoC, secD, tisB/emrD, ybfK/kdpE, ydcD, ydgC, yehC, yehQ, yfdI, yffP/yffQ, yffS, ygaH/mprA, yhhZ, yjjI, ymfE, ynaE"
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,7,7,0,0.99,1,3,0,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,70,70,26.62,0.005,0.003,9,3,"MTH1, RIM15, SNF3"
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,133,133,23.073,0.005,0.005,14,6,"GPB2, MTH1, RGT1, RGT2, RIM15, SNF3"
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,196,196,16.581,0.005,0.012,31,5,"GPB2, MTH1, RGT1, RGT2, RIM15"
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,266,266,16.77,0.005,0.015,39,8,"DAL81, GPB2, MTH1, RGT1, RGT2, RIM15, SSK1, SSK2"
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,322,322,13.19,0.005,0.018,38,6,"DAL81, MTH1, RGT1, RIM15, SSK1, SSK2"
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,385,385,18.964,0.005,0.015,39,8,"DAL81, ERG5, GPB2, MTH1, RGT1, RIM15, SSK1, VPS25"
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,,minimal glucose media,448,448,19.217,0.005,0.015,39,8,"CDC55, DAL81, ERG5, GPB2, MTH1, RIM15, SSK1, VPS25"
Sherlock 2019,E.coli,3,,,,,,,,,Davids minimal medium,0,0,0,0.79,1,9,0,
Sherlock 2019,E.coli,3,,,,,,,,,Davids minimal medium,50,50,4.162,0.005,0.155,120,8,"dgoD, galS, guaB, malT, rpoC, rpoS, rpsA, upstream mglB"
Sherlock 2019,E.coli,3,,,,,,,,,Davids minimal medium,100,100,5.442,0.005,0.256,253,21,"allB, cvrA, fimH, ftsK, galS, garD, hypF, lpxD, malK, malT, mug, opgH, rho, rpoC, rpoS, sgrR, upstream dnaG, upstream mglB, upstream rlmA, yaeI, ynbD"
Sherlock 2019,E.coli,3,,,,,,,,,Davids minimal medium,150,150,3.229,0.005,0.383,234,11,"flhB, ftsK, galS, guaB, malK, malT, rho, rpoS, slt, upstream mglB, yghJ"
