gene,population,frequency
icd,a1,0
icd,a1,0
icd,a1,0
icd,a1,0
pntA,a1,0
crr,a1,0
rpoS,a1,0
nagC,a1,0
zwf,a1,0
menC,a1,0
sthA,a1,0
rpoB,a1,0
rpoS,a1,0
rpoA,a1,0
hfq,a1,0
fimD,a1,0
fis,a1,0
cyaA,a1,0
typA,a1,0
ispU,a1,0
pntB,a1,0
rpoA,a1,0
ysgA,a1,0
acnB,a1,0
fruK,a1,0
crr,a1,0
rpoS,a1,0
rpoS,a1,0
rpoA,a1,0
yiiD,a1,0
cpxR,a1,0
mrdB,a1,0
pntA,a1,0
rpoS,a1,0
fabZ,a1,1
rep,a1,1
sthA,a1,1
rpoB,a1,1
rpoC,a1,1
pntB,a1,0
yfeH,a1,0
rpoS,a1,0
cpxR,a1,0
icd,a2,1
icd,a2,1
icd,a2,1
icd,a2,1
pntA,a2,1
crr,a2,1
rpoS,a2,1
nagC,a2,0
zwf,a2,0
menC,a2,0
sthA,a2,0
rpoB,a2,0
rpoS,a2,0
rpoA,a2,0
hfq,a2,0
fimD,a2,0
fis,a2,0
cyaA,a2,0
typA,a2,0
ispU,a2,0
pntB,a2,0
rpoA,a2,0
ysgA,a2,0
acnB,a2,0
fruK,a2,0
crr,a2,0
rpoS,a2,0
rpoS,a2,0
rpoA,a2,0
yiiD,a2,0
cpxR,a2,0
mrdB,a2,0
pntA,a2,0
rpoS,a2,0
fabZ,a2,0
rep,a2,0
sthA,a2,0
rpoB,a2,0
rpoC,a2,0
pntB,a2,0
yfeH,a2,0
rpoS,a2,0
cpxR,a2,0
icd,a3,0
icd,a3,0
icd,a3,0
icd,a3,0
pntA,a3,0
crr,a3,0
rpoS,a3,0
nagC,a3,0
zwf,a3,0
menC,a3,0
sthA,a3,0
rpoB,a3,0
rpoS,a3,0
rpoA,a3,0
hfq,a3,0
fimD,a3,0
fis,a3,0
cyaA,a3,0
typA,a3,0
ispU,a3,0
pntB,a3,0
rpoA,a3,0
ysgA,a3,0
acnB,a3,0
fruK,a3,0
crr,a3,0
rpoS,a3,0
rpoS,a3,1
rpoA,a3,1
yiiD,a3,1
cpxR,a3,1
mrdB,a3,0
pntA,a3,0
rpoS,a3,0
fabZ,a3,0
rep,a3,0
sthA,a3,0
rpoB,a3,0
rpoC,a3,0
pntB,a3,0
yfeH,a3,0
rpoS,a3,0
cpxR,a3,0
icd,a4,0
icd,a4,0
icd,a4,0
icd,a4,0
pntA,a4,0
crr,a4,0
rpoS,a4,0
nagC,a4,0
zwf,a4,0
menC,a4,0
sthA,a4,0
rpoB,a4,0
rpoS,a4,0
rpoA,a4,0
hfq,a4,0
fimD,a4,0
fis,a4,0
cyaA,a4,0
typA,a4,0
ispU,a4,0
pntB,a4,0
rpoA,a4,0
ysgA,a4,0
acnB,a4,0
fruK,a4,0
crr,a4,1
rpoS,a4,0
rpoS,a4,0
rpoA,a4,0
yiiD,a4,0
cpxR,a4,0
mrdB,a4,0
pntA,a4,0
rpoS,a4,0
fabZ,a4,0
rep,a4,0
sthA,a4,0
rpoB,a4,0
rpoC,a4,0
pntB,a4,1
yfeH,a4,1
rpoS,a4,1
cpxR,a4,1
icd,a5,1
icd,a5,1
icd,a5,1
icd,a5,1
pntA,a5,0
crr,a5,0
rpoS,a5,0
nagC,a5,0
zwf,a5,0
menC,a5,0
sthA,a5,0
rpoB,a5,0
rpoS,a5,0
rpoA,a5,0
hfq,a5,0
fimD,a5,0
fis,a5,0
cyaA,a5,0
typA,a5,0
ispU,a5,0
pntB,a5,0
rpoA,a5,0
ysgA,a5,0
acnB,a5,1
fruK,a5,1
crr,a5,1
rpoS,a5,1
rpoS,a5,0
rpoA,a5,0
yiiD,a5,0
cpxR,a5,0
mrdB,a5,0
pntA,a5,0
rpoS,a5,0
fabZ,a5,0
rep,a5,0
sthA,a5,0
rpoB,a5,0
rpoC,a5,0
pntB,a5,0
yfeH,a5,0
rpoS,a5,0
cpxR,a5,0
icd,a6,0
icd,a6,0
icd,a6,0
icd,a6,0
pntA,a6,0
crr,a6,0
rpoS,a6,0
nagC,a6,0
zwf,a6,0
menC,a6,0
sthA,a6,0
rpoB,a6,0
rpoS,a6,1
rpoA,a6,1
hfq,a6,1
fimD,a6,1
fis,a6,0
cyaA,a6,0
typA,a6,0
ispU,a6,0
pntB,a6,0
rpoA,a6,0
ysgA,a6,0
acnB,a6,0
fruK,a6,0
crr,a6,0
rpoS,a6,0
rpoS,a6,0
rpoA,a6,0
yiiD,a6,0
cpxR,a6,0
mrdB,a6,0
pntA,a6,0
rpoS,a6,0
fabZ,a6,0
rep,a6,0
sthA,a6,0
rpoB,a6,0
rpoC,a6,0
pntB,a6,0
yfeH,a6,0
rpoS,a6,0
cpxR,a6,0
icd,a7,0
icd,a7,0
icd,a7,0
icd,a7,0
pntA,a7,0
crr,a7,0
rpoS,a7,0
nagC,a7,0
zwf,a7,0
menC,a7,0
sthA,a7,0
rpoB,a7,0
rpoS,a7,0
rpoA,a7,0
hfq,a7,0
fimD,a7,0
fis,a7,0
cyaA,a7,0
typA,a7,0
ispU,a7,0
pntB,a7,0
rpoA,a7,0
ysgA,a7,0
acnB,a7,0
fruK,a7,0
crr,a7,1
rpoS,a7,0
rpoS,a7,0
rpoA,a7,0
yiiD,a7,0
cpxR,a7,0
mrdB,a7,1
pntA,a7,1
rpoS,a7,1
fabZ,a7,0
rep,a7,0
sthA,a7,0
rpoB,a7,0
rpoC,a7,0
pntB,a7,0
yfeH,a7,0
rpoS,a7,0
cpxR,a7,0
