Population,Frequency,Gene,mutation_annotations,mutation_position,mutation,mutation_locations,mutation_chromosome
Evo04gndEvo01EP,0.125,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819659,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.125,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819662,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.105,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819666,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.11,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819670,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.105,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819673,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.105,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819675,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.103,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819677,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.104,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819680,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.104,chbB;osmE,N;N'-diacetylchitobiose-specific enzyme IIB component of PTS;DNA-binding transcriptional activator,1819681,SNP,intergenic;intergenic,1
Evo04gndEvo02EP,0.2865,gntR;yhhW,DNA-binding transcriptional repressor;quercetinase activity in vitro,3576781,MOB,intergenic;intergenic,1
Evo04gndEvo03EP,0.92,ilvG,NA,3949755,DEL,coding,1
Evo04gndEvo01EP,1,ilvL,ilvG operon leader peptide,3948365,DEL,coding,1
Evo04gndEvo02EP,0.35,ilvL;ilvX,ilvG operon leader peptide;hypothetical protein,3948486,INS,intergenic;intergenic,1
Evo04gndEvo01EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04gndEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04gndEvo03EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04gndEvo01EP,0.113,insL1;entD,IS186 transposase;phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,608575,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.126,insL1;entD,IS186 transposase;phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,608577,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.106,ispE,4-diphosphocytidyl-2-C-methylerythritol kinase,1261113,SNP,intergenic,1
Evo04gndEvo01EP,1,pntA;ydgH,pyridine nucleotide transhydrogenase; alpha subunit;hypothetical protein,1675937,SNP,intergenic;intergenic,1
Evo04gndEvo02EP,0.637,pntA;ydgH,pyridine nucleotide transhydrogenase; alpha subunit;hypothetical protein,1675937,SNP,intergenic;intergenic,1
Evo04gndEvo03EP,1,pntA;ydgH,pyridine nucleotide transhydrogenase; alpha subunit;hypothetical protein,1676048,SNP,intergenic;intergenic,1
Evo04gndEvo02EP,0.158,relA,(p)ppGpp synthetase I/GTP pyrophosphokinase,2910658,SNP,coding,1
Evo04gndEvo02EP,0.257,rpsA,30S ribosomal subunit protein S1,962205,SNP,coding,1
Evo04gndEvo03EP,0.123,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706954,SNP,coding,1
Evo04gndEvo03EP,0.101,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706982,SNP,coding,1
Evo04gndEvo02EP,0.107,rttR,NA,1286260,SNP,intergenic,1
Evo04gndEvo02EP,0.324,sulA;sxy,SOS cell division inhibitor;required for expression of CRP-S-dependent promoters,1020179,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.138,ybeR,hypothetical protein,675950,DEL,coding,1
Evo04gndEvo01EP,0.105,ycdU;serX,putative inner membrane protein,1096381,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.106,NA,NA,374471,SNP,REP31 (repetitive extragenic palindromic) element; contains 9 REP sequences,1
Evo04gndEvo01EP,0.117,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04gndEvo01EP,0.108,NA,NA,2302897,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04gndEvo01EP,0.139,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.157,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.353,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.166,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo01EP,0.129,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.102,NA,NA,4294178,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.251,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.266,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.28,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo02EP,0.137,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.12,NA,NA,2302820,SNP,REP161 (repetitive extragenic palindromic) element; contains 12 REP sequences,1
Evo04gndEvo03EP,0.166,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.199,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.342,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.246,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.111,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04gndEvo03EP,0.11,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
