gene,population,frequency
ampE,SP01,1
thiI,SP01,1
ybiA,SP01,1
hrpA,SP01,1
dmlA,SP01,1
hisQ,SP01,1
ubiX,SP01,1
pitB,SP01,1
yqiG,SP01,1
exuT,SP01,1
nanA,SP01,1
bcsB,SP01,1
ilvC,SP01,1
trmA,SP01,1
thiI,SP02,1
ycaI,SP02,1
ycjV,SP02,1
mlc,SP02,1
ygeH,SP02,1
thiI,SP03,1
icd,SP03,1
icd,SP03,1
icd,SP03,1
icd,SP03,1
icd,SP03,1
icd,SP03,1
icd,SP03,1
oppA,SP03,1
lsrB,SP03,1
iap,SP03,1
thiI,SP04,1
purB,SP04,1
icd,SP04,1
icd,SP04,1
icd,SP04,1
icd,SP04,1
yoaE,SP04,1
thiI,SP07,1
icd,SP07,1
icd,SP07,1
icd,SP07,1
icd,SP07,1
icd,SP07,1
icd,SP07,1
icd,SP07,1
icd,SP07,1
sapD,SP07,1
intR,SP07,1
degP,SP08,1
mhpR,SP08,1
thiI,SP08,1
pqqL,SP08,1
rnd,SP08,1
yfaA,SP08,1
rsmD,SP08,1
polA,SP08,1
gldA,SP08,1
rpoC,SP08,1
thiI,SP09,1
btuD,SP09,1
arpB,SP09,1
mscL,SP09,1
proA,SP10,1
dxs,SP10,1
thiI,SP10,1
icd,SP10,1
icd,SP10,1
icd,SP10,1
icd,SP10,1
icd,SP10,1
icd,SP10,1
icd,SP10,1
icd,SP10,1
icd,SP10,1
recE,SP10,1
rstB,SP10,1
ydjL,SP10,1
yeaJ,SP10,1
yeaK,SP10,1
thiI,SP11,1
thiI,SP12,1
metG,SP12,1
recB,SP12,1
tnaB,SP12,1
