,,,NON-MUCOID,,,,,,MUCOID,,,,,,,,,,NON-MUCOID,,,,,,MUCOID,,,,,,,,,,,
,Lineage,wt,wt1,wt1,wt2,wt2,wt3,wt3,wt4,wt4,wt4,wt5,wt5,wt5,wt6,wt6,wt6,µ,µ1,µ1,µ2,µ2,µ3,µ3,µ4,µ4,µ4,µ5,µ5,µ5,µ6,µ6,µ6,,,
,Time point,Anc,0,10,0,10,0,10,0,2,10,0,2,10,0,2,10,Anc,0,10,0,10,0,10,0,2,10,0,2,10,0,2,10,,,
,Identifier,EC32 ,EC01 ,EC13 ,EC02 ,EC14 ,EC03 ,EC15 ,EC04 ,EC25 ,EC16 ,EC05 ,EC26 ,EC17 ,EC06 ,EC27 ,EC18 ,EC31 ,EC07 ,EC19 ,EC08 ,EC20,EC09 ,EC21 ,EC10,EC28 ,EC22 ,EC11,EC29 ,EC23 ,EC12 ,EC30 ,EC24 ,,,
Position,Mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annotation,Gene,Description
"34,102",A→G ,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP,SNP,SNP,,,,intergenic (+64/‑198),carB → / → caiF ,carbamoyl‑phosphate synthase large subunit/cai operon transcriptional activator
"105,753",T→A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP,I150N (ATC→AAC)  ,ftsZ → ,GTP‑binding tubulin‑like cell division protein
"107,200",C→T,,,,,,,,,,,,,,,,,,,,,SNP,,,,,,,,,,,,A215V (GCC→GTC) ,lpxC →,UDP‑3‑O‑acyl N‑acetylglucosamine deacetylase
"176,988",A→G ,,,,,,,,,,,,,,,,,,,,,,,,SNP,SNP,SNP,,,,,,,intergenic (+34/+13) ,erpA → / ← yadS ,iron‑sulfur cluster insertion protein/UPF0126 family inner membrane protein
"208,291",T→C ,,,,,,,,,,,,,,,,,,,,,,,,SNP,SNP,SNP,,,,,,,F1056L (TTT→CTT)  ,dnaE → ,DNA polymerase III alpha subunit
"240,254","Δ33,701 bp ",,,,Δ,Δ,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS5‑mediated ,ivy–[ykfC] ,42 genes
"327,188",A→G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP,SNP,SNP,R20R (CGT→CGC)  ,betA ← ,"choline dehydrogenase, a flavoprotein"
"331,843",IS1 (–) +9 bp,,,,,,,,,,,,,,,,,,,,,IS,,,,,,,,,,,,intergenic (+347/‑520),betT → / → yahA,choline transporter of high affinity/c‑di‑GMP‑specific phosphodiesterase
"356,941",G→A ,,,,,,,,,,,,,,,,,,SNP,SNP,,,,,,,,,,,,,,A257A (GCG→GCA)  ,codA → ,cytosine/isoguanine deaminase
"370,014",A→G ,,,,,,,,,,,,,,,,,,,,,,,,SNP,SNP,SNP,,,,,,,T468T (ACA→ACG)  ,mhpA → ,3‑(3‑hydroxyphenyl)propionate hydroxylase
"380,012",#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INS,INS,INS,intergenic (‑131/+57) ,frmR ← / ← yaiO ,regulator protein that represses frmRAB operon/outer membrane protein
"410,892",#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INS,INS,INS,coding (749/909 nt) ,mak → ,manno(fructo)kinase
"528,744",T→C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP,SNP,SNP,pseudogene (105/491 nt) ,ybbD → ,pseudogene
"583,709",IS2 (+) +5 bp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS,,,,coding (29‑33/750 nt) ,appY → ,global transcriptional activator; DLP12 prophage
"658,080",A→G ,,,,,,,,,,,,,,,,,,SNP,SNP,,,,,,,,,,,,,,pseudogene (50/788 nt) ,ybeM → ,"pseudogene, C‑N hydrolase superfamily homology;putative enzyme; Not classified; putative amidase"
"697,079",A→G ,,,,,,,,,,,,,,,,,,SNP,SNP,,,,,,,,,,,,,,noncoding (55/77 nt) ,metT ← ,tRNA‑Met
"697,909",G→T ,,,,,,,,,,,,,,,,,,,SNP,,,,,,,,,,,,,,C423* (TGC→TGA)  ,asnB ← ,asparagine synthetase B
"713,699",C→T ,,SNP,SNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R48C (CGT→TGT)  ,pgm → ,phosphoglucomutase
"742,930",T→C ,,,,,,,,,,,,,,,,,,,,,,,,SNP,SNP,SNP,,,,,,,V35A (GTG→GCG)  ,ybgI → ,NIF3 family metal‑binding protein
