"selective_pressure","population","gene","frequency"
"OT","LK2-D09","AHC1",1
"OT","LK5-H12","ARD1",1
"OT","LK2-B04","ARP4",0.652173913
"OT","LK2-A10","ASI1",0.952380952
"OT","LK5-F07","ATF2",1
"OT","LK2-C09","BFR2",1
"OT","LK2-D07","BFR2",0.8
"OT","LK5-H04","BFR2",1
"OT","LK5-G03","BIM1",0.677419355
"OT","LK2-A12","BMS1",1
"OT","LK2-C09","BMS1",1
"OT","LK2-D05","BMS1",1
"OT","LK5-F05","BMS1",1
"OT","LK5-F05","BMS1",1
"OT","LK5-G03","BMS1",0.954545455
"OT","LK2-A06","BUD23",1
"OT","LK2-A06","BUD23",0.944444444
"OT","LK2-A11","BUD23",1
"OT","LK2-E08","BUD23",1
"OT","LK2-D04","BUD4",0.6
"OT","LK2-B05","CDC53",1
"OT","LK5-F08","COG1",1
"OT","LK2-A10","CRM1",0.933333333
"OT","LK5-G01","CRM1",1
"OT","LK6-A03","CUE3",1
"OT","LK2-A11","DBP3",1
"OT","LK5-F10","DBP9",0.875
"OT","LK5-G01","ECM16",1
"OT","LK2-A11","ECM21",0.97826087
"OT","LK5-G03","ELP2",1
"OT","LK2-A06","ENP2",1
"OT","LK2-A06","ENP2",1
"OT","LK2-A10","ENP2",1
"OT","LK2-A10","ENP2",1
"OT","LK2-D05","ENP2",0.875
"OT","LK2-E08","ENP2",0.714285714
"OT","LK5-F05","ENP2",1
"OT","LK5-F10","ENP2",0.592592593
"OT","LK5-G01","ENP2",1
"OT","LK5-G01","ENP2",0.545454545
"OT","LK5-H07","ENP2",1
"OT","LK5-F08","ENT2",0.941176471
"OT","LK5-F05","ERV46",1
"OT","LK2-D05","ESC1",1
"OT","LK2-E07","FAB1",1
"OT","LK5-F08","FAP1",1
"OT","LK2-B05","FIG2",0.533333333
"OT","LK5-H07","FUB1",1
"OT","LK2-A11","GCD11",0.986486486
"OT","LK2-A10","GFD2",0.6
"OT","LK6-A07","GIS1",0.909090909
"OT","LK2-D07","GLG2",0.526315789
"OT","LK2-D07","GPB1",0.714285714
"OT","LK5-G09","GPB1",0.913043478
"OT","LK2-C09","GRX8",1
"OT","LK6-A07","INO80",1
"OT","LK6-A07","INO80",1
"OT","LK6-A03","Intergenic",0.571428571
"OT","LK6-A03","Intergenic",0.666666667
"OT","LK6-A05","Intergenic",0.735849057
"OT","LK6-A05","Intergenic",0.677419355
"OT","LK6-A05","Intergenic",0.730769231
"OT","LK6-A05","Intergenic",0.666666667
"OT","LK6-A05","Intergenic",0.611111111
"OT","LK6-A05","Intergenic",0.738095238
"OT","LK2-A06","Intergenic",0.916666667
"OT","LK6-A07","Intergenic",1
"OT","LK6-A07","Intergenic",1
"OT","LK2-A10","Intergenic",1
"OT","LK2-A10","Intergenic",1
"OT","LK2-A10","Intergenic",1
"OT","LK2-A10","Intergenic",0.666666667
"OT","LK2-A11","Intergenic",0.791666667
"OT","LK2-A11","Intergenic",0.857142857
"OT","LK2-A11","Intergenic",0.857142857
"OT","LK2-A12","Intergenic",1
"OT","LK2-A12","Intergenic",1
"OT","LK2-A12","Intergenic",0.583333333
"OT","LK2-A12","Intergenic",0.583333333
"OT","LK2-B04","Intergenic",1
"OT","LK2-C05","Intergenic",1
"OT","LK2-C06","Intergenic",1
"OT","LK2-C06","Intergenic",0.6
"OT","LK2-C08","Intergenic",1
"OT","LK2-C09","Intergenic",1
"OT","LK2-C09","Intergenic",0.720930233
"OT","LK2-D04","Intergenic",1
"OT","LK2-D05","Intergenic",1
"OT","LK2-D05","Intergenic",1
"OT","LK2-D05","Intergenic",0.571428571
"OT","LK2-D05","Intergenic",0.666666667
"OT","LK2-D07","Intergenic",1
"OT","LK2-D07","Intergenic",0.8
"OT","LK2-D07","Intergenic",0.714285714
"OT","LK2-D09","Intergenic",1
"OT","LK2-D09","Intergenic",1
"OT","LK2-E07","Intergenic",0.666666667
"OT","LK2-E07","Intergenic",0.666666667
"OT","LK2-E08","Intergenic",0.733333333
"OT","LK2-E08","Intergenic",0.733333333
"OT","LK5-F05","Intergenic",1
"OT","LK5-F06","Intergenic",1
"OT","LK5-F06","Intergenic",1
"OT","LK5-F06","Intergenic",1
"OT","LK5-F06","Intergenic",1
"OT","LK5-F07","Intergenic",0.545454545
"OT","LK5-F08","Intergenic",0.620689655
"OT","LK5-F08","Intergenic",1
"OT","LK5-F08","Intergenic",1
"OT","LK5-F08","Intergenic",0.930232558
"OT","LK5-F08","Intergenic",1
"OT","LK5-F10","Intergenic",1
"OT","LK5-F10","Intergenic",0.545454545
"OT","LK5-G01","Intergenic",1
"OT","LK5-G03","Intergenic",0.658536585
"OT","LK5-G03","Intergenic",0.896551724
"OT","LK5-G03","Intergenic",0.9
"OT","LK5-G03","Intergenic",0.983870968
"OT","LK5-G03","Intergenic",1
"OT","LK5-G03","Intergenic",1
"OT","LK5-G09","Intergenic",0.888888889
"OT","LK5-G09","Intergenic",0.826086957
"OT","LK5-G09","Intergenic",1
"OT","LK5-G09","Intergenic",1
"OT","LK5-G09","Intergenic",1
"OT","LK5-G11","Intergenic",0.869565217
"OT","LK5-G11","Intergenic",0.80952381
"OT","LK5-G11","Intergenic",0.8
"OT","LK5-H02","Intergenic",1
"OT","LK5-H04","Intergenic",1
"OT","LK5-H04","Intergenic",1
"OT","LK5-H04","Intergenic",1
"OT","LK5-H04","Intergenic",0.965517241
"OT","LK2-D05","IPI3",1
"OT","LK2-D05","IPP1",1
"OT","LK6-A07","IRA1",1
"OT","LK2-A11","IRA1",1
"OT","LK2-C06","IRA1",0.55
"OT","LK2-C06","IRA1",0.7
"OT","LK2-D05","IRA1",0.709677419
"OT","LK5-F08","IRA1",0.916666667
"OT","LK5-F08","IRA1",0.967741935
"OT","LK5-F10","IRA1",0.517241379
"OT","LK5-G09","IRA1",0.772727273
"OT","LK5-G09","IRA1",0.6
"OT","LK5-H07","IRA1",0.694444444
"OT","LK5-H07","IRA1",0.777777778
"OT","LK6-A07","IRA2",1
"OT","LK6-A07","IRA2",1
"OT","LK6-A07","IRA2",1
"OT","LK2-A11","IRA2",1
"OT","LK5-H07","IRA2",0.769230769
"OT","LK5-G09","KEL1",0.571428571
"OT","LK6-A03","KRE33",0.545454545
"OT","LK6-A03","KRE33",1
"OT","LK2-A06","KRE33",1
"OT","LK2-A10","KRE33",0.833333333
"OT","LK2-A10","KRE33",1
"OT","LK2-A11","KRE33",0.666666667
"OT","LK2-C05","KRE33",0.958333333
"OT","LK2-C05","KRE33",1
"OT","LK2-D05","KRE33",1
"OT","LK2-D07","KRE33",1
"OT","LK2-D09","KRE33",0.647058824
"OT","LK2-D09","KRE33",0.954545455
"OT","LK2-E08","KRE33",1
"OT","LK5-F10","KRE33",0.724137931
"OT","LK5-G03","KRE33",0.947368421
"OT","LK5-H02","KRE33",1
"OT","LK5-H04","KRE33",1
"OT","LK5-H04","KRE33",1
"OT","LK5-H12","KRE33",1
"OT","LK5-H12","KRE5",1
"OT","LK5-G09","KRI1",0.75
"OT","LK2-D07","KSH1",0.8
"OT","LK2-D09","LCP5",1
"OT","LK6-A07","LTE1",1
"OT","LK5-H04","LTE1",1
"OT","LK2-E08","MCM4",1
"OT","LK2-D07","MDN1",1
"OT","LK5-H07","MEI5",0.657894737
"OT","LK2-B04","MLP1",0.9
"OT","LK2-A10","MSW1",1
"OT","LK6-A03","NUP116",0.785714286
"OT","LK5-H07","NUP170",0.740740741
"OT","LK2-A11","NUP192",0.923076923
"OT","LK5-H07","NUP82",0.888888889
"OT","LK5-G09","NUT1",0.666666667
"OT","LK6-A03","PAR32",0.8
"OT","LK2-A11","PDE2",1
"OT","LK5-F08","PDE2",1
"OT","LK5-G09","PDE2",0.807692308
"OT","LK2-B04","PEP1",0.761904762
"OT","LK2-A06","PHO87",0.55
"OT","LK2-E07","POF1",1
"OT","LK2-D09","POL2",1
"OT","LK2-D05","POM152",1
"OT","LK2-D05","PPZ1",0.636363636
"OT","LK2-A12","RAD16",1
"OT","LK5-H04","RAD23",1
"OT","LK5-F08","RAD4",1
"OT","LK5-H12","RAT1",1
"OT","LK5-F07","REC8",1
"OT","LK6-A03","REX2",0.52173913
"OT","LK2-D07","RIM13",1
"OT","LK2-A06","RPS6A",1
"OT","LK2-E08","RPS6A",1
"OT","LK2-E08","RPS8A",1
"OT","LK2-D07","RPS8B",0.533333333
"OT","LK2-A11","RRT15",0.75
"OT","LK5-H07","RRT8",1
"OT","LK2-A11","RSM23",0.857142857
"OT","LK5-G11","RSN1",1
"OT","LK5-G01","RTC1",1
"OT","LK2-C08","RXT2",0.953488372
"OT","LK2-B04","SEC26",0.95
"OT","LK5-G01","SED1",0.6
"OT","LK5-G01","SED1",0.6
"OT","LK5-G01","SED1",0.6
"OT","LK2-E08","SEN54",1
"OT","LK5-G01","SHS1",1
"OT","LK2-D07","SIR1",1
"OT","LK5-F08","SIR3",0.6
"OT","LK5-F10","SIR3",0.875
"OT","LK5-H02","SIR4",1
"OT","LK5-H04","SIR4",0.789473684
"OT","LK2-A12","SKI2",1
"OT","LK2-C09","SKO1",1
"OT","LK5-G01","SLM1",0.631578947
"OT","LK2-A06","SLM5",1
"OT","LK2-D05","SPO14",1
"OT","LK5-F08","STE11",1
"OT","LK5-G11","STE11",0.9375
"OT","LK2-D07","STE5",0.6
"OT","LK5-G09","SUR7",0.888888889
"OT","LK2-C08","SWI3",1
"OT","LK2-A11","SYG1",1
"OT","LK2-D09","TCB2",1
"OT","LK5-G11","THI11",0.911764706
"OT","LK2-A10","THI7",1
"OT","LK5-H07","TIF3",1
"OT","LK5-G01","TRM112",1
"OT","LK2-C09","TRS130",1
"OT","LK2-D07","UBA2",1
"OT","LK5-G01","UBP6",0.65
"OT","LK5-G03","UBR1",0.735294118
