gene,population
ilvL,aa1
rho,aa1
rpoC,aa1
rpoC,aa1
rpoC,aa1
rpoC,aa1
rpoC,aa1
tam,aa1
ycgJ,aa1
yiaA,aa1
ilvL,aa2
rho,aa2
rpoC,aa2
rpoC,aa2
rpoC,aa2
rpoC,aa2
rpoC,aa2
tam,aa2
ycgJ,aa2
yiaA,aa2
ilvL,aa3
rho,aa3
rpoC,aa3
rpoC,aa3
rpoC,aa3
rpoC,aa3
rpoC,aa3
tam,aa3
ycgJ,aa3
yiaA,aa3
ilvL,aa4
rho,aa4
rpoC,aa4
rpoC,aa4
rpoC,aa4
rpoC,aa4
rpoC,aa4
tam,aa4
ycgJ,aa4
yiaA,aa4
ilvL,aa5
rho,aa5
rpoC,aa5
rpoC,aa5
rpoC,aa5
rpoC,aa5
rpoC,aa5
tam,aa5
ycgJ,aa5
yiaA,aa5
ilvL,aa6
rho,aa6
rpoC,aa6
rpoC,aa6
rpoC,aa6
rpoC,aa6
rpoC,aa6
tam,aa6
ycgJ,aa6
yiaA,aa6
