gene,population,frequency
proA,1,0
carB,1,0
carB,1,0
carB,1,0
carB,1,0
carB,1,0
carB,1,0
carB,1,0
carB,1,0
ygcB,1,0
greA,1,0
yaiS,1,0
argD,1,0
argE,1,0
asd,1,0
lysC,1,0
hisP,1,0
argO,1,0
proY,1,0
proP,1,0
gltB,1,0
gltD,1,0
gltD,1,0
gltD,1,0
gltD,1,0
gltD,1,0
rpoC,1,0
rpoC,1,0
rpoC,1,0
rpoC,1,0
rapA,1,0
rapA,1,0
rcsC,1,0.056
fixC,1,0
fixC,1,0
fixC,1,0
aceF,1,0
aceF,1,0
aceF,1,0
aceF,1,0
aceF,1,0
copA,1,0
copA,1,0
copA,1,0
helD,1,0
helD,1,0
helD,1,0
rne,1,0
rne,1,0
rne,1,0
icd,1,0
icd,1,0
icd,1,0
icd,1,0
aaaE,1,0
aaaE,1,0
aaaE,1,0
topA,1,0
topA,1,0
topA,1,0
puuB,1,0
puuB,1,0
puuB,1,0
pspF,1,0
pspF,1,0
pspF,1,0
feaB,1,0
feaB,1,0
feaB,1,0
ydbA,1,0
ydbA,1,0
ydbA,1,0
ydbA,1,0
ydbA,1,0
rsxC,1,0
rsxC,1,0
rsxC,1,0
lhr,1,0
lhr,1,0
lhr,1,0
lhr,1,0
lhr,1,0.059
sufC,1,0
sufB,1,0
sufB,1,0
yeeJ,1,0
yeeJ,1,0
yeeJ,1,0
yeeJ,1,0
yeeJ,1,0
yeeR,1,0
yeeR,1,0
yeeR,1,0
yehH,1,0
yehH,1,0
yehH,1,0
yehH,1,0
ccmB,1,0
ccmB,1,0
ccmB,1,0
mqo,1,0
mqo,1,0
mqo,1,0
ypaA,1,0
pbpC,1,0
pbpC,1,0
pbpC,1,0
mltF,1,0
mltF,1,0
mltF,1,0
srmB,1,0
srmB,1,0
srmB,1,0
prlF,1,0
bcsB,1,0
bcsB,1,0
bcsB,1,0
bcsB,1,0
bcsA,1,0
bcsA,1,0
bcsG,1,0
polA,1,0
polA,1,0
polA,1,0
proA,3,0.943
carB,3,0
carB,3,0
carB,3,0
carB,3,0
carB,3,0
carB,3,0
carB,3,0
carB,3,0
ygcB,3,1
greA,3,0
yaiS,3,0
argD,3,0
argE,3,0
asd,3,0.071
lysC,3,0.077
hisP,3,0
argO,3,0
proY,3,0
proP,3,0
gltB,3,0
gltD,3,0
gltD,3,0
gltD,3,0
gltD,3,0.078
gltD,3,0
rpoC,3,0
rpoC,3,0
rpoC,3,0
rpoC,3,0
rapA,3,0
rapA,3,0
rcsC,3,0
fixC,3,0
fixC,3,0
fixC,3,0
aceF,3,0
aceF,3,0
aceF,3,0
aceF,3,0
aceF,3,0.087
copA,3,0
copA,3,0
copA,3,0
helD,3,0
helD,3,0
helD,3,0
rne,3,0
rne,3,0
rne,3,0
icd,3,0
icd,3,0
icd,3,0
icd,3,0
aaaE,3,0
aaaE,3,0
aaaE,3,0
topA,3,0
topA,3,0
topA,3,0
puuB,3,0
puuB,3,0
puuB,3,0.063
pspF,3,0
pspF,3,0
pspF,3,0
feaB,3,0
feaB,3,0
feaB,3,0
ydbA,3,0
ydbA,3,0.079
ydbA,3,0
ydbA,3,0
ydbA,3,0
rsxC,3,0
rsxC,3,0
rsxC,3,0
lhr,3,0
lhr,3,0
lhr,3,0
lhr,3,0
lhr,3,0
sufC,3,0
sufB,3,0
sufB,3,0
yeeJ,3,0
yeeJ,3,0
yeeJ,3,0
yeeJ,3,0
yeeJ,3,0
yeeR,3,0
yeeR,3,0
yeeR,3,0
yehH,3,0
yehH,3,0.095
yehH,3,0
yehH,3,0
ccmB,3,0
ccmB,3,0.058
ccmB,3,0
mqo,3,0.063
mqo,3,0
mqo,3,0
ypaA,3,0
pbpC,3,0
pbpC,3,0
pbpC,3,0
mltF,3,0.051
mltF,3,0
mltF,3,0
srmB,3,0.053
srmB,3,0
srmB,3,0
prlF,3,0
bcsB,3,0
bcsB,3,0
bcsB,3,0
bcsB,3,0
bcsA,3,0
bcsA,3,0
bcsG,3,0
polA,3,0
polA,3,0
polA,3,0
proA,4,0
carB,4,0
carB,4,0
carB,4,0
carB,4,0
carB,4,0
carB,4,0
carB,4,0.05
carB,4,0
ygcB,4,0
greA,4,0
yaiS,4,0
argD,4,0
argE,4,0
asd,4,0
lysC,4,0
hisP,4,0
argO,4,0
proY,4,0
proP,4,0
gltB,4,0
gltD,4,0
gltD,4,0
gltD,4,0
gltD,4,0
gltD,4,0
rpoC,4,0
rpoC,4,0
rpoC,4,0
rpoC,4,0
rapA,4,0
rapA,4,0
rcsC,4,0
fixC,4,0
fixC,4,0
fixC,4,0
aceF,4,0
aceF,4,0
aceF,4,0
aceF,4,0
aceF,4,0
copA,4,0
copA,4,0
copA,4,0
helD,4,0
helD,4,0
helD,4,0
rne,4,0
rne,4,0
rne,4,0
icd,4,0
icd,4,0
icd,4,0
icd,4,0
aaaE,4,0.053
aaaE,4,0
aaaE,4,0
topA,4,0
topA,4,0
topA,4,0
puuB,4,0
puuB,4,0.061
puuB,4,0
pspF,4,0
pspF,4,0
pspF,4,0
feaB,4,0
feaB,4,0
feaB,4,0
ydbA,4,0
ydbA,4,0
ydbA,4,0
ydbA,4,0
ydbA,4,0
rsxC,4,0
rsxC,4,0
rsxC,4,0
lhr,4,0
lhr,4,0
lhr,4,0
lhr,4,0
lhr,4,0
sufC,4,0
sufB,4,0
sufB,4,0
yeeJ,4,0
yeeJ,4,0
yeeJ,4,0
yeeJ,4,0
yeeJ,4,0
yeeR,4,0.054
yeeR,4,0
yeeR,4,0
yehH,4,0
yehH,4,0
yehH,4,0.087
yehH,4,0
ccmB,4,0
ccmB,4,0
ccmB,4,0
mqo,4,0
mqo,4,0
mqo,4,0
ypaA,4,0
pbpC,4,0
pbpC,4,0
pbpC,4,0
mltF,4,0
mltF,4,0
mltF,4,0
srmB,4,0
srmB,4,0.061
srmB,4,0
prlF,4,0
bcsB,4,0
bcsB,4,0
bcsB,4,0.06
bcsB,4,0.054
bcsA,4,0
bcsA,4,0
bcsG,4,0.067
polA,4,0
polA,4,0
polA,4,0
proA,6,0
carB,6,0
carB,6,0
carB,6,0.375
carB,6,0
carB,6,0
carB,6,0
carB,6,0
carB,6,0
ygcB,6,1
greA,6,0
yaiS,6,0
argD,6,0
argE,6,0
asd,6,0
lysC,6,0
hisP,6,0
argO,6,0
proY,6,0
proP,6,0.059
gltB,6,0
gltD,6,0
gltD,6,0
gltD,6,0
gltD,6,0
gltD,6,0
rpoC,6,0
rpoC,6,0
rpoC,6,0
rpoC,6,0
rapA,6,0
rapA,6,0
rcsC,6,0
fixC,6,0
fixC,6,0
fixC,6,0
