gene,population,frequency
apaH,R1,1
araD,R1,1
murD,R1,1
secA,R1,1
fhuA,R1,1
ybaL,R1,1
folD,R1,1
ybgO,R1,1
sdhB,R1,1
ybjJ,R1,1
ycdT,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
trpA,R1,1
ynbD,R1,1
ydcI,R1,1
yneI,R1,1
dgsA,R1,1
yebS,R1,1
tar,R1,1
fliC,R1,1
nuoF,R1,1
yfbS,R1,1
cysK,R1,1
rpoS,R1,1
rpoS,R1,1
rpoS,R1,1
ygeV,R1,1
visC,R1,1
yhdE,R1,1
rpoC,R1,1
rpoC,R1,1
rpoB,R1,1
insH,R1,1
tnaA,R1,1
tnaA,R1,1
insH,R1,1
yiaJ,R1,1
dctA,R1,1
glpR,R1,1
malQ,R1,1
prkB,R1,1
rpsL,R1,1
rpoA,R1,1
apaH,R1,1
araD,R1,1
murD,R1,1
secA,R1,1
fhuA,R1,1
ybaL,R1,1
folD,R1,1
ybgO,R1,1
sdhB,R1,1
ybjJ,R1,1
ycdT,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
icd,R1,1
ychS,R1,1
ychS,R1,1
ychS,R1,1
trpA,R1,1
topA,R1,1
ynbD,R1,1
ydcI,R1,1
yneI,R1,1
dgsA,R1,1
ydhK,R1,1
yebS,R1,1
tar,R1,1
fliC,R1,1
nuoF,R1,1
yfbS,R1,1
cysK,R1,1
rpoS,R1,1
rpoS,R1,1
rpoS,R1,1
ygeV,R1,1
visC,R1,1
yhdE,R1,1
rpoC,R1,1
rpoB,R1,1
tnaA,R1,1
tnaA,R1,1
insH,R1,1
yiaJ,R1,1
dctA,R1,1
glpR,R1,1
malQ,R1,1
rpsL,R1,1
rpoA,R1,1
araD,R2,1
murD,R2,1
fhuA,R2,1
folD,R2,1
insH,R2,1
ybgO,R2,1
sdhB,R2,1
ybjJ,R2,1
ycdT,R2,1
prsA,R2,1
hns,R2,1
trpA,R2,1
ynbD,R2,1
ydcI,R2,1
yneI,R2,1
dgsA,R2,1
ydhK,R2,1
yebS,R2,1
tar,R2,1
fliC,R2,1
nuoF,R2,1
yfbS,R2,1
cysK,R2,1
rpoS,R2,1
rpoS,R2,1
ygeV,R2,1
visC,R2,1
cpdA,R2,1
yhdE,R2,1
rpoC,R2,1
insH,R2,1
tnaA,R2,1
tnaA,R2,1
yiaJ,R2,1
dctA,R2,1
malQ,R2,1
rpsL,R2,1
rpsK,R2,1
actP,R2,1
actP,R2,1
actP,R2,1
araD,R2,1
murD,R2,1
fhuA,R2,1
folD,R2,1
ybgO,R2,1
sdhB,R2,1
ybjJ,R2,1
ycdT,R2,1
prsA,R2,1
prsA,R2,1
ychS,R2,1
ychS,R2,1
