gene,population,frequency
RPL9B,0,1
HHF2,0,1
MAL33,0,1
YOR342C,0,1
GRR1,2,1
none,2,1
SPP41,2,1
ALR2,2,1
BIG1,2,1
TMA108,2,1
YEF3,2,1
TRA1,2,1
YKL151C,2,1
PDS5,4,1
PDC2,4,1
ACE2,4,1
GSC2,4,1
YKR015C,4,1
YCF1,4,1
SPL2,4,1
none,4,1
MON1,5,1
ATG2,5,1
PEA2,5,1
DAP2,5,1
ECM27,5,1
FKS1,5,1
none,5,1
VTC3,7,1
YDR089W,7,1
none,7,1
none,7,1
IRC8,7,1
SUN4,7,1
none,7,1
none,10,1
GRR1,10,1
PSE1,10,1
PTP3,10,1
PEX13,10,1
PMT4,10,1
GLR1,10,1
none,12,1
none,12,1
none,12,1
none,12,1
KRE5,12,1
RSF2,12,1
none,12,1
GBP2,12,1
none,12,1
THO2,12,1
FIT1,12,1
