gene,population,frequency
Ecolicontig00001211037211429,BHI1,1
Ecolicontig000453512735732,BHI1,1
Ecolicontig000442962929967,BHI1,1
Ecolicontig000443007130403,BHI1,1
Ecolicontig000152550525948,BHI1,1
Ecolicontig0002256256146,BHI1,1
Ecolicontig000552109321542,BHI1,1
Ecolicontig000505901990,BHI1,1
Ecolicontig000232228622495,BHI1,1
Ecolicontig000223919640200,BHI1,1
Ecolicontig00002143000143332,BHI1,1
Ecolicontig00003202553202828,BHI1,1
Ecolicontig0004136524128,BHI1,1
Ecolicontig000143111831516,BHI1,1
Ecolicontig000037610776679,BHI1,1
Ecolicontig000063182032260,BHI1,1
Ecolicontig0005964287279,BHI1,1
Ecolicontig00008108643108981,BHI1,1
Ecolicontig000371611216339,BHI1,1
Ecolicontig000262354823979,BHI1,1
Ecolicontig00001126901127206,BHI1,1
Ecolicontig000122589826545,BHI1,1
Ecolicontig000102696427467,BHI1,1
Ecolicontig0006985366,BHI1,1
Ecolicontig000293253433202,BHI1,1
Ecolicontig0004052046427,BHI1,1
Ecolicontig00008136790137341,BHI1,1
Ecolicontig000172132822068,BHI1,1
Ecolicontig0009113402665,BHI1,1
Ecolicontig000108170182432,BHI1,0
Ecolicontig00001223263224090,BHI1,1
Ecolicontig0008733503976,BHI1,1
Ecolicontig000182492625177,BHI1,1
Ecolicontig000361711218107,BHI1,1
Ecolicontig0005530423557,BHI1,1
Ecolicontig000108339683911,BHI1,1
Ecolicontig0002893399539,BHI1,1
Ecolicontig000403833940255,BHI1,1
Ecolicontig000221524515592,BHI1,1
Ecolicontig000701074411364,BHI1,1
Ecolicontig000173686537785,BHI1,1
Ecolicontig000191409114573,BHI1,1
Ecolicontig000392991430978,BHI1,1
Ecolicontig000181060010809,BHI1,1
Ecolicontig000392163222045,BHI1,1
Ecolicontig000185964759922,BHI1,1
Ecolicontig000581975220045,BHI1,1
Ecolicontig000402411424830,BHI1,1
Ecolicontig00008135347135646,BHI1,1
Ecolicontig000041051111020,BHI1,1
Ecolicontig000175580756133,BHI1,1
Ecolicontig00004124412124747,BHI1,1
Ecolicontig00003106892107383,BHI1,1
Ecolicontig000413617936688,BHI1,1
Ecolicontig000551938419788,BHI1,1
Ecolicontig0007642764527,BHI1,1
Ecolicontig00006129169129741,BHI1,1
Ecolicontig00021674859,BHI1,1
Ecolicontig00010110642111607,BHI1,1
Ecolicontig000027047871362,BHI1,1
Ecolicontig000125124852201,BHI1,1
Ecolicontig0000470868057,BHI1,1
Ecolicontig000462088321671,BHI1,1
