Line,Environment,Gene
TMP-1,Trimethoprim,acrA
CHL-2,Chloramphenicol,acrB
CHL-1,Chloramphenicol,acrB
CHL-4,Chloramphenicol,acrB
CHL-3,Chloramphenicol,acrB
CHL-5,Chloramphenicol,acrB
TMP-1,Trimethoprim,acrB
DOX-1,Doxycycline,acrR
DOX-2,Doxycycline,fis
TMP-1,Trimethoprim,folA
TMP-2,Trimethoprim,folA
TMP-3,Trimethoprim,folA
TMP-4,Trimethoprim,folA
TMP-5,Trimethoprim,folA
DOX-3,Doxycycline,lpxM
DOX-5,Doxycycline,manY
CHL-1,Chloramphenicol,marR
DOX-2,Doxycycline,marR
DOX-3,Doxycycline,marR
DOX-4,Doxycycline,marR
DOX-5,Doxycycline,marR
CHL-3,Chloramphenicol,cmr
CHL-5,Chloramphenicol,cmr
CHL-4,Chloramphenicol,cmr
CHL-5,Chloramphenicol,cmr
CHL-3,Chloramphenicol,ompR
CHL-4,Chloramphenicol,rob
CHL-4,Chloramphenicol,rplD
TMP-1,Trimethoprim,rpoB
CHL-1,Chloramphenicol,isrC
DOX-2,Doxycycline,acrR
DOX-1,Doxycycline,yedX
DOX-4,Doxycycline,rpoB
