gene,population,frequency
argY,Evo04ptsHIcrrEvo01EP,1
cpxA,Evo04ptsHIcrrEvo01EP,0.877
cyaA,Evo04ptsHIcrrEvo01EP,1
ftsI,Evo04ptsHIcrrEvo01EP,1
insH1,Evo04ptsHIcrrEvo01EP,1
lsrK,Evo04ptsHIcrrEvo01EP,0.555
nlpI,Evo04ptsHIcrrEvo01EP,0.9
rcsB,Evo04ptsHIcrrEvo01EP,1
rcsB,Evo04ptsHIcrrEvo01EP,1
rhsB,Evo04ptsHIcrrEvo01EP,0.157
rhsB,Evo04ptsHIcrrEvo01EP,0.174
rhsB,Evo04ptsHIcrrEvo01EP,0.143
rhsB,Evo04ptsHIcrrEvo01EP,0.143
rhsB,Evo04ptsHIcrrEvo01EP,0.146
rhsB,Evo04ptsHIcrrEvo01EP,0.143
rhsB,Evo04ptsHIcrrEvo01EP,0.179
ydbA,Evo04ptsHIcrrEvo01EP,0.114
yrfF,Evo04ptsHIcrrEvo01EP,1
insH1,Evo04ptsHIcrrEvo02EP,1
rcsA,Evo04ptsHIcrrEvo02EP,1
rsxC,Evo04ptsHIcrrEvo02EP,0.118
rsxC,Evo04ptsHIcrrEvo02EP,0.154
ydbA,Evo04ptsHIcrrEvo02EP,0.11
araA,Evo04ptsHIcrrEvo03EP,0.738
araA,Evo04ptsHIcrrEvo03EP,0.738
cyaA,Evo04ptsHIcrrEvo03EP,1
insH1,Evo04ptsHIcrrEvo03EP,1
ptsP,Evo04ptsHIcrrEvo03EP,0.143
rbbA,Evo04ptsHIcrrEvo03EP,1
rcsB,Evo04ptsHIcrrEvo03EP,1
rpoC,Evo04ptsHIcrrEvo03EP,0.372
yrfF,Evo04ptsHIcrrEvo03EP,1
galR,Evo04ptsHIcrrEvo04EP,1
insH1,Evo04ptsHIcrrEvo04EP,1
nagC,Evo04ptsHIcrrEvo04EP,1
rcsD,Evo04ptsHIcrrEvo04EP,0.991
yibV,Evo04ptsHIcrrEvo04EP,1
