gene,population,frequency
galR,Evo04tpiAEvo01EP,1
htrE,Evo04tpiAEvo01EP,1
icd,Evo04tpiAEvo01EP,0.513
icd,Evo04tpiAEvo01EP,0.475
icd,Evo04tpiAEvo01EP,0.486
icd,Evo04tpiAEvo01EP,0.494
icd,Evo04tpiAEvo01EP,0.448
icd,Evo04tpiAEvo01EP,0.448
icd,Evo04tpiAEvo01EP,0.448
icd,Evo04tpiAEvo01EP,0.361
icd,Evo04tpiAEvo01EP,0.386
icd,Evo04tpiAEvo01EP,0.365
icd,Evo04tpiAEvo01EP,0.319
icd,Evo04tpiAEvo01EP,0.281
menC,Evo04tpiAEvo01EP,0.7969
nagA,Evo04tpiAEvo01EP,0.465
nagC,Evo04tpiAEvo01EP,0.129
nemR,Evo04tpiAEvo01EP,1
phoB,Evo04tpiAEvo01EP,0.529
phoR,Evo04tpiAEvo01EP,0.532
pstA,Evo04tpiAEvo01EP,1
ptsG,Evo04tpiAEvo01EP,1
rpoC,Evo04tpiAEvo01EP,0.125
rrfB,Evo04tpiAEvo01EP,1
ydbC,Evo04tpiAEvo01EP,0.133
insH1,Evo04tpiAEvo02EP,1
nagC,Evo04tpiAEvo02EP,0.937
nagE,Evo04tpiAEvo02EP,1
nemR,Evo04tpiAEvo02EP,1
phoB,Evo04tpiAEvo02EP,1
pstA,Evo04tpiAEvo02EP,1
pykF,Evo04tpiAEvo02EP,0.9751
rrfB,Evo04tpiAEvo02EP,1
rsxC,Evo04tpiAEvo02EP,0.104
rsxC,Evo04tpiAEvo02EP,0.11
bcsA,Evo04tpiAEvo03EP,1
galR,Evo04tpiAEvo03EP,1
menC,Evo04tpiAEvo03EP,0.469
menE,Evo04tpiAEvo03EP,0.1495
nagA,Evo04tpiAEvo03EP,0.257
nagA,Evo04tpiAEvo03EP,0.348
nagA,Evo04tpiAEvo03EP,0.168
phoB,Evo04tpiAEvo03EP,1
phoB,Evo04tpiAEvo03EP,0.613
pstA,Evo04tpiAEvo03EP,1
ptsG,Evo04tpiAEvo03EP,1
pykF,Evo04tpiAEvo03EP,0.148
rpoB,Evo04tpiAEvo03EP,0.108
rrfB,Evo04tpiAEvo03EP,1
yidX,Evo04tpiAEvo03EP,0.136
insH1,Evo04tpiAEvo04EP,1
murA,Evo04tpiAEvo04EP,1
nagC,Evo04tpiAEvo04EP,0.9534
nagE,Evo04tpiAEvo04EP,1
nemR,Evo04tpiAEvo04EP,1
phoR,Evo04tpiAEvo04EP,1
pstA,Evo04tpiAEvo04EP,1
pykF,Evo04tpiAEvo04EP,1
rpoC,Evo04tpiAEvo04EP,1
rpoC,Evo04tpiAEvo04EP,0.124
rpoC,Evo04tpiAEvo04EP,0.124
rpoC,Evo04tpiAEvo04EP,0.658
rrfB,Evo04tpiAEvo04EP,1
rrlB,Evo04tpiAEvo04EP,0.237
rrlB,Evo04tpiAEvo04EP,0.244
yheS,Evo04tpiAEvo04EP,1
yidX,Evo04tpiAEvo04EP,0.112
ypdA,Evo04tpiAEvo04EP,1
