Page number (if paper obtained through Google Scholar search),Who analyzed (if paper useful)? (If there's a 6-digit number: Date of entering paper into database),Link,Paper Name,"Author Last Name, Year of Publication","Usefulness (See ""Usefulness"" filter legend for the values to fill in this column)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")","Paper ID (obtained through sorting ""Author, Year ""A-Z once all the papers have been logged into this sheet)"
,TL,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2009-10-10-r118,Whole-genome resequencing of Escherichia coli K-12 MG1655 undergoing short-term laboratory evolution in lactate minimal media reveals flexible selection of adaptive mutations,"Conrad, 2009",1,E. coli K-12 (MG1655),haploid,11 - 2 exps: 1 using 5 & 1 using 6.,1100 gens (LactA to LactE); 750 gens (LactF to LactK),,"2 g/L L-lactate, M9 minimal medium. Stressor: Lactate.",,"_ TL - don't know where I found this.
_ Table 1 - split data into 2 exps",UNKNOWN,82
,TL,https://genome.cshlp.org/content/24/11/1830.short,"Preservation of genetic and regulatory robustness
in ancient gene duplicates of S. cerevisiae","Keane, 2014",1,S. cerevisiae (deleted msh2),haploid,5,2200,,YPD.,Supp Tables S1-5,"_ TL - don't know where I found this.
_ The ""p"" in ""p100"" are for passages. TL assumes p100 (last passage in datasets) = gen 2200 (gen # included in paper) and deduced the # of gens for the other passages. TL assumes ""Ancestor"" to be p0. TL decided to exclude pop 5 from analysis because there's no data for p100. Analyze pops 1, 2, 3, & 4 at shared timepoints: p0, p20 (gen 440), p50 (gen 1100), p70 (gen 1540), p90 (gen 1980), & p100.",UNKNOWN,221
,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006339#references,High-Throughput Identification of Adaptive Mutations in Experimentally Evolved Yeast Populations,"Payen, 2016",5,S. cerevisiae,diploid & haploid,"30 (total of 3 conditions - phosphate, glucose, and sulfate being the limiting nutrient, respectively).",20,,"Phosphate (diploid), LB (haploid)",,"_ Selective pressure: Glucose, phosphate, or sulfate.",UNKNOWN,
,TL,https://science-sciencemag-org.uml.idm.oclc.org/content/344/6191/1519.full,Global Epistasis Makes Adaptation Predictable Despite Sequence-Level Stochasticity,"Kryazhimskiy, 2014",1,S. cerevisiae (W303),haploid,"64 founders x 10 reps each (After rounds of clone selection & exclusion (see ""Material & Methods""-""Full-genome sequencing""""), sequenced only 104 clones from 15 founders in Table S5). ",500,,"YPD, 30 degrees C.",_ Table S5.,"_ In Table S5: CL = Contigency Loci.
_ All Founders have shorthand labels “Sddd” or “Lddd”, where “ddd” is a
three-digit number, e.g., L013.
_ Founder notation: S (Small bottleneck size during Diversification phase) & L (Large). During adaptation, pops from both types of founders were propagated with a large bottleneck size.
_ 2 big phases in ALE: Diversification (to establish Founders) & Adaptation.
_ Founders L096 & L102 were mixtures of 2 genotypes each, so 2 founders become 4: L096a, L096b, L102, & L102a.
_ 10 replicates from same Founder populate the same row, 2 random blank wells, replicates numbered 1-12 based on location in row.
_ Table S5, ""Notes"" column, ""not used"" = Not used for further analysis beyond sequencing.
_ ""Complex"" mutations: ""mutations at nearby sites that were called in the same clone.""
_ Manually removed populations and/or founders whose ""Notes"" col has ""likely mutator"" or ""likely diploid"".",RL,239
,MH,https://doi-org.uml.idm.oclc.org/10.1038%2Fng.1034,Evolutionary paths to antibiotic resistance under dynamically sustained drug selection,"Toprak, 2012",1,E. coli,haploid,,,,"M9 minimal medium supplemented with 0.4% glucose and 0.2% amicase; one of 3 antibiotics: chloramphenicol, doxycycline, and trimethoprim",Supplementary Table S2 has SNP info.,"
_ 191108: Scanned for duplicate & wrong species.
_ 191108: Screened.
_ 191120: AG will email authors for .xls file of Table S2.",RL,460
,TL (analyzed 191120),https://www-pnas-org.uml.idm.oclc.org/content/pnas/108/29/12179.full.pdf,Unravelling evolutionary strategies of yeast for improving galactose utilization through integrated systems level analysis,"Hong, 2011",1,S. cerevisiae ,haploid,3,400,,Galactose minimal media,sd01.xls has SNP info.,"_ 191107: Scanned for duplicate & wrong species.
_ 191108: Screened.
_ Selective pressure: Galactose.
",MD,187
,TL,https://academic-oup-com.uml.idm.oclc.org/gbe/article/doi/10.1093/gbe/evq035/574394,Divergence Involving Global Regulatory Gene Mutations in an Escherichia coli Population Evolving under Phosphate Limitation,"Wang, 2010",1,E. coli K-12 MC4100TF,haploid,5,37 days,,"Chemostat, T-salts minimal medium, phosphate limitation. Stressor: Phosphate limitation. ",," _ Table 1. The different ""strain names"" (""BWxxxx"") are actually pop names. They were ""clones coevolved from the parental strain MC4100TF"".",MD,479
,TL (analyzed 191118),https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002202,Hunger artists: yeast adapted to carbon limitation show trade-offs under carbon sufficiency,"Wenger, 2011",1,S. cerevisiae,diploid,"3 (E2, E3, & E5 - evolved for the same # gen)",250,,10 mL YEPD (2% glucose),,"_ 191108: Screened.
_ Selective pressure: Continuous aerobic glucose limitation.",MD,491
,MH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3758440/,Pervasive Genetic Hitchhiking and Clonal Interference in 40 Evolving Yeast Populations,"Lang, 2013",1,S. cerevisiae ,haploid,40,1000,,YPD (environment mentioned in a previous study - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3176544/),Table S1 has mutation data for multiple generations.,"_ Didn't know where MH got this.
_ Pop names: 
+ RMS: small populations (Ne = 105) in which sterility provides a 0.6% fitness advantage.
+ BYS: small populations where sterility provides a 1.5% advantage.
+ RMB: big populations (Ne = 106) where sterility provides a 0.6% advantage.
+ BYB: big populations where sterility provides a 1.5% advantage. ",JB,249
1,TL,https://www.biorxiv.org/content/10.1101/659706v1.full,Adaptive laboratory evolution of Escherichia coli under acid stress,"Du, 2019",1,E. coli K-12,,"6 (6 pH 5.5, 2x2 pH 7, but pH 7 pops won't be useful (only 2 per founder)",800 (111-118 flasks),,"Minimal glucose medium, pH 5.5, buffered w/ 150 mM MES (pKa = 6.1), Mg concentration = 0.2 mM. Stressor: pH 5.5.",Table S2 has all mutations,"[Group data into ""intermediate"" & ""late"" time points. For multiple-flask mutations, include in both time points]. For each pop, divide the total flask number by 4:
_ Data <= 1/4 flask number -> early. 
_ 1/4 flask number <= Data <= 3/4 flask number -> intermediate. 
_ The rest -> late.

When visualizing: Take ""late"" as 800 gens, & ""intermediate"" as 400 gens.",B6,120
