Founder,Pop,Clone,Notes,Type,Gene,Distance to gene,FREQ IN CL,FREQ OUT CL,Notes
L013,0,0,,prom,GSP1,488,99.30%,0.10%,
L013,0,0,,non,GRR1,,99.00%,1.52%,
L013,0,0,,syn,EGT2,,100.00%,3.52%,
L013,1,0,,non,ECM21,,100.00%,0.32%,
L013,1,0,,intergenic,none,,100.00%,0.17%,
L013,1,0,,frame,KEL1,,100.00%,0.00%,
L013,1,0,,syn,TED1,,100.00%,0.17%,
L013,1,0,,prom,TTI1,161,100.00%,0.11%,
L013,1,0,,complex-frame,IRA1,,100.00%,0.08%,
L013,1,0,,complex-frame,IRA1,,100.00%,0.00%,
L013,1,0,,syn,MCH4,,100.00%,0.00%,
L013,1,1,,non,NUM1,,100.00%,0.15%,
L013,1,1,,non,RRP45,,100.00%,0.29%,
L013,1,2,not used,intergenic,none,,100.00%,0.13%,
L013,2,1,,syn,RSC6,,100.00%,0.48%,
L013,2,1,,prom,TCA17,86,100.00%,0.00%,
L013,2,1,,prom,GCN20,112,100.00%,0.00%,
L013,2,1,,non,MTR3,,100.00%,0.31%,
L013,2,1,,complex-frame,DCN1,,100.00%,0.00%,
L013,2,1,,complex-frame,DCN1,,100.00%,0.14%,
L013,4,0,,non,FUS3,,98.60%,0.58%,
L013,4,0,,prom,CDC14,304,70.00%,0.37%,
L013,4,0,,complex-intergenic,none,,87.50%,0.16%,
L013,4,0,,complex-intergenic,none,,100.00%,0.62%,
L013,4,1,,non,SIP3,,98.30%,0.12%,
L013,4,1,,complex-non,CYC8,,95.50%,1.16%,
L013,4,1,,complex-non,CYC8,,79.20%,2.07%,
L013,4,1,,complex-non,CYC8,,97.10%,2.03%,
L013,4,1,,complex-non,CYC8,,97.80%,2.63%,
L013,4,1,,complex-non,CYC8,,100.00%,0.95%,
L013,4,1,,complex-prom,CDC14,308,69.60%,0.30%,
L013,4,1,,complex-prom,CDC14,312,64.00%,0.58%,
L013,4,2,not used,intergenic,none,,90.90%,0.00%,
L013,4,2,not used,prom,YER137C,363,100.00%,0.00%,
L013,4,2,not used,prom,CBC2,269,100.00%,0.08%,
L013,5,1,,non,HO,,100.00%,0.16%,
L013,5,1,,prom,YJR162C,425,61.10%,1.83%,
L013,5,1,,syn,TOS1,,100.00%,0.54%,
L013,5,1,,prom,YFL063W,351,100.00%,2.53%,
L013,5,1,,frame,DFM1,,100.00%,0.07%,
L013,5,1,,non,SFL1,,92.90%,1.41%,
L013,6,1,,prom,YDR095C,106,100.00%,0.00%,
L013,6,1,,prom,COP1,41,100.00%,0.64%,
L013,6,1,,non,PSE1,,100.00%,0.37%,
L013,6,1,,intergenic,none,,71.40%,0.00%,
L013,6,1,,non,RPS26B,,100.00%,0.14%,
L013,6,1,,non,GCN1,,100.00%,0.16%,
L013,6,1,,intergenic,none,,79.40%,1.98%,
L013,6,1,,complex-intergenic,none,,100.00%,0.22%,
L013,6,1,,complex-intergenic,none,,100.00%,0.00%,
L013,6,1,,complex-intergenic,none,,100.00%,0.39%,
L013,6,1,,non,LYS9,,100.00%,0.00%,
L013,7,0,,stop,DSE1,,100.00%,0.09%,
L013,7,0,,complex-prom,DCP2,324,100.00%,0.07%,
L013,7,0,,complex-prom,DCP2,325,100.00%,0.20%,
L013,7,1,,non,PAN1,,100.00%,0.39%,
L013,7,1,,non,YBR241C,,100.00%,1.55%,
L013,7,1,,non,MSH3,,100.00%,0.23%,
L013,7,1,,stop,PHO2,,100.00%,0.42%,
L013,7,1,,syn,YFR020W (dubious),,100.00%,0.41%,
L013,7,1,,non,TCO89,,100.00%,0.33%,
L013,7,2,not used,syn,YFL054C,,100.00%,0.15%,
L013,7,2,not used,prom,MRPL11,152,100.00%,0.00%,
L013,7,2,not used,prom,OSH7,5,100.00%,0.00%,
L013,8,1,,syn,CCH1,,100.00%,0.00%,
L013,8,1,,prom,NOP12,16,100.00%,0.00%,
L013,8,1,,non,MNE1,,100.00%,0.00%,
L013,8,1,,syn,TOR1,,100.00%,0.10%,
L013,8,1,,non,RIC1,,100.00%,0.00%,
L013,8,1,,non,ARE2,,100.00%,0.07%,
L013,8,1,,intergenic,none,,100.00%,0.00%,
L013,8,1,,prom,YAP1802,201,100.00%,0.00%,
L013,8,1,,stop,SFL1,,100.00%,1.12%,
L013,10,1,,prom,HSP33,227,100.00%,0.00%,
L013,10,1,,non,BRR2,,100.00%,0.18%,
L013,10,1,,complex-non,ATG32,,100.00%,0.37%,
L013,10,1,,complex-non,ATG32,,100.00%,4.58%,
L013,10,1,,syn,BCH2,,92.90%,0.08%,
L013,10,1,,non,KAP120,,100.00%,0.00%,
L013,11,1,,non,DRS2,,100.00%,0.00%,
L013,11,1,,intergenic,none,,100.00%,0.00%,
L013,11,1,,stop,SUN4,,100.00%,0.00%,
L013,11,1,,stop,SOD2,,100.00%,0.09%,
L013,11,1,,prom,RTC5,175,100.00%,0.00%,
L013,11,1,,intergenic,none,,100.00%,0.00%,
L013,11,1,,non,BRR2,,100.00%,0.08%,
L013,11,1,,non,FRE8,,100.00%,0.07%,
L013,11,1,,prom,SPO7,63,100.00%,0.00%,
L013,11,1,,frame,KEL1,,100.00%,0.00%,
L013,11,1,,non,ABZ1,,100.00%,0.00%,
L013,11,1,,prom,YPL062W,177,100.00%,0.10%,
L013,12,1,,non,TRM13,,100.00%,0.06%,
L013,12,1,,non,YKL091C,,100.00%,0.09%,
L013,12,1,,non,RIM15,,100.00%,0.00%,
L013,12,1,,non,HSL1,,100.00%,0.00%,
L013,12,1,,non,ZRG8,,100.00%,0.00%,
L013,12,1,,non,LAS17,,100.00%,0.00%,
L013,12,1,,prom,NUP1,80,100.00%,0.00%,
L013,12,1,,non,ECM25,,100.00%,0.07%,
L013,12,1,,prom,YGL036W,147,100.00%,0.00%,
L013,12,1,,non,MRPL44,,100.00%,0.00%,
L013,12,1,,syn,TAM41,,75.00%,0.00%,
L013,12,1,,stop,YPL199C,,100.00%,0.09%,
L013,12,1,,intergenic,none,,100.00%,0.00%,
L013,12,1,,non,SEC14,,100.00%,0.00%,
L013,12,1,,non,SKN1,,100.00%,0.00%,
L013,12,1,,intergenic,none,,100.00%,0.00%,
L013,12,1,,non,TRM44,,100.00%,0.00%,
L013,12,1,,non,HMS2,,100.00%,0.00%,
L013,12,1,,intergenic,none,,100.00%,0.00%,
L013,12,1,,non,LEU4,,100.00%,0.07%,
L013,12,1,,syn,ZTA1,,100.00%,0.09%,
L013,12,1,,intron,RPS19A,,100.00%,0.00%,
L013,12,1,,non,TEF4,,100.00%,0.00%,
L013,12,1,,intergenic,none,,100.00%,0.08%,
L013,12,1,,intergenic,none,,100.00%,0.00%,
L013,12,1,,prom,YOR200W,44,100.00%,0.00%,
L013,12,1,,syn,VPS17,,100.00%,0.09%,
L013,12,1,,prom,CIS3,32,100.00%,0.08%,
L013,12,1,,non,CUL3,,100.00%,0.09%,
L013,12,1,,non,RSN1,,100.00%,0.00%,
L013,12,1,,syn,RRP46,,100.00%,0.07%,
L013,12,1,,non,GIP3,,100.00%,0.09%,
L013,12,1,,non,EST2,,100.00%,0.09%,
L013,12,1,,prom,TIF34,62,100.00%,0.07%,
L013,12,1,,syn,DAL4,,100.00%,0.05%,
L048,0,0,,frame,MGA2,,100.00%,0.19%,
L048,0,0,,non,ARO2,,96.60%,0.00%,
L048,0,0,,prom,DCD1,450,100.00%,0.21%,
L048,0,0,,non,NUP85,,100.00%,0.24%,
L048,1,1,,non,TIF1,,93.80%,0.12%,
L048,1,1,,intergenic,none,,100.00%,0.10%,
L048,1,1,,non,GCN4,,100.00%,0.37%,
L048,1,1,,non,YUR1,,100.00%,0.00%,
L048,1,1,,non,DNL4,,100.00%,0.24%,
L048,2,1,"likely mutator, not used",syn,ALR1,,100.00%,0.10%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,ENP2,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",prom,FLO10,211,100.00%,0.08%,
L048,2,1,"likely mutator, not used",non,RRI2,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,MSB1,,100.00%,0.09%,
L048,2,1,"likely mutator, not used",stop,GPB2,,100.00%,0.25%,
L048,2,1,"likely mutator, not used",syn,YNL217W,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",syn,RAD1,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",syn,VID30,,96.40%,0.73%,
L048,2,1,"likely mutator, not used",syn,SPC42,,100.00%,0.50%,
L048,2,1,"likely mutator, not used",non,SET2,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",stop,RTT107,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,YER152C,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,YMR160W,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",prom,RPL35B,406,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,ROM1,,100.00%,0.36%,
L048,2,1,"likely mutator, not used",prom,OSH3,294,100.00%,0.84%,
L048,2,1,"likely mutator, not used",non,PRP16,,100.00%,0.09%,
L048,2,1,"likely mutator, not used",stop,YOR093C,,100.00%,0.09%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",prom,YDR348C,276,100.00%,0.00%,
L048,2,1,"likely mutator, not used",prom,RAD5,27,100.00%,0.10%,
L048,2,1,"likely mutator, not used",non,VAC14,,100.00%,0.09%,
