gene,population,frequency
YLL048C,62A,1
YNL200C,62A,1
YNL098C,62A,1
YCR104W,62A,1
YDL019C,62A,1
YHR131C,62A,1
YAL063C,62B,1
YAL063C,62B,1
YAR068W,62B,1
YAR071W,62B,1
YJL222W,62B,1
YJL222W,62B,1
YJL222W,62B,1
YJL159W,62B,1
YJL159W,62B,1
YMR015C,62B,1
YNL098C,62B,1
YNR065C,62B,1
YNR065C,62B,1
YNR073C,62B,1
YNR073C,62B,1
YNR073C,62B,1
YPL139C,62B,1
YBL028C,62B,1
YCR097W,62B,1
YDL033C,62B,1
YDR022C,62B,1
YDR038C,62B,1
YEL069C,62B,1
YFL062W,62B,1
YHL046C,62B,1
YHR092C,62B,1
YHR094C,62B,1
YAR050W,62C,1
YJL005W,62C,1
YKR103W,62C,1
YKR103W,62C,1
YNL158W,62C,1
YOR066W,62C,1
YBR079C,62C,1
YCR048W,62C,1
YER060W,62C,1
YER060W,62C,1
YER062C,62C,1
