gene,population,frequency
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
ENA1,0,1
none,0,1
HST3,1,1
SFL1,1,1
NOC4,1,1
MGA2,1,1
STI1,1,1
none,1,1
HRQ1,2,1
VMA11,2,1
none,2,1
FAU1,2,1
RPL17B,2,1
YPK1,2,1
NAM7,2,1
none,2,1
RPS24B,3,1
PRR1,3,1
TFC1,3,1
AFR1,3,1
none,3,1
YIL060W,3,1
ASK1,3,1
SDO1,3,1
ADY4,3,1
SFL1,3,1
YAK1,3,1
BUD20,3,1
none,3,1
RKM3,5,1
PTR2,5,1
UBR1,5,1
BIT2,5,1
PDC5,5,1
RPS31,6,1
FRA1,6,1
YNL155W,6,1
BUD9,6,1
KEG1,6,1
POL3,6,1
SGD1,6,1
NAR1,7,1
YJL049W,7,1
TUP1,7,1
KIN1,7,1
YIP1,7,1
YKL222C,7,1
ARP6,7,1
THO2,7,1
ACF4,7,1
IRC8,9,1
AIM44,9,1
QRI7,9,1
QRI7,9,1
LSC2,9,1
YBR285W,9,1
RPA12,9,1
none,10,1
NAT4,10,1
YLH47,10,1
GIS1,10,1
none,10,1
UTR2,10,1
YKR075C,10,1
CBK1,10,1
IRA1,10,1
CTI6,10,1
ERG8,10,1
DIG2,10,1
none,11,1
TOM1,11,1
INM1,11,1
VPS1,11,1
HMG1,11,1
CNM67,11,1
DBP9,11,1
ARC40,11,1
CBK1,11,1
BDF1,11,1
PRP22,12,1
none,12,1
TCB3,12,1
none,12,1
none,12,1
none,12,1
MAK21,12,1
YKU80,12,1
