gene,population,frequency
crl,a1,2
mhpR,a1,NA
rpoB,a1,NA
yfiH,a1,NA
leuT,a1,NA
yneO,a1,NA
rsxC,a1,NA
mtr,a1,NA
rpoC,a1,NA
rsxC,a1,NA
rsxC,a1,NA
leuP,a1,NA
thrA,a1,NA
yaaJ,a1,2
yaaW,a1,2
dnaJ,a1,2
carA,a1,2
carB,a1,NA
caiB,a1,2
kefFkefC,a1,2
folA,a1,NA
pdxA,a1,2
surA,a1,2
araD,a1,2
yabI,a1,2
thiQ,a1,NA
thiB,a1,NA
ilvI,a1,NA
ftsI,a1,NA
ftsI,a1,NA
murFmraY,a1,2
mraY,a1,NA
ftsW,a1,NA
ftsA,a1,2
secA,a1,NA
mutT,a1,2
hofC,a1,2
nadC,a1,2
pdhR,a1,2
aceF,a1,NA
acnB,a1,NA
yadC,a1,2
yadL,a1,2
yadV,a1,NA
sfsA,a1,NA
hrpB,a1,NA
fhuA,a1,2
fhuA,a1,2
clcA,a1,NA
btuF,a1,2
cdaR,a1,NA
cdaR,a1,NA
cdaR,a1,NA
yaeI,a1,NA
rpsB,a1,NA
bamA,a1,NA
dnaE,a1,NA
dnaE,a1,NA
tsaA,a1,2
metQ,a1,2
yafF,a1,2
fadE,a1,NA
dinJ,a1,2
yafL,a1,2
pepD,a1,2
proA,a1,2
ykfA,a1,NA
insI1,a1,NA
yagA,a1,NA
yagF,a1,2
yagH,a1,2
insA,a1,NA
paoC,a1,NA
ecpE,a1,NA
ecpB,a1,NA
ykgL,a1,2
insF1,a1,NA
yahE,a1,2
yahL,a1,2
yahL,a1,NA
yahM,a1,NA
prpE,a1,2
cynR,a1,NA
mhpC,a1,2
mhpF,a1,NA
frmR,a1,NA
insD1,a1,NA
yaiP,a1,2
yaiS,a1,2
tauA,a1,NA
insF1,a1,NA
yaiT,a1,NA
iraP,a1,NA
araJ,a1,NA
proY,a1,NA
secD,a1,NA
pgpA,a1,2
yajL,a1,2
yajLpanE,a1,NA
yajQ,a1,NA
cyoA,a1,2
lon,a1,2
ybaO,a1,2
mdlA,a1,NA
mdlAmdlB,a1,2
amtB,a1,NA
ybaY,a1,2
ybaA,a1,2
ylaB,a1,2
ylaB,a1,2
tomB,a1,2
acrA,a1,NA
mscK,a1,NA
priC,a1,2
apt,a1,2
hemHaes,a1,NA
ybbO,a1,NA
ybbP,a1,2
rhsD,a1,2
allC,a1,2
ybcF,a1,2
sfmC,a1,NA
insF1,a1,2
ybcL,a1,2
rzpD,a1,NA
ybcY,a1,2
appY,a1,NA
ompT,a1,NA
envY,a1,NA
nfrA,a1,NA
nfrA,a1,2
hokE,a1,NA
ybdR,a1,NA
ybdR,a1,NA
citF,a1,2
citE,a1,NA
lipB,a1,2
rlpA,a1,2
mrdA,a1,NA
cobC,a1,NA
leuS,a1,2
ybeQ,a1,2
ybeQ,a1,2
djlB,a1,2
ybeU,a1,NA
ybeX,a1,NA
ubiF,a1,2
glnS,a1,NA
ybfG,a1,NA
kdpD,a1,2
