gene,population,frequency
proY,A1,NA
ybaL,A1,NA
rpsA,A1,3
topA,A1,3
pykF,A1,3
yeiB,A1,3
spoT,A1,3
fimA,A1,NA
ybaL,A1,NA
mreC,A1,NA
iclR,A1,NA
ECB02816,A1,NA
rpsD,A1,NA
aceB,A1,NA
manZ,A1,NA
yfgA,A1,NA
fhlA,A1,NA
iclR,A1,NA
ydhH,A1,NA
ydhV,A1,NA
gltB,A1,NA
rpsD,A1,NA
spoT,A1,NA
purH,A1,NA
rpoS,A1,NA
nadR,A1,NA
mrdA,A1,NA
ascB,A1,NA
yraL,A1,NA
yigN,A1,NA
rpoC,A1,NA
mrdA,A1,NA
hslU,A1,NA
yliG,A1,NA
relA,A1,NA
metL,A1,NA
sodC,A1,NA
glmS,A1,NA
iclR,A1,NA
maf,A1,NA
gltB,A1,NA
rtcB,A1,NA
yijC,A1,NA
nadR,A1,NA
ybeA,A1,NA
astE,A1,NA
deaD,A1,NA
malT,A1,NA
mrdA,A1,NA
artM,A1,NA
dinI,A1,NA
atoC,A1,NA
menC,A1,NA
ECB02815,A1,NA
hslU,A1,NA
mreB,A1,NA
hslU,A1,NA
gltB,A1,NA
rpoB,A1,NA
proY,A2,NA
ybaL,A2,NA
rpsA,A2,NA
topA,A2,3
pykF,A2,3
yeiB,A2,3
spoT,A2,3
fimA,A2,3
ybaL,A2,NA
mreC,A2,NA
iclR,A2,NA
ECB02816,A2,NA
rpsD,A2,NA
aceB,A2,NA
manZ,A2,NA
yfgA,A2,NA
fhlA,A2,NA
iclR,A2,NA
ydhH,A2,NA
ydhV,A2,NA
gltB,A2,NA
rpsD,A2,NA
spoT,A2,NA
purH,A2,NA
rpoS,A2,NA
nadR,A2,NA
mrdA,A2,NA
ascB,A2,NA
yraL,A2,NA
yigN,A2,NA
rpoC,A2,NA
mrdA,A2,NA
hslU,A2,NA
yliG,A2,NA
relA,A2,NA
metL,A2,NA
sodC,A2,NA
glmS,A2,NA
iclR,A2,NA
maf,A2,NA
gltB,A2,NA
rtcB,A2,NA
yijC,A2,NA
nadR,A2,NA
ybeA,A2,NA
astE,A2,NA
deaD,A2,NA
malT,A2,NA
mrdA,A2,NA
artM,A2,NA
dinI,A2,NA
atoC,A2,NA
menC,A2,NA
ECB02815,A2,NA
hslU,A2,NA
mreB,A2,NA
hslU,A2,NA
gltB,A2,NA
rpoB,A2,NA
proY,A3,NA
ybaL,A3,NA
rpsA,A3,NA
topA,A3,3
pykF,A3,3
yeiB,A3,3
spoT,A3,3
fimA,A3,3
ybaL,A3,NA
mreC,A3,NA
iclR,A3,NA
ECB02816,A3,NA
rpsD,A3,NA
aceB,A3,NA
manZ,A3,NA
yfgA,A3,NA
fhlA,A3,NA
iclR,A3,NA
ydhH,A3,NA
ydhV,A3,NA
gltB,A3,NA
rpsD,A3,NA
spoT,A3,NA
purH,A3,NA
rpoS,A3,NA
nadR,A3,NA
mrdA,A3,NA
ascB,A3,NA
yraL,A3,NA
yigN,A3,NA
rpoC,A3,NA
mrdA,A3,NA
hslU,A3,NA
yliG,A3,NA
relA,A3,NA
metL,A3,NA
sodC,A3,NA
glmS,A3,NA
iclR,A3,NA
maf,A3,NA
gltB,A3,NA
rtcB,A3,NA
yijC,A3,NA
nadR,A3,NA
ybeA,A3,NA
astE,A3,NA
deaD,A3,NA
malT,A3,NA
mrdA,A3,NA
artM,A3,NA
dinI,A3,NA
atoC,A3,NA
menC,A3,NA
ECB02815,A3,NA
hslU,A3,NA
mreB,A3,NA
hslU,A3,NA
gltB,A3,NA
rpoB,A3,NA
proY,A4,NA
ybaL,A4,NA
rpsA,A4,NA
topA,A4,3
pykF,A4,3
yeiB,A4,3
spoT,A4,3
fimA,A4,3
ybaL,A4,NA
mreC,A4,NA
iclR,A4,NA
ECB02816,A4,NA
rpsD,A4,NA
aceB,A4,NA
manZ,A4,NA
yfgA,A4,NA
fhlA,A4,NA
iclR,A4,NA
ydhH,A4,NA
ydhV,A4,NA
gltB,A4,NA
rpsD,A4,NA
spoT,A4,NA
purH,A4,NA
rpoS,A4,NA
