population,frequency,gene,mutation_annotations,mutation_position,mutation,mutation_locations,mutation_chromosome
Evo04sdhCBEvo02EP,0.162,cysD;iap,sulfate adenylyltransferase; subunit 2;aminopeptidase in alkaline phosphatase isozyme conversion,2874398,SNP,intergenic;intergenic,1
Evo04sdhCBEvo03EP,0.793,cysD;iap,sulfate adenylyltransferase; subunit 2;aminopeptidase in alkaline phosphatase isozyme conversion,2874448,SNP,intergenic;intergenic,1
Evo04sdhCBEvo02EP,1,glnD,uridylyltransferase,186134,INS,coding,1
Evo04sdhCBEvo03EP,0.362,glnD,uridylyltransferase,186409,SNP,coding,1
Evo04sdhCBEvo01EP,0.3333,iap,aminopeptidase in alkaline phosphatase isozyme conversion,2874700,MOB,coding,1
Evo04sdhCBEvo02EP,0.6585,iap,aminopeptidase in alkaline phosphatase isozyme conversion,2874700,MOB,coding,1
Evo04sdhCBEvo02EP,0.416,ilvG,NA,3949584,SNP,coding,1
Evo04sdhCBEvo01EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04sdhCBEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04sdhCBEvo03EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04sdhCBEvo01EP,0.435,mrdB,cell wall shape-determining protein,665079,SNP,coding,1
Evo04sdhCBEvo01EP,0.121,nanT,sialic acid transporter,3370206,SNP,coding,1
Evo04sdhCBEvo02EP,0.605,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,758999,SNP,coding,1
Evo04sdhCBEvo02EP,0.11,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,760645,SNP,coding,1
Evo04sdhCBEvo03EP,1,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,758719,DEL,coding,1
Evo04sdhCBEvo03EP,0.156,sucA,2-oxoglutarate decarboxylase; thiamin-requiring,759129,SNP,coding,1
Evo04sdhCBEvo01EP,1,sucB,dihydrolipoyltranssuccinase,761551,DEL,coding,1
Evo04sdhCBEvo02EP,0.4416,yfbP,TPR-like repeats-containing protein,2387423,MOB,coding,1
Evo04sdhCBEvo02EP,0.12,yfbP,TPR-like repeats-containing protein,2387426,INS,coding,1
Evo04sdhCBEvo01EP,1,yjhE,NA,4504893,DEL,coding,1
Evo04sdhCBEvo01EP,0.169,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.183,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.29,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.202,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.116,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo01EP,0.116,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.103,NA,NA,4294178,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.257,NA,NA,4294213,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.292,NA,NA,4294214,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.255,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo02EP,0.122,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.409,NA,NA,4294291,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.274,NA,NA,4294309,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.179,NA,NA,4294326,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
Evo04sdhCBEvo03EP,0.18,NA,NA,4294327,SNP,RIP321 (repetitive extragenic palindromic) element; contains 11 REP sequences and 4 IHF sites,1
