gene,population,frequency
crl,a1_f56_i1_r1,1
yeaR,a1_f56_i1_r1,1
fliK,a1_f56_i1_r1,1
glf,a1_f56_i1_r1,1
tnaA,a1_f56_i1_r1,1
rho,a1_f56_i1_r1,1
fimA,a1_f56_i1_r1,1
rho,a1_f56_i1_r1,0
icd,a1_f56_i1_r1,0
icd,a1_f56_i1_r1,0
icd,a1_f56_i1_r1,0
icd,a1_f56_i1_r1,0
ptsP,a1_f56_i1_r1,0
ybjT,a1_f56_i1_r1,0
flgD,a1_f56_i1_r1,0
yegJ,a1_f56_i1_r1,0
gcvT,a1_f56_i1_r1,0
rsmC,a1_f56_i1_r1,0
crl,a2_f57_i1_r1,1
yeaR,a2_f57_i1_r1,0
fliK,a2_f57_i1_r1,0
glf,a2_f57_i1_r1,0
tnaA,a2_f57_i1_r1,0
rho,a2_f57_i1_r1,0
fimA,a2_f57_i1_r1,0
rho,a2_f57_i1_r1,0
icd,a2_f57_i1_r1,0
icd,a2_f57_i1_r1,0
icd,a2_f57_i1_r1,0
icd,a2_f57_i1_r1,0
ptsP,a2_f57_i1_r1,0
ybjT,a2_f57_i1_r1,1
flgD,a2_f57_i1_r1,1
yegJ,a2_f57_i1_r1,1
gcvT,a2_f57_i1_r1,1
rsmC,a2_f57_i1_r1,1
crl,a3_f53_i1_r1,1
yeaR,a3_f53_i1_r1,0
fliK,a3_f53_i1_r1,1
glf,a3_f53_i1_r1,0
tnaA,a3_f53_i1_r1,1
rho,a3_f53_i1_r1,0
fimA,a3_f53_i1_r1,0
rho,a3_f53_i1_r1,1
icd,a3_f53_i1_r1,1
icd,a3_f53_i1_r1,1
icd,a3_f53_i1_r1,1
icd,a3_f53_i1_r1,1
ptsP,a3_f53_i1_r1,1
ybjT,a3_f53_i1_r1,0
flgD,a3_f53_i1_r1,0
yegJ,a3_f53_i1_r1,0
gcvT,a3_f53_i1_r1,0
rsmC,a3_f53_i1_r1,0
crl,a4_f55_i1_r1,1
yeaR,a4_f55_i1_r1,0
fliK,a4_f55_i1_r1,1
glf,a4_f55_i1_r1,0
tnaA,a4_f55_i1_r1,1
rho,a4_f55_i1_r1,0
fimA,a4_f55_i1_r1,0
rho,a4_f55_i1_r1,1
icd,a4_f55_i1_r1,0
icd,a4_f55_i1_r1,0
icd,a4_f55_i1_r1,0
icd,a4_f55_i1_r1,0
ptsP,a4_f55_i1_r1,0
ybjT,a4_f55_i1_r1,0
flgD,a4_f55_i1_r1,0
yegJ,a4_f55_i1_r1,0
gcvT,a4_f55_i1_r1,0
rsmC,a4_f55_i1_r1,0
