"paper","dataset_name","environment","generation","day","flask","selective_pressure","species","ploidy","strain_info","c_hyper","p_chisq","estimate","N_genes.notParallel","N_genes.parallel","parallel_genes","who_analyzed","func"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","500",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,16.409,0.005,0.003,6,4,"ECB01992, pykF, topA, yijC","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","1000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,15.909,0.005,0.006,13,5,"ECB01992, pykF, spoT, topA, yijC","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","1500",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,16.49,0.005,0.011,22,6,"ECB01992, iclR, mrdA, pykF, spoT, topA","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","2000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,14.854,0.005,0.014,26,8,"ECB01992, hslU, mrdA, nadR, pykF, spoT, topA, yijC","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","5000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,14.772,0.005,0.021,42,10,"ECB01992, hslU, iclR, infB, malT, mrdA, nadR, pykF, spoT, topA","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","10000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,12.002,0.005,0.044,69,9,"arcA, ECB02816, hslU, infB, malT, pykF, spoT, topA, ybaL","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","15000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,14.719,0.005,0.037,71,13,"ECB01992, ECB02816, fimA, hslU, iap, iclR, infB, malT, nadR, pykF, spoT, topA, ybaL","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","20000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,14.411,0.005,0.043,80,15,"ECB02816, envZ, fimA, hslU, hyfA, iap, iclR, infB, malT, menC, nadR, pykF, spoT, topA, ybaL","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","30000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,12.162,0.005,0.088,134,20,"arcA, cusS, ECB01992, ECB02013, ECB02816, envZ, hslU, iap, iclR, malT, menC, mreC, nadR, pykF, rplF, spoT, topA, ybaL, yeeF, ygjG","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","40000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,10.179,0.005,0.086,103,10,"hslU, hyfA, iap, iclR, malT, nadR, phoH, pykF, rplF, yeeF","MH","multiple_wide"
"Tenaillon2016","Tenaillon2016","Davis minimal medium","50000",NA,NA,"Davis minimal medium","Ecoli_K12","haploid",NA,8.766,0.005,0.117,128,11,"hslU, hyfA, iap, iclR, malT, nadR, phoH, pykF, rplF, spoT, yeeF","MH","multiple_wide"
