Population,Gene,Prop
1G_3,aceK,1.102
1G_3,acrB,1.815
1G_3,acrD,1.815
1G_2,acrD,2.096
1G_1,acrD,1.768
1G_3,acrR,50.208
1G_2,acs,1.688
1G_1,agaD,2.771
1G_2,aidB,5
1G_1,allB,1.235
1G_2,alsK,1.235
1G_1,ampE,2.805
1G_2,amyA,1.478
1G_3,amyA,1.121
1G_1,anmK,4.082
1G_3,argP,4.288
1G_1,arnA,1.542
1G_2,arnD,1.441
1G_2,aroD,1.842
1G_1,artJ,1.535
1G_2,asd,1.511
1G_2,asmA,1.304
1G_2,astB,1.917
1G_3,astD,1.442
1G_2,atoS,1.393
1G_2,baeR,1.034
1G_2,bcr,1.781
1G_1,bglA,1.348
1G_3,bglX,3.084
1G_2,bisC,1.215
1G_1,brnQ,3.143
1G_2,bssS,1.786
1G_1,carB,1.735
1G_2,carB,2.697
1G_2,casA,5.043
1G_2,cca,19.038
1G_3,cheA,1.279
1G_1,cheY,5.87
1G_1,clpA,84.906
1G_2,clpB,2.18
1G_3,cmk,2.245
1G_2,cobU,3.187
1G_2,corA,3.632
1G_2,csgB,1.274
1G_1,cvrA,1.072
1G_2,cysP,1.058
1G_2,cysU,3.695
1G_3,dacA,4.159
1G_2,dacC,5.14
1G_3,dacD,1.461
1G_2,dcm,2.198
1G_2,dcp,1.648
1G_2,dcp,3.458
1G_2,dcp,1.577
1G_2,deaD,2.836
1G_3,dgoD,2.326
1G_2,dgoT,4.453
1G_2,dppA,1.835
1G_1,dxs,87.872
1G_3,efeB,1.087
1G_1,emrD,1.325
1G_2,eutJ,1.087
1G_1,fabD,1.198
1G_1,fdnH,1.295
1G_1,fdrA,87.206
1G_1,fecR,1.121
1G_1,fepC,6.25
1G_2,fepE,1.724
1G_1,fepG,4.358
1G_2,fhuB,4
1G_1,fimH,2.697
1G_1,fimH,1.992
1G_1,fimH,3.935
1G_2,fimH,3.133
1G_3,fimH,1.728
1G_2,fimH,2.842
1G_1,fimI,11.354
1G_3,fldA,4.492
1G_2,flgJ,3.438
1G_2,flhA,1.807
1G_3,fliG,1.525
1G_2,fliG,1.003
1G_2,fliI,1.907
1G_2,fliM,40.063
1G_1,fliO,87.059
1G_3,fliP,1.458
1G_2,fliP,14.441
1G_3,fliR,1.304
1G_2,frlA,1.544
1G_3,frlB,1.357
1G_3,frlR,1.613
1G_3,fruA,2.027
1G_2,fruR,6.031
1G_2,frvB,2.339
1G_1,fryA,86.422
1G_2,fryC,1.023
1G_3,fsr,1.166
1G_1,ftsK,24.289
1G_3,ftsK,3.594
1G_3,ftsK,2.013
1G_3,ftsW,5.112
1G_2,fucI,1.212
1G_3,fucP,5.95
1G_2,gabD,1.124
1G_2,gadX,1.522
1G_1,galR,2.955
1G_1,galS,4.444
1G_2,galS,5.579
1G_2,garD,22.262
1G_2,gatZ,1.499
1G_2,gatZ,18.06
1G_1,gcl,2.407
1G_1,gcl,1.4
1G_1,gfcD,3.909
1G_2,glcB,1.208
1G_3,glcE,49.488
1G_1,glnG,1.671
1G_3,glpG,2.257
1G_3,gor,49.052
1G_2,gpt,1.964
1G_2,groL,3.403
1G_1,gshA,7.006
1G_1,gshB,7.718
1G_3,guaB,8.443
1G_1,guaB,1.266
1G_2,guaC,1.12
1G_1,gudD,4.918
1G_1,gudP,1.002
1G_3,gudX,1.099
1G_2,gyrA,1.66
1G_2,gyrB,1.741
1G_2,hcaE,37.678
1G_2,hdfR,1.243
1G_2,hemC,5.102
1G_2,hemD,1.059
1G_2,hflC,2.348
1G_2,hfq,1.455
1G_3,hfq,7.86
1G_3,hfq,1.117
1G_3,hfq,86.388
1G_2,hokE,1.571
1G_3,hscC,1.046
1G_2,hsdR,4.99
1G_3,hsdS,6.061
1G_3,hsdS,10.337
1G_1,hslR,15.026
1G_2,hupB,3.882
1G_2,hyaB,1.437
1G_1,hycB,1.208
1G_3,hycC,1.359
1G_2,hyfD,1.227
1G_1,hyfE,1.657
1G_2,ilvI,1.004
1G_3,insJ,1.361
1G_2,insL-3,1.342
1G_2,intA,2
1G_3,iscX,1.544
1G_3,kdpB,1.282
1G_1,kdsD,1.174
1G_2,lacZ,6.512
1G_2,leuE,2.71
1G_3,lhr,1.302
1G_1,lhr,1.538
1G_2,livH,1.231
1G_2,livM,1.779
1G_1,lptA,4.266
1G_1,lptD,1.737
1G_3,lptD,1.587
1G_2,lptE,7.04
1G_2,lptG,4.933
1G_2,lpxC,1.542
1G_2,lpxC,1.099
1G_1,lpxD,4.709
1G_2,lpxD,9.868
1G_2,lpxD,1.085
1G_2,lpxM,17.067
1G_1,lysS,1.08
1G_3,lyxK,20.528
1G_2,mak,2.237
1G_2,malE,1.242
1G_2,malE,1.856
1G_2,malE,39.908
1G_2,malK,1.07
1G_3,malK,1.754
1G_2,malK,7.311
1G_3,malK,5.907
1G_2,malK,1.166
1G_2,malK,1.461
1G_1,malK,89.048
1G_2,malK,6.038
1G_3,malK,2.667
1G_1,malK,1.557
1G_2,malK,2.372
1G_2,malK,2.799
1G_2,malT,1.333
1G_2,malT,6.651
1G_2,malT,1.005
1G_2,malT,3.341
1G_2,malT,2.184
1G_2,malT,1.703
1G_3,malT,1.556
1G_2,malT,2.528
1G_3,malT,76.19
1G_2,malT,1.553
1G_3,malT,1.504
1G_2,malT,4.732
1G_2,malX,1.418
1G_2,mdaB,1.096
1G_2,mdtD,5.678
1G_1,mdtF,7.914
1G_3,mdtN,6.167
1G_2,melB,2.488
1G_2,metU tRNA,2.036
1G_2,mhpD,1.405
1G_1,modE,2.162
1G_2,mqo,7.463
1G_1,mrcB,1.002
1G_2,mscM,93.563
1G_2,mug,3.452
1G_1,mug,2.206
1G_2,mukB,37.921
1G_2,murD,4.619
1G_3,murR,1.04
1G_2,mutS,2.041
1G_3,nagA,1.453
1G_1,napG,1.798
1G_2,narH,1.88
1G_3,narQ,5.542
1G_1,narV,1.002
1G_1,narW,1.538
1G_1,narZ,4.851
1G_2,nemA,3.198
1G_3,nikA,4.444
1G_3,nrfE,1.445
1G_3,nudF,8.833
1G_3,nuoJ,6.759
1G_1,nuoK,1.604
1G_3,nusG,1.912
1G_1,opgC,85.206
1G_3,opgG,1.907
