"population","gene","prop"
"B2","[creD]","0.015"
"B2","[PA14_45480]","0.016"
"B2","[PA14_45480]","0.016"
"B2","acoR<U+00A0>?","1"
"B2","acoR<U+00A0>?","0.022"
"B2","acoR<U+00A0>?","0.022"
"B2","acoR<U+00A0>?","0.022"
"B2","acsA<U+00A0>?","0.039"
"B2","acsA<U+00A0>?","0.039"
"B2","aer<U+00A0>?","0.069"
"B2","aguA<U+00A0>?","0.031"
"B2","aguA<U+00A0>?","0.03"
"B2","ahpF<U+00A0>?","0.022"
"B2","ahpF<U+00A0>?","0.024"
"B2","algA<U+00A0>?","0.015"
"B1","algQ<U+00A0>?","3.30%"
"B1","amiA<U+00A0>?","3.70%"
"B2","amiA<U+00A0>?","0.011"
"B2","amrB<U+00A0>?","1"
"B2","amrB<U+00A0>?","1"
"B2","amrB<U+00A0>?","1"
"B2","amrB<U+00A0>?","1"
"B2","amrB<U+00A0>?","1"
"B2","amrB<U+00A0>?","1"
"B1","anr<U+00A0>?","3.10%"
"B1","anr<U+00A0>?","4.70%"
"B1","anr<U+00A0>?","82.40%"
"B2","anr<U+00A0>?","0.347"
"B2","anr<U+00A0>?","0.347"
"B2","anr<U+00A0>?","0.347"
"B1","aotJ<U+00A0>?","7.50%"
"B2","aprE<U+00A0>?","0.356"
"B1","apt<U+00A0>?","89.50%"
"B1","argA<U+00A0>?","100%"
"B2","argB<U+00A0>?","0.028"
"B1","aroB<U+00A0>?","1.70%"
"B1","betT1<U+00A0>?","93.60%"
"B1","bkdA1<U+00A0>?","87.70%"
"B2","cafA<U+00A0>?","0.371"
"B2","cafA<U+00A0>?","0.371"
"B1","carB<U+00A0>?","95.20%"
"B2","carB<U+00A0>?","0.023"
"B2","cbrA<U+00A0>?","0.026"
"B2","cbrA<U+00A0>?","0.026"
"B2","cheA<U+00A0>?","0.056"
"B2","cheA<U+00A0>?","0.056"
"B2","cheA<U+00A0>?","0.056"
"B2","cheA<U+00A0>?","0.056"
"B1","cheZ<U+00A0>?","2.30%"
"B1","chpA<U+00A0>?","2.80%"
"B2","chpA<U+00A0>?","0.014"
"B2","cioB<U+00A0>?","0.104"
"B1","clpB<U+00A0>?","6.80%"
"B2","cobA<U+00A0>?","1"
"B2","cobA<U+00A0>?","1"
"B2","cobQ<U+00A0>?","0.047"
"B2","cobQ<U+00A0>?","0.047"
"B2","cobQ<U+00A0>?","0.047"
"B2","cobQ<U+00A0>?","0.047"
"B1","creC<U+00A0>?","6.20%"
"B1","creC<U+00A0>?","9.10%"
"B1","cupC2<U+00A0>?","2.10%"
"B2","cyaB<U+00A0>?","0.172"
"B2","cyaB<U+00A0>?","0.172"
"B2","cyaB<U+00A0>?","0.172"
"B2","cynS<U+00A0>?","1"
"B2","cynS<U+00A0>?","1"
"B2","cynS<U+00A0>?","1"
"B2","cynS<U+00A0>?","1"
"B2","cynS<U+00A0>?","1"
"B2","cynS<U+00A0>?","1"
"B2","cysA<U+00A0>?","0.039"
"B1","cysG<U+00A0>?","79.20%"
"B1","dcd2<U+00A0>?","2.10%"
"B1","dnaG<U+00A0>?","5.80%"
"B2","dnr<U+00A0>?","0.028"
"B2","dsbG<U+00A0>?","0.014"
"B1","dxs<U+00A0>?","1.90%"
"B1","dxs<U+00A0>?","2.80%"
"B2","engB<U+00A0>?","0.019"
"B2","engB<U+00A0>?","0.019"
"B1","exbB2<U+00A0>?","2.10%"
"B2","exoU<U+00A0>?","0.033"
"B2","exoU<U+00A0>?","0.021"
"B2","exoU<U+00A0>?","0.033"
"B1","exoY<U+00A0>?","2.00%"
"B2","fdhA<U+00A0>?","0.01"
"B1","flgB<U+00A0>?","85.50%"
"B1","flgC<U+00A0>?","2.20%"
"B1","flhF<U+00A0>?","78.50%"
"B2","fliC<U+00A0>?","1"
"B2","fliC<U+00A0>?","1"
"B2","fliH<U+00A0>?","0.19"
"B2","fliH<U+00A0>?","0.19"
"B2","fliI<U+00A0>?","0.027"
"B2","fliI<U+00A0>?","0.026"
"B2","fptA<U+00A0>?","0.055"
"B2","fptA<U+00A0>?","0.055"
"B2","ftsZ<U+00A0>?","1"
"B2","ftsZ<U+00A0>?","1"
"B2","ftsZ<U+00A0>?","1"
"B2","ftsZ<U+00A0>?","1"
"B2","ftsZ<U+00A0>?","1"
"B2","gabT<U+00A0>?","0.974"
"B2","gabT<U+00A0>?","0.974"
"B2","gabT<U+00A0>?","0.974"
"B2","gabT<U+00A0>?","0.974"
"B1","gcl<U+00A0>?","3.50%"
"B1","gcl<U+00A0>?","4.00%"
"B1","gcl<U+00A0>?","2.70%"
"B1","gcl<U+00A0>?","2.60%"
"B1","gcl<U+00A0>?","2.80%"
"B1","gcl<U+00A0>?","2.90%"
"B1","gcl<U+00A0>?","3.60%"
"B2","gcvH2<U+00A0>?","1"
"B1","glcC<U+00A0>?","2.00%"
"B2","glcD<U+00A0>?","0.014"
"B2","glmS<U+00A0>?","0.062"
"B2","glnD<U+00A0>?","0.011"
"B2","glnE<U+00A0>?","1"
"B1","glpD<U+00A0>?","7.20%"
"B2","gltA<U+00A0>?","0.024"
"B1","gltK<U+00A0>?","8.80%"
"B2","gltR<U+00A0>?","0.25"
"B2","gltR<U+00A0>?","0.25"
"B2","gltR<U+00A0>?","0.25"
"B2","gltR<U+00A0>?","0.25"
"B2","glyA<U+00A0>?","0.012"
"B1","groES<U+00A0>?","100%"
"B2","guaB<U+00A0>?","0.03"
